,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,47,100.0
3,In labor force,33,70.2
4,Civilian labor force,33,70.2
5,Employed,33,70.2
6,Unemployed,0,0.0
7,Armed Forces,0,0.0
8,Not in labor force,14,29.8
9,,,
10,Civilian labor force,33,70.2
11,Percent Unemployed,0.0,
12,,,
13,Females 16 years and over,26,55.3
14,In labor force,16,34.0
15,Civilian labor force,16,34.0
16,Employed,16,34.0
17,,,
18,Own children under 6 years,0,0.0
19,All parents in family in labor force,0,0.0
20,,,
21,Own children 6 to 17 years,7,14.9
22,All parents in family in labor force,7,14.9
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,33,100.0
26,"Car, truck, or van -- drove alone",22,66.7
27,"Car, truck, or van -- carpooled",0,0.0
28,Public transportation (excluding taxicab),0,0.0
29,Walked,11,33.3
30,Other means,0,0.0
31,Worked at home,0,0.0
32,,,
33,Mean travel time to work (minutes),18.3,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,33,100.0
37,"Management, professional, and related occupations",16,48.5
38,Service occupations,0,0.0
39,Sales and office occupations,11,33.3
40,"Farming, fishing, and forestry occupations",0,0.0
41,"Construction, extraction, maintenance, and repair occupations",6,18.2
42,"Production, transportation, and material moving occupations",0,0.0
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,33,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",12,36.4
47,Construction,6,18.2
48,Manufacturing,0,0.0
49,Wholesale trade,0,0.0
50,Retail trade,5,15.2
51,"Transportation and warehousing, and utilities",4,12.1
52,Information,0,0.0
53,"Finance and insurance, & real estate & rental & leasing",0,0.0
54,"Professional, scientific & mgmt, & admin & waste mgmt services",0,0.0
55,Educational services & health care & social assistance,0,0.0
56,"Arts, entertainment & recreation & accommodation & food services",0,0.0
57,"Other services, except public administration",0,0.0
58,Public administration,6,18.2
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,33,100.0
62,Private wage and salary workers,4,12.1
63,Government workers,12,36.4
64,Self-employed in own not incorporated business workers,12,36.4
65,Unpaid family workers,5,15.2
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,31,100.0
69,"Less than $10,000",8,25.8
70,"$10,000 to $14,999",5,16.1
71,"$15,000 to $24,999",4,12.9
72,"$25,000 to $34,999",6,19.4
73,"$35,000 to $49,999",0,0.0
74,"$50,000 to $74,999",8,25.8
75,"$75,000 to $99,999",0,0.0
76,"$100,000 to $149,999",0,0.0
77,"$150,000 to $199,999",0,0.0
78,"$200,000 or more",0,0.0
79,Median household income (dollars),"21,563",
80,Mean household income (dollars),"28,306",
81,,,
82,With earnings,21,67.7
83,Mean earnings (dollars),"35,452",
84,With Social Security,14,45.2
85,Mean Social Security income (dollars),"8,479",
86,With retirement income,0,0.0
87,Mean retirement income (dollars),0,
88,,,
89,With Supplemental Security Income,0,0.0
90,Mean Supplemental Security Income (dollars),0,
91,With cash public assistance income,0,0.0
92,Mean cash public assistance income (dollars),0,
93,With Food Stamp/SNAP benefits in the past 12 months,0,0.0
94,,,
95,Families,8,100.0
96,"Less than $10,000",0,0.0
97,"$10,000 to $14,999",0,0.0
98,"$15,000 to $24,999",4,50.0
99,"$25,000 to $34,999",0,0.0
100,"$35,000 to $49,999",0,0.0
101,"$50,000 to $74,999",4,50.0
102,"$75,000 to $99,999",0,0.0
103,"$100,000 to $149,999",0,0.0
104,"$150,000 to $199,999",0,0.0
105,"$200,000 or more",0,0.0
106,Median family income (dollars),"43,750",
107,Mean family income (dollars),0,
108,,,
109,Per capita income (dollars),"18,952",
110,,,
111,Nonfamily households,23,287.5
112,Median nonfamily income (dollars),"14,250",
113,Mean nonfamily income (dollars),"22,874",
114,,,
115,Median earnings for workers (dollars),"27,708",
116,"Median earnings for male full-time, year-round workers (dollars)","25,938",
117,"Median earnings for female full-time, year-round workers (dollars)","36,250",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,50.0,
121,With related children under 18 years,100.0,
122,With related children under 5 years only,0.0,
123,Married couple families,50.0,
124,With related children under 18 years,100.0,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",0.0,
127,With related children under 18 years,0.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,44.4,
131,Under 18 years,100.0,
132,Related children under 18 years,100.0,
133,Related children under 5 years,0.0,
134,Related children 5 to 17 years,100.0,
135,18 years and over,36.2,
136,18 to 64 years,36.4,
137,65 years and over,35.7,
138,People in families,64.0,
139,Unrelated individuals 15 years and over,27.6,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
