,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,973,100.0
3,In labor force,605,62.2
4,Civilian labor force,605,62.2
5,Employed,605,62.2
6,Unemployed,0,0.0
7,Armed Forces,0,0.0
8,Not in labor force,368,37.8
9,,,
10,Civilian labor force,605,62.2
11,Percent Unemployed,0.0,
12,,,
13,Females 16 years and over,482,49.5
14,In labor force,292,30.0
15,Civilian labor force,292,30.0
16,Employed,292,30.0
17,,,
18,Own children under 6 years,129,13.3
19,All parents in family in labor force,80,8.2
20,,,
21,Own children 6 to 17 years,222,22.8
22,All parents in family in labor force,162,16.6
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,598,100.0
26,"Car, truck, or van -- drove alone",455,76.1
27,"Car, truck, or van -- carpooled",53,8.9
28,Public transportation (excluding taxicab),0,0.0
29,Walked,36,6.0
30,Other means,0,0.0
31,Worked at home,54,9.0
32,,,
33,Mean travel time to work (minutes),35.2,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,605,100.0
37,"Management, professional, and related occupations",151,25.0
38,Service occupations,83,13.7
39,Sales and office occupations,152,25.1
40,"Farming, fishing, and forestry occupations",16,2.6
41,"Construction, extraction, maintenance, and repair occupations",100,16.5
42,"Production, transportation, and material moving occupations",103,17.0
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,605,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",57,9.4
47,Construction,92,15.2
48,Manufacturing,48,7.9
49,Wholesale trade,11,1.8
50,Retail trade,65,10.7
51,"Transportation and warehousing, and utilities",36,6.0
52,Information,16,2.6
53,"Finance and insurance, & real estate & rental & leasing",43,7.1
54,"Professional, scientific & mgmt, & admin & waste mgmt services",46,7.6
55,Educational services & health care & social assistance,143,23.6
56,"Arts, entertainment & recreation & accommodation & food services",6,1.0
57,"Other services, except public administration",17,2.8
58,Public administration,25,4.1
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,605,100.0
62,Private wage and salary workers,446,73.7
63,Government workers,99,16.4
64,Self-employed in own not incorporated business workers,60,9.9
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,492,100.0
69,"Less than $10,000",24,4.9
70,"$10,000 to $14,999",24,4.9
71,"$15,000 to $24,999",53,10.8
72,"$25,000 to $34,999",63,12.8
73,"$35,000 to $49,999",89,18.1
74,"$50,000 to $74,999",114,23.2
75,"$75,000 to $99,999",57,11.6
76,"$100,000 to $149,999",58,11.8
77,"$150,000 to $199,999",6,1.2
78,"$200,000 or more",4,0.8
79,Median household income (dollars),"48,409",
80,Mean household income (dollars),"55,174",
81,,,
82,With earnings,396,80.5
83,Mean earnings (dollars),"52,875",
84,With Social Security,166,33.7
85,Mean Social Security income (dollars),"13,293",
86,With retirement income,97,19.7
87,Mean retirement income (dollars),"21,580",
88,,,
89,With Supplemental Security Income,4,0.8
90,Mean Supplemental Security Income (dollars),"8,350",
91,With cash public assistance income,11,2.2
92,Mean cash public assistance income (dollars),536,
93,With Food Stamp/SNAP benefits in the past 12 months,63,12.8
94,,,
95,Families,383,100.0
96,"Less than $10,000",6,1.6
97,"$10,000 to $14,999",9,2.3
98,"$15,000 to $24,999",29,7.6
99,"$25,000 to $34,999",48,12.5
100,"$35,000 to $49,999",63,16.4
101,"$50,000 to $74,999",107,27.9
102,"$75,000 to $99,999",53,13.8
103,"$100,000 to $149,999",58,15.1
104,"$150,000 to $199,999",6,1.6
105,"$200,000 or more",4,1.0
106,Median family income (dollars),"54,375",
107,Mean family income (dollars),"62,809",
108,,,
109,Per capita income (dollars),"20,876",
110,,,
111,Nonfamily households,109,28.5
112,Median nonfamily income (dollars),"20,417",
113,Mean nonfamily income (dollars),"27,457",
114,,,
115,Median earnings for workers (dollars),"28,407",
116,"Median earnings for male full-time, year-round workers (dollars)","39,276",
117,"Median earnings for female full-time, year-round workers (dollars)","25,417",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,3.9,
121,With related children under 18 years,7.2,
122,With related children under 5 years only,14.6,
123,Married couple families,0.3,
124,With related children under 18 years,0.0,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",25.0,
127,With related children under 18 years,40.0,
128,With related children under 5 years only,27.3,
129,,,
130,All people,5.5,
131,Under 18 years,7.7,
132,Related children under 18 years,7.7,
133,Related children under 5 years,16.3,
134,Related children 5 to 17 years,4.6,
135,18 years and over,4.7,
136,18 to 64 years,4.8,
137,65 years and over,4.5,
138,People in families,4.3,
139,Unrelated individuals 15 years and over,17.4,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
