,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"3,011",100.0
3,In labor force,"1,979",65.7
4,Civilian labor force,"1,979",65.7
5,Employed,"1,828",60.7
6,Unemployed,151,5.0
7,Armed Forces,0,0.0
8,Not in labor force,"1,032",34.3
9,,,
10,Civilian labor force,"1,979",65.7
11,Percent Unemployed,7.6,
12,,,
13,Females 16 years and over,"1,434",47.6
14,In labor force,887,29.5
15,Civilian labor force,887,29.5
16,Employed,809,26.9
17,,,
18,Own children under 6 years,219,7.3
19,All parents in family in labor force,137,4.5
20,,,
21,Own children 6 to 17 years,452,15.0
22,All parents in family in labor force,410,13.6
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"1,691",100.0
26,"Car, truck, or van -- drove alone","1,230",72.7
27,"Car, truck, or van -- carpooled",193,11.4
28,Public transportation (excluding taxicab),5,0.3
29,Walked,84,5.0
30,Other means,16,0.9
31,Worked at home,163,9.6
32,,,
33,Mean travel time to work (minutes),26.0,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"1,828",100.0
37,"Management, professional, and related occupations",542,29.6
38,Service occupations,190,10.4
39,Sales and office occupations,450,24.6
40,"Farming, fishing, and forestry occupations",49,2.7
41,"Construction, extraction, maintenance, and repair occupations",241,13.2
42,"Production, transportation, and material moving occupations",356,19.5
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"1,828",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",101,5.5
47,Construction,214,11.7
48,Manufacturing,377,20.6
49,Wholesale trade,25,1.4
50,Retail trade,208,11.4
51,"Transportation and warehousing, and utilities",99,5.4
52,Information,40,2.2
53,"Finance and insurance, & real estate & rental & leasing",85,4.6
54,"Professional, scientific & mgmt, & admin & waste mgmt services",95,5.2
55,Educational services & health care & social assistance,310,17.0
56,"Arts, entertainment & recreation & accommodation & food services",136,7.4
57,"Other services, except public administration",73,4.0
58,Public administration,65,3.6
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"1,828",100.0
62,Private wage and salary workers,"1,420",77.7
63,Government workers,170,9.3
64,Self-employed in own not incorporated business workers,218,11.9
65,Unpaid family workers,20,1.1
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"1,387",100.0
69,"Less than $10,000",71,5.1
70,"$10,000 to $14,999",38,2.7
71,"$15,000 to $24,999",234,16.9
72,"$25,000 to $34,999",86,6.2
73,"$35,000 to $49,999",229,16.5
74,"$50,000 to $74,999",275,19.8
75,"$75,000 to $99,999",172,12.4
76,"$100,000 to $149,999",217,15.6
77,"$150,000 to $199,999",28,2.0
78,"$200,000 or more",37,2.7
79,Median household income (dollars),"52,336",
80,Mean household income (dollars),"71,897",
81,,,
82,With earnings,"1,114",80.3
83,Mean earnings (dollars),"70,443",
84,With Social Security,451,32.5
85,Mean Social Security income (dollars),"14,482",
86,With retirement income,260,18.7
87,Mean retirement income (dollars),"28,703",
88,,,
89,With Supplemental Security Income,91,6.6
90,Mean Supplemental Security Income (dollars),"8,869",
91,With cash public assistance income,55,4.0
92,Mean cash public assistance income (dollars),795,
93,With Food Stamp/SNAP benefits in the past 12 months,160,11.5
94,,,
95,Families,"1,001",100.0
96,"Less than $10,000",36,3.6
97,"$10,000 to $14,999",21,2.1
98,"$15,000 to $24,999",151,15.1
99,"$25,000 to $34,999",48,4.8
100,"$35,000 to $49,999",168,16.8
101,"$50,000 to $74,999",208,20.8
102,"$75,000 to $99,999",172,17.2
103,"$100,000 to $149,999",132,13.2
104,"$150,000 to $199,999",28,2.8
105,"$200,000 or more",37,3.7
106,Median family income (dollars),"60,052",
107,Mean family income (dollars),"78,147",
108,,,
109,Per capita income (dollars),"27,684",
110,,,
111,Nonfamily households,386,38.6
112,Median nonfamily income (dollars),"35,750",
113,Mean nonfamily income (dollars),"53,187",
114,,,
115,Median earnings for workers (dollars),"22,559",
116,"Median earnings for male full-time, year-round workers (dollars)","48,495",
117,"Median earnings for female full-time, year-round workers (dollars)","31,774",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,10.6,
121,With related children under 18 years,22.4,
122,With related children under 5 years only,13.9,
123,Married couple families,6.9,
124,With related children under 18 years,12.2,
125,With related children under 5 years only,10.5,
126,"Families with female householder, no husband present",32.5,
127,With related children under 18 years,76.9,
128,With related children under 5 years only,100.0,
129,,,
130,All people,12.8,
131,Under 18 years,27.3,
132,Related children under 18 years,25.9,
133,Related children under 5 years,31.6,
134,Related children 5 to 17 years,23.4,
135,18 years and over,9.3,
136,18 to 64 years,9.8,
137,65 years and over,7.3,
138,People in families,12.8,
139,Unrelated individuals 15 years and over,12.6,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
