,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,376,100.0
3,Occupied housing units,318,84.6
4,Vacant housing units,58,15.4
5,,,
6,Homeowner vacancy rate,5.6,
7,Rental vacancy rate,6.9,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,376,100.0
11,"1-unit, detached",210,55.9
12,"1-unit, attached",10,2.7
13,2 units,45,12.0
14,3 or 4 units,0,0.0
15,5 to 9 units,0,0.0
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,111,29.5
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,376,100.0
23,Built 2005 or later,2,0.5
24,Built 2000 to 2004,0,0.0
25,Built 1990 to 1999,28,7.4
26,Built 1980 to 1989,48,12.8
27,Built 1970 to 1979,78,20.7
28,Built 1960 to 1969,63,16.8
29,Built 1950 to 1959,60,16.0
30,Built 1940 to 1949,15,4.0
31,Built 1939 or earlier,82,21.8
32,,,
33,ROOMS,,
34,Total housing units,376,100.0
35,1 room,0,0.0
36,2 rooms,5,1.3
37,3 rooms,6,1.6
38,4 rooms,125,33.2
39,5 rooms,91,24.2
40,6 rooms,85,22.6
41,7 rooms,29,7.7
42,8 rooms,26,6.9
43,9 rooms or more,9,2.4
44,Median rooms,5.1,
45,,,
46,BEDROOMS,,
47,Total housing units,376,100.0
48,No bedroom,0,0.0
49,1 bedroom,8,2.1
50,2 bedrooms,185,49.2
51,3 bedrooms,125,33.2
52,4 bedrooms,43,11.4
53,5 or more bedrooms,15,4.0
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,318,100.0
57,Owner-occupied,184,57.9
58,Renter-occupied,134,42.1
59,,,
60,Average household size of owner-occupied unit,2.18,
61,Average household size of renter-occupied unit,2.43,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,318,100.0
65,Moved in 2005 or later,142,44.7
66,Moved in 2000 to 2004,55,17.3
67,Moved in 1990 to 1999,67,21.1
68,Moved in 1980 to 1989,23,7.2
69,Moved in 1970 to 1979,15,4.7
70,Moved in 1969 or earlier,16,5.0
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,318,100.0
74,No vehicles available,20,6.3
75,1 vehicle available,74,23.3
76,2 vehicles available,168,52.8
77,3 or more vehicles available,56,17.6
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,318,100.0
81,Utility gas,0,0.0
82,"Bottled, tank, or LP gas",34,10.7
83,Electricity,191,60.1
84,"Fuel oil, kerosene, etc.",52,16.4
85,Coal or coke,0,0.0
86,Wood,27,8.5
87,Solar energy,0,0.0
88,Other fuel,14,4.4
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,318,100.0
93,Lacking complete plumbing facilities,5,1.6
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,13,4.1
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,318,100.0
99,1.00 or less,314,98.7
100,1.01 to 1.50,4,1.3
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,184,100.0
105,"Less than $50,000",5,2.7
106,"$50,000 to $99,999",91,49.5
107,"$100,000 to $149,999",38,20.7
108,"$150,000 to $199,999",21,11.4
109,"$200,000 to $299,999",6,3.3
110,"$300,000 to $499,999",18,9.8
111,"$500,000 to $999,999",5,2.7
112,"$1,000,000 or more",0,0.0
113,Median (dollars),"89,000",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,184,100.0
117,Housing units with a mortgage,118,64.1
118,Housing units without a mortgage,66,35.9
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,118,100.0
122,Less than $300,0,0.0
123,$300 to $499,0,0.0
124,$500 to $699,9,7.6
125,$700 to $999,42,35.6
126,"$1,000 to $1,499",46,39.0
127,"$1,500 to $1,999",11,9.3
128,"$2,000 or more",10,8.5
129,Median (dollars),"1,054",
130,,,
131,Housing units without a mortgage,66,100.0
132,Less than $100,0,0.0
133,$100 to $199,0,0.0
134,$200 to $299,16,24.2
135,$300 to $399,17,25.8
136,$400 or more,33,50.0
137,Median (dollars),400,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),118,100.0
141,Less than 20.0 percent,46,39.0
142,20.0 to 24.9 percent,39,33.1
143,25.0 to 29.9 percent,14,11.9
144,30.0 to 34.9 percent,0,0.0
145,35.0 percent or more,19,16.1
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),66,100.0
150,Less than 10.0 percent,21,31.8
151,10.0 to 14.9 percent,19,28.8
152,15.0 to 19.9 percent,17,25.8
153,20.0 to 24.9 percent,6,9.1
154,25.0 to 29.9 percent,0,0.0
155,30.0 to 34.9 percent,0,0.0
156,35.0 percent or more,3,4.5
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,90,100.0
162,Less than $200,0,0.0
163,$200 to $299,3,3.3
164,$300 to $499,18,20.0
