,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,25,100.0
2,Family households (families),18,72.0
3,With own children under 18 years,8,32.0
4,Married-couple family,18,72.0
5,With own children under 18 years,8,32.0
6,"Male householder, no wife present, family",0,0.0
7,With own children under 18 years,0,0.0
8,"Female householder, no husband present, family",0,0.0
9,With own children under 18 years,0,0.0
10,Nonfamily households,7,28.0
11,Householder living alone,6,24.0
12,65 years and over,0,0.0
13,,,
14,Households with one or more people under 18 years,8,32.0
15,Households with one or more people 65 years and over,7,28.0
16,,,
17,Average household size,2.60,
18,Average family size,3.11,
19,,,
20,RELATIONSHIP,,
21,Population in households,65,100.0
22,Householder,25,38.5
23,Spouse,24,36.9
24,Child,14,21.5
25,Other relatives,0,0.0
26,Nonrelatives,2,3.1
27,Unmarried partner,2,3.1
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,20,100.0
31,Never married,0,0.0
32,"Now married, except separated",19,95.0
33,Separated,0,0.0
34,Widowed,0,0.0
35,Divorced,1,5.0
36,,,
37,Females 15 years and over,33,100.0
38,Never married,8,24.2
39,"Now married, except separated",23,69.7
40,Separated,0,0.0
41,Widowed,0,0.0
42,Divorced,2,6.1
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,5,100.0
46,"Unmarried women (widowed, divorced, and never married)",1,20.0
47,"Per 1,000 unmarried women",500,
48,"Per 1,000 women 15 to 50 years old",313,
49,"Per 1,000 women 15 to 19 years old",500,
50,"Per 1,000 women 20 to 34 years old",0,
51,"Per 1,000 women 35 to 50 years old",444,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,0,100.0
55,Responsible for grandchildren,0,100.0
56,Years responsible for grandchildren,,
57,Less than 1 year,0,0.0
58,1 or 2 years,0,0.0
59,3 or 4 years,0,37.5
60,5 or more years,0,62.5
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,0,100.0
63,Who are female,0,87.5
64,Who are married,0,37.5
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,9,100.0
68,"Nursery school, preschool",0,0.0
69,Kindergarten,1,11.1
70,Elementary school (grades 1-8),6,66.7
71,High school (grades 9-12),2,22.2
72,College or graduate school,0,0.0
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,49,100.0
76,Less than 9th grade,2,4.1
77,"9th to 12th grade, no diploma",11,22.4
78,High school graduate (includes equivalency),12,24.5
79,"Some college, no degree",12,24.5
80,Associate's degree,2,4.1
81,Bachelor's degree,9,18.4
82,Graduate or professional degree,1,2.0
83,,,
84,Percent high school graduate or higher,73.5,
85,Percent bachelor's degree or higher,20.4,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,51,100.0
89,Civilian veterans,6,11.8
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,65,100.0
93,Same house,45,69.2
94,Different house in the U.S.,20,30.8
95,Same county,7,10.8
96,Different county,13,20.0
97,Same state,10,15.4
98,Different state,3,4.6
99,Abroad,0,0.0
100,,,
101,PLACE OF BIRTH,,
102,Total population,65,100.0
103,Native,65,100.0
104,Born in United States,65,100.0
105,State of residence,25,38.5
106,Different state,40,61.5
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",0,0.0
108,Foreign born,0,0.0
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,0,100.0
112,Naturalized U.S. citizen,0,18.2
113,Not a U.S. citizen,0,81.8
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,0,100.0
117,,,
118,Native,0,8.3
119,Entered 2000 or later,0,0.0
120,Entered before 2000,0,8.3
121,,,
122,Foreign born,0,91.7
123,Entered 2000 or later,0,73.3
124,Entered before 2000,0,18.3
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea",0,100.0
128,Europe,0,0.0
129,Asia,0,18.2
130,Africa,0,0.0
131,Oceania,0,0.0
132,Latin America,0,81.8
133,Northern America,0,0.0
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,60,100.0
137,English only,60,100.0
138,Language other than English,0,0.0
139,"Speak English less than ""very well""",0,0.0
140,Spanish,0,0.0
141,"Speak English less than ""very well""",0,0.0
142,Other Indo-European languages,0,0.0
143,"Speak English less than ""very well""",0,0.0
144,Asian and Pacific Islander languages,0,0.0
145,"Speak English less than ""very well""",0,0.0
146,Other languages,0,0.0
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,65,100.0
151,American,0,0.0
152,Arab,0,0.0
153,Czech,0,0.0
154,Danish,0,0.0
155,Dutch,2,3.1
156,English,12,18.5
157,French (except Basque),0,0.0
158,French Canadian,0,0.0
159,German,28,43.1
160,Greek,0,0.0
161,Hungarian,0,0.0
162,Irish,8,12.3
163,Italian,0,0.0
164,Lithuanian,0,0.0
165,Norwegian,4,6.2
166,Polish,0,0.0
167,Portuguese,0,0.0
168,Russian,0,0.0
169,Scotch-Irish,3,4.6
170,Scottish,1,1.5
171,Slovak,0,0.0
172,Subsaharan African,0,0.0
173,Swedish,0,0.0
174,Swiss,2,3.1
175,Ukrainian,0,0.0
176,Welsh,0,0.0
177,West Indian (excluding Hispanic origin groups),0,0.0
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
