,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"12,396",100.0
3,Occupied housing units,"11,399",92.0
4,Vacant housing units,997,8.0
5,,,
6,Homeowner vacancy rate,0.6,
7,Rental vacancy rate,3.8,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"12,396",100.0
11,"1-unit, detached","8,108",65.4
12,"1-unit, attached",939,7.6
13,2 units,370,3.0
14,3 or 4 units,459,3.7
15,5 to 9 units,589,4.8
16,10 to 19 units,446,3.6
17,20 or more units,850,6.9
18,Mobile home,617,5.0
19,"Boat, RV, van, etc.",18,0.1
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"12,396",100.0
23,Built 2005 or later,363,2.9
24,Built 2000 to 2004,"1,175",9.5
25,Built 1990 to 1999,"2,492",20.1
26,Built 1980 to 1989,"1,346",10.9
27,Built 1970 to 1979,"2,376",19.2
28,Built 1960 to 1969,"1,420",11.5
29,Built 1950 to 1959,"1,064",8.6
30,Built 1940 to 1949,373,3.0
31,Built 1939 or earlier,"1,787",14.4
32,,,
33,ROOMS,,
34,Total housing units,"12,396",100.0
35,1 room,279,2.3
36,2 rooms,648,5.2
37,3 rooms,"1,300",10.5
38,4 rooms,"2,358",19.0
39,5 rooms,"2,691",21.7
40,6 rooms,"1,985",16.0
41,7 rooms,"1,774",14.3
42,8 rooms,618,5.0
43,9 rooms or more,743,6.0
44,Median rooms,5.1,
45,,,
46,BEDROOMS,,
47,Total housing units,"12,396",100.0
48,No bedroom,295,2.4
49,1 bedroom,"1,812",14.6
50,2 bedrooms,"4,092",33.0
51,3 bedrooms,"4,554",36.7
52,4 bedrooms,"1,288",10.4
53,5 or more bedrooms,355,2.9
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"11,399",100.0
57,Owner-occupied,"6,408",56.2
58,Renter-occupied,"4,991",43.8
59,,,
60,Average household size of owner-occupied unit,2.14,
61,Average household size of renter-occupied unit,2.10,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"11,399",100.0
65,Moved in 2005 or later,"3,986",35.0
66,Moved in 2000 to 2004,"3,240",28.4
67,Moved in 1990 to 1999,"2,719",23.9
68,Moved in 1980 to 1989,869,7.6
69,Moved in 1970 to 1979,342,3.0
70,Moved in 1969 or earlier,243,2.1
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"11,399",100.0
74,No vehicles available,780,6.8
75,1 vehicle available,"4,680",41.1
76,2 vehicles available,"4,066",35.7
77,3 or more vehicles available,"1,873",16.4
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"11,399",100.0
81,Utility gas,"5,239",46.0
82,"Bottled, tank, or LP gas",338,3.0
83,Electricity,"5,000",43.9
84,"Fuel oil, kerosene, etc.",175,1.5
85,Coal or coke,0,0.0
86,Wood,547,4.8
87,Solar energy,55,0.5
88,Other fuel,23,0.2
89,No fuel used,22,0.2
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"11,399",100.0
93,Lacking complete plumbing facilities,39,0.3
94,Lacking complete kitchen facilities,183,1.6
95,No telephone service available,749,6.6
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"11,399",100.0
99,1.00 or less,"11,203",98.3
100,1.01 to 1.50,177,1.6
101,1.51 or more,19,0.2
102,,,
103,VALUE,,
104,Owner-occupied units,"6,408",100.0
105,"Less than $50,000",277,4.3
106,"$50,000 to $99,999",176,2.7
107,"$100,000 to $149,999",52,0.8
108,"$150,000 to $199,999",200,3.1
109,"$200,000 to $299,999",939,14.7
110,"$300,000 to $499,999","2,597",40.5
111,"$500,000 to $999,999","1,890",29.5
112,"$1,000,000 or more",277,4.3
113,Median (dollars),"397,700",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"6,408",100.0
117,Housing units with a mortgage,"3,734",58.3
118,Housing units without a mortgage,"2,674",41.7
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"3,734",100.0
122,Less than $300,0,0.0
123,$300 to $499,80,2.1
124,$500 to $699,125,3.3
125,$700 to $999,302,8.1
126,"$1,000 to $1,499","1,027",27.5
127,"$1,500 to $1,999",787,21.1
128,"$2,000 or more","1,413",37.8
129,Median (dollars),"1,715",
130,,,
131,Housing units without a mortgage,"2,674",100.0
132,Less than $100,0,0.0
133,$100 to $199,73,2.7
134,$200 to $299,177,6.6
135,$300 to $399,534,20.0
136,$400 or more,"1,890",70.7
137,Median (dollars),485,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"3,734",100.0
141,Less than 20.0 percent,"1,048",28.1
142,20.0 to 24.9 percent,524,14.0
143,25.0 to 29.9 percent,475,12.7
144,30.0 to 34.9 percent,240,6.4
145,35.0 percent or more,"1,447",38.8
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),"2,674",100.0
150,Less than 10.0 percent,898,33.6
151,10.0 to 14.9 percent,540,20.2
152,15.0 to 19.9 percent,393,14.7
153,20.0 to 24.9 percent,227,8.5
