,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,46,100.0
2,Family households (families),30,65.2
3,With own children under 18 years,4,8.7
4,Married-couple family,23,50.0
5,With own children under 18 years,0,0.0
6,"Male householder, no wife present, family",3,6.5
7,With own children under 18 years,0,0.0
8,"Female householder, no husband present, family",4,8.7
9,With own children under 18 years,4,8.7
10,Nonfamily households,16,34.8
11,Householder living alone,2,4.3
12,65 years and over,2,4.3
13,,,
14,Households with one or more people under 18 years,7,15.2
15,Households with one or more people 65 years and over,15,32.6
16,,,
17,Average household size,1.96,
18,Average family size,2.03,
19,,,
20,RELATIONSHIP,,
21,Population in households,90,100.0
22,Householder,46,51.1
23,Spouse,22,24.4
24,Child,4,4.4
25,Other relatives,5,5.6
26,Nonrelatives,13,14.4
27,Unmarried partner,11,12.2
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,40,100.0
31,Never married,8,20.0
32,"Now married, except separated",24,60.0
33,Separated,0,0.0
34,Widowed,3,7.5
35,Divorced,5,12.5
36,,,
37,Females 15 years and over,43,100.0
38,Never married,0,0.0
39,"Now married, except separated",21,48.8
40,Separated,0,0.0
41,Widowed,6,14.0
42,Divorced,16,37.2
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,0,100.0
46,"Unmarried women (widowed, divorced, and never married)",0,25.7
47,"Per 1,000 unmarried women",0,
48,"Per 1,000 women 15 to 50 years old",0,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",0,
51,"Per 1,000 women 35 to 50 years old",0,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,0,100.0
55,Responsible for grandchildren,0,34.4
56,Years responsible for grandchildren,,
57,Less than 1 year,0,0.0
58,1 or 2 years,0,27.4
59,3 or 4 years,0,0.0
60,5 or more years,0,7.0
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,0,34.4
63,Who are female,0,16.6
64,Who are married,0,27.4
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,7,100.0
68,"Nursery school, preschool",0,0.0
69,Kindergarten,0,0.0
70,Elementary school (grades 1-8),7,100.0
71,High school (grades 9-12),0,0.0
72,College or graduate school,0,0.0
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,83,100.0
76,Less than 9th grade,0,0.0
77,"9th to 12th grade, no diploma",8,9.6
78,High school graduate (includes equivalency),23,27.7
79,"Some college, no degree",31,37.3
80,Associate's degree,2,2.4
81,Bachelor's degree,19,22.9
82,Graduate or professional degree,0,0.0
83,,,
84,Percent high school graduate or higher,90.4,
85,Percent bachelor's degree or higher,22.9,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,83,100.0
89,Civilian veterans,18,21.7
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,90,100.0
93,Same house,54,60.0
94,Different house in the U.S.,36,40.0
95,Same county,21,23.3
96,Different county,15,16.7
97,Same state,15,16.7
98,Different state,0,0.0
99,Abroad,0,0.0
100,,,
101,PLACE OF BIRTH,,
102,Total population,90,100.0
103,Native,90,100.0
104,Born in United States,90,100.0
105,State of residence,58,64.4
106,Different state,32,35.6
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",0,0.0
108,Foreign born,0,0.0
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,0,100.0
112,Naturalized U.S. citizen,0,56.1
113,Not a U.S. citizen,0,43.9
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,0,100.0
117,,,
118,Native,0,21.1
119,Entered 2000 or later,0,1.8
120,Entered before 2000,0,19.3
121,,,
122,Foreign born,0,78.9
123,Entered 2000 or later,0,24.3
124,Entered before 2000,0,54.7
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea",0,100.0
128,Europe,0,34.9
129,Asia,0,31.0
130,Africa,0,1.9
131,Oceania,0,0.5
132,Latin America,0,23.5
133,Northern America,0,8.2
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,90,100.0
137,English only,90,100.0
138,Language other than English,0,0.0
139,"Speak English less than ""very well""",0,0.0
140,Spanish,0,0.0
141,"Speak English less than ""very well""",0,0.0
142,Other Indo-European languages,0,0.0
143,"Speak English less than ""very well""",0,0.0
144,Asian and Pacific Islander languages,0,0.0
145,"Speak English less than ""very well""",0,0.0
146,Other languages,0,0.0
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,90,100.0
151,American,3,3.3
152,Arab,0,0.0
153,Czech,0,0.0
154,Danish,0,0.0
155,Dutch,4,4.4
156,English,14,15.6
157,French (except Basque),5,5.6
158,French Canadian,0,0.0
159,German,9,10.0
160,Greek,0,0.0
161,Hungarian,4,4.4
162,Irish,21,23.3
163,Italian,1,1.1
164,Lithuanian,0,0.0
165,Norwegian,0,0.0
166,Polish,0,0.0
167,Portuguese,0,0.0
168,Russian,0,0.0
169,Scotch-Irish,0,0.0
170,Scottish,3,3.3
171,Slovak,0,0.0
172,Subsaharan African,0,0.0
173,Swedish,1,1.1
174,Swiss,0,0.0
175,Ukrainian,0,0.0
176,Welsh,5,5.6
177,West Indian (excluding Hispanic origin groups),0,0.0
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
