,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"11,784",100.0
3,In labor force,"7,241",61.4
4,Civilian labor force,"6,986",59.3
5,Employed,"6,479",55.0
6,Unemployed,507,4.3
7,Armed Forces,255,2.2
8,Not in labor force,"4,543",38.6
9,,,
10,Civilian labor force,"6,986",59.3
11,Percent Unemployed,7.3,
12,,,
13,Females 16 years and over,"6,052",51.4
14,In labor force,"3,421",29.0
15,Civilian labor force,"3,421",29.0
16,Employed,"3,173",26.9
17,,,
18,Own children under 6 years,862,7.3
19,All parents in family in labor force,483,4.1
20,,,
21,Own children 6 to 17 years,"1,674",14.2
22,All parents in family in labor force,"1,129",9.6
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"6,598",100.0
26,"Car, truck, or van -- drove alone","4,705",71.3
27,"Car, truck, or van -- carpooled",921,14.0
28,Public transportation (excluding taxicab),100,1.5
29,Walked,515,7.8
30,Other means,140,2.1
31,Worked at home,217,3.3
32,,,
33,Mean travel time to work (minutes),16.9,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"6,479",100.0
37,"Management, professional, and related occupations","1,580",24.4
38,Service occupations,"1,610",24.8
39,Sales and office occupations,"1,766",27.3
40,"Farming, fishing, and forestry occupations",230,3.5
41,"Construction, extraction, maintenance, and repair occupations",529,8.2
42,"Production, transportation, and material moving occupations",764,11.8
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"6,479",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",221,3.4
47,Construction,457,7.1
48,Manufacturing,613,9.5
49,Wholesale trade,138,2.1
50,Retail trade,"1,069",16.5
51,"Transportation and warehousing, and utilities",339,5.2
52,Information,138,2.1
53,"Finance and insurance, & real estate & rental & leasing",245,3.8
54,"Professional, scientific & mgmt, & admin & waste mgmt services",597,9.2
55,Educational services & health care & social assistance,"1,136",17.5
56,"Arts, entertainment & recreation & accommodation & food services","1,079",16.7
57,"Other services, except public administration",247,3.8
58,Public administration,200,3.1
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"6,479",100.0
62,Private wage and salary workers,"4,881",75.3
63,Government workers,884,13.6
64,Self-employed in own not incorporated business workers,700,10.8
65,Unpaid family workers,14,0.2
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"6,245",100.0
69,"Less than $10,000",596,9.5
70,"$10,000 to $14,999",438,7.0
71,"$15,000 to $24,999",970,15.5
72,"$25,000 to $34,999",718,11.5
73,"$35,000 to $49,999","1,081",17.3
74,"$50,000 to $74,999","1,226",19.6
75,"$75,000 to $99,999",466,7.5
76,"$100,000 to $149,999",563,9.0
77,"$150,000 to $199,999",45,0.7
78,"$200,000 or more",142,2.3
79,Median household income (dollars),"38,428",
80,Mean household income (dollars),"54,398",
81,,,
82,With earnings,"4,777",76.5
83,Mean earnings (dollars),"51,056",
84,With Social Security,"2,027",32.5
85,Mean Social Security income (dollars),"14,132",
86,With retirement income,"1,334",21.4
87,Mean retirement income (dollars),"18,689",
88,,,
89,With Supplemental Security Income,281,4.5
90,Mean Supplemental Security Income (dollars),"6,268",
91,With cash public assistance income,228,3.7
92,Mean cash public assistance income (dollars),"3,186",
93,With Food Stamp/SNAP benefits in the past 12 months,741,11.9
94,,,
95,Families,"3,599",100.0
96,"Less than $10,000",189,5.3
97,"$10,000 to $14,999",149,4.1
98,"$15,000 to $24,999",194,5.4
99,"$25,000 to $34,999",448,12.4
100,"$35,000 to $49,999",760,21.1
101,"$50,000 to $74,999",916,25.5
102,"$75,000 to $99,999",406,11.3
103,"$100,000 to $149,999",397,11.0
104,"$150,000 to $199,999",45,1.3
105,"$200,000 or more",95,2.6
106,Median family income (dollars),"53,463",
107,Mean family income (dollars),"67,715",
108,,,
109,Per capita income (dollars),"24,063",
110,,,
111,Nonfamily households,"2,646",73.5
112,Median nonfamily income (dollars),"23,083",
113,Mean nonfamily income (dollars),"34,499",
114,,,
115,Median earnings for workers (dollars),"20,295",
116,"Median earnings for male full-time, year-round workers (dollars)","40,713",
117,"Median earnings for female full-time, year-round workers (dollars)","27,703",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,9.4,
121,With related children under 18 years,16.7,
122,With related children under 5 years only,2.6,
123,Married couple families,4.3,
124,With related children under 18 years,6.8,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",29.5,
127,With related children under 18 years,39.7,
128,With related children under 5 years only,14.8,
129,,,
130,All people,13.2,
131,Under 18 years,17.7,
132,Related children under 18 years,17.7,
133,Related children under 5 years,15.6,
134,Related children 5 to 17 years,18.4,
135,18 years and over,12.1,
136,18 to 64 years,13.4,
137,65 years and over,6.7,
138,People in families,9.5,
139,Unrelated individuals 15 years and over,24.1,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
