,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"10,910",100.0
3,In labor force,"6,371",58.4
4,Civilian labor force,"6,371",58.4
5,Employed,"5,637",51.7
6,Unemployed,734,6.7
7,Armed Forces,0,0.0
8,Not in labor force,"4,539",41.6
9,,,
10,Civilian labor force,"6,371",58.4
11,Percent Unemployed,11.5,
12,,,
13,Females 16 years and over,"5,573",51.1
14,In labor force,"2,971",27.2
15,Civilian labor force,"2,971",27.2
16,Employed,"2,728",25.0
17,,,
18,Own children under 6 years,787,7.2
19,All parents in family in labor force,562,5.2
20,,,
21,Own children 6 to 17 years,"1,845",16.9
22,All parents in family in labor force,"1,337",12.3
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"5,431",100.0
26,"Car, truck, or van -- drove alone","3,963",73.0
27,"Car, truck, or van -- carpooled",555,10.2
28,Public transportation (excluding taxicab),12,0.2
29,Walked,258,4.8
30,Other means,271,5.0
31,Worked at home,372,6.8
32,,,
33,Mean travel time to work (minutes),13.9,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"5,637",100.0
37,"Management, professional, and related occupations","1,800",31.9
38,Service occupations,"1,134",20.1
39,Sales and office occupations,"1,283",22.8
40,"Farming, fishing, and forestry occupations",116,2.1
41,"Construction, extraction, maintenance, and repair occupations",551,9.8
42,"Production, transportation, and material moving occupations",753,13.4
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"5,637",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",538,9.5
47,Construction,468,8.3
48,Manufacturing,568,10.1
49,Wholesale trade,33,0.6
50,Retail trade,630,11.2
51,"Transportation and warehousing, and utilities",308,5.5
52,Information,145,2.6
53,"Finance and insurance, & real estate & rental & leasing",244,4.3
54,"Professional, scientific & mgmt, & admin & waste mgmt services",279,4.9
55,Educational services & health care & social assistance,"1,159",20.6
56,"Arts, entertainment & recreation & accommodation & food services",570,10.1
57,"Other services, except public administration",256,4.5
58,Public administration,439,7.8
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"5,637",100.0
62,Private wage and salary workers,"3,774",67.0
63,Government workers,"1,056",18.7
64,Self-employed in own not incorporated business workers,777,13.8
65,Unpaid family workers,30,0.5
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"5,739",100.0
69,"Less than $10,000",687,12.0
70,"$10,000 to $14,999",470,8.2
71,"$15,000 to $24,999",782,13.6
72,"$25,000 to $34,999",512,8.9
73,"$35,000 to $49,999",940,16.4
74,"$50,000 to $74,999","1,007",17.5
75,"$75,000 to $99,999",685,11.9
76,"$100,000 to $149,999",435,7.6
77,"$150,000 to $199,999",92,1.6
78,"$200,000 or more",129,2.2
79,Median household income (dollars),"41,157",
80,Mean household income (dollars),"52,931",
81,,,
82,With earnings,"4,205",73.3
83,Mean earnings (dollars),"51,249",
84,With Social Security,"2,069",36.1
85,Mean Social Security income (dollars),"14,314",
86,With retirement income,"1,329",23.2
87,Mean retirement income (dollars),"21,301",
88,,,
89,With Supplemental Security Income,232,4.0
90,Mean Supplemental Security Income (dollars),"7,344",
91,With cash public assistance income,377,6.6
92,Mean cash public assistance income (dollars),"3,189",
93,With Food Stamp/SNAP benefits in the past 12 months,943,16.4
94,,,
95,Families,"4,023",100.0
96,"Less than $10,000",246,6.1
97,"$10,000 to $14,999",179,4.4
98,"$15,000 to $24,999",400,9.9
99,"$25,000 to $34,999",400,9.9
100,"$35,000 to $49,999",738,18.3
101,"$50,000 to $74,999",855,21.3
102,"$75,000 to $99,999",588,14.6
103,"$100,000 to $149,999",436,10.8
104,"$150,000 to $199,999",70,1.7
105,"$200,000 or more",111,2.8
106,Median family income (dollars),"51,250",
107,Mean family income (dollars),"63,030",
108,,,
109,Per capita income (dollars),"22,841",
110,,,
111,Nonfamily households,"1,716",42.7
112,Median nonfamily income (dollars),"17,273",
113,Mean nonfamily income (dollars),"27,417",
114,,,
115,Median earnings for workers (dollars),"20,458",
116,"Median earnings for male full-time, year-round workers (dollars)","48,022",
117,"Median earnings for female full-time, year-round workers (dollars)","29,304",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,13.4,
121,With related children under 18 years,19.4,
122,With related children under 5 years only,39.7,
123,Married couple families,8.0,
124,With related children under 18 years,9.1,
125,With related children under 5 years only,31.8,
126,"Families with female householder, no husband present",41.7,
127,With related children under 18 years,50.1,
128,With related children under 5 years only,70.7,
129,,,
130,All people,19.8,
131,Under 18 years,23.4,
132,Related children under 18 years,23.4,
133,Related children under 5 years,45.3,
134,Related children 5 to 17 years,15.6,
135,18 years and over,18.8,
136,18 to 64 years,20.9,
137,65 years and over,12.2,
138,People in families,15.0,
139,Unrelated individuals 15 years and over,42.1,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
