,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"3,282",100.0
2,Family households (families),"1,666",50.8
3,With own children under 18 years,475,14.5
4,Married-couple family,"1,262",38.5
5,With own children under 18 years,311,9.5
6,"Male householder, no wife present, family",80,2.4
7,With own children under 18 years,36,1.1
8,"Female householder, no husband present, family",324,9.9
9,With own children under 18 years,128,3.9
10,Nonfamily households,"1,616",49.2
11,Householder living alone,"1,376",41.9
12,65 years and over,482,14.7
13,,,
14,Households with one or more people under 18 years,538,16.4
15,Households with one or more people 65 years and over,"1,074",32.7
16,,,
17,Average household size,1.99,
18,Average family size,2.68,
19,,,
20,RELATIONSHIP,,
21,Population in households,"6,525",100.0
22,Householder,"3,282",50.3
23,Spouse,"1,244",19.1
24,Child,"1,091",16.7
25,Other relatives,463,7.1
26,Nonrelatives,445,6.8
27,Unmarried partner,124,1.9
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"3,153",100.0
31,Never married,"1,085",34.4
32,"Now married, except separated","1,317",41.8
33,Separated,0,0.0
34,Widowed,141,4.5
35,Divorced,610,19.3
36,,,
37,Females 15 years and over,"2,801",100.0
38,Never married,557,19.9
39,"Now married, except separated","1,331",47.5
40,Separated,23,0.8
41,Widowed,335,12.0
42,Divorced,555,19.8
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,35,100.0
46,"Unmarried women (widowed, divorced, and never married)",0,0.0
47,"Per 1,000 unmarried women",0,
48,"Per 1,000 women 15 to 50 years old",35,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",114,
51,"Per 1,000 women 35 to 50 years old",0,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,76,100.0
55,Responsible for grandchildren,44,57.9
56,Years responsible for grandchildren,,
57,Less than 1 year,27,35.5
58,1 or 2 years,0,0.0
59,3 or 4 years,17,22.4
60,5 or more years,0,0.0
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,44,57.9
63,Who are female,31,40.8
64,Who are married,27,35.5
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,888,100.0
68,"Nursery school, preschool",27,3.0
69,Kindergarten,39,4.4
70,Elementary school (grades 1-8),191,21.5
71,High school (grades 9-12),494,55.6
72,College or graduate school,137,15.4
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"4,929",100.0
76,Less than 9th grade,82,1.7
77,"9th to 12th grade, no diploma",415,8.4
78,High school graduate (includes equivalency),"1,559",31.6
79,"Some college, no degree","1,342",27.2
80,Associate's degree,362,7.3
81,Bachelor's degree,741,15.0
82,Graduate or professional degree,428,8.7
83,,,
84,Percent high school graduate or higher,89.9,
85,Percent bachelor's degree or higher,23.7,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"5,542",100.0
89,Civilian veterans,907,16.4
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"6,514",100.0
93,Same house,"4,852",74.5
94,Different house in the U.S.,"1,644",25.2
95,Same county,"1,308",20.1
96,Different county,336,5.2
97,Same state,74,1.1
98,Different state,262,4.0
99,Abroad,18,0.3
100,,,
101,PLACE OF BIRTH,,
102,Total population,"6,525",100.0
103,Native,"6,379",97.8
104,Born in United States,"6,355",97.4
105,State of residence,"2,338",35.8
106,Different state,"4,017",61.6
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",24,0.4
108,Foreign born,146,2.2
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,146,100.0
112,Naturalized U.S. citizen,105,71.9
113,Not a U.S. citizen,41,28.1
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,170,100.0
117,,,
118,Native,24,14.1
119,Entered 2000 or later,0,0.0
120,Entered before 2000,24,14.1
121,,,
122,Foreign born,146,85.9
123,Entered 2000 or later,0,0.0
124,Entered before 2000,146,85.9
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea",146,100.0
