,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"191,890",100.0
3,In labor force,"138,234",72.0
4,Civilian labor force,"138,026",71.9
5,Employed,"128,184",66.8
6,Unemployed,"9,842",5.1
7,Armed Forces,208,0.1
8,Not in labor force,"53,656",28.0
9,,,
10,Civilian labor force,"138,026",71.9
11,Percent Unemployed,7.1,
12,,,
13,Females 16 years and over,"97,246",50.7
14,In labor force,"62,326",32.5
15,Civilian labor force,"62,279",32.5
16,Employed,"58,061",30.3
17,,,
18,Own children under 6 years,"20,590",10.7
19,All parents in family in labor force,"10,841",5.6
20,,,
21,Own children 6 to 17 years,"39,376",20.5
22,All parents in family in labor force,"26,384",13.7
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"125,222",100.0
26,"Car, truck, or van -- drove alone","92,417",73.8
27,"Car, truck, or van -- carpooled","12,344",9.9
28,Public transportation (excluding taxicab),"8,806",7.0
29,Walked,"3,296",2.6
30,Other means,"2,264",1.8
31,Worked at home,"6,095",4.9
32,,,
33,Mean travel time to work (minutes),23.6,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"128,184",100.0
37,"Management, professional, and related occupations","57,444",44.8
38,Service occupations,"17,160",13.4
39,Sales and office occupations,"34,263",26.7
40,"Farming, fishing, and forestry occupations",275,0.2
41,"Construction, extraction, maintenance, and repair occupations","8,058",6.3
42,"Production, transportation, and material moving occupations","10,984",8.6
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"128,184",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",696,0.5
47,Construction,"7,362",5.7
48,Manufacturing,"21,115",16.5
49,Wholesale trade,"4,883",3.8
50,Retail trade,"15,405",12.0
51,"Transportation and warehousing, and utilities","4,809",3.8
52,Information,"3,246",2.5
53,"Finance and insurance, & real estate & rental & leasing","12,149",9.5
54,"Professional, scientific & mgmt, & admin & waste mgmt services","16,967",13.2
55,Educational services & health care & social assistance,"23,358",18.2
56,"Arts, entertainment & recreation & accommodation & food services","10,051",7.8
57,"Other services, except public administration","4,743",3.7
58,Public administration,"3,400",2.7
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"128,184",100.0
62,Private wage and salary workers,"108,007",84.3
63,Government workers,"11,823",9.2
64,Self-employed in own not incorporated business workers,"8,125",6.3
65,Unpaid family workers,229,0.2
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"95,394",100.0
69,"Less than $10,000","3,741",3.9
70,"$10,000 to $14,999","3,687",3.9
71,"$15,000 to $24,999","7,853",8.2
72,"$25,000 to $34,999","9,342",9.8
73,"$35,000 to $49,999","12,698",13.3
74,"$50,000 to $74,999","18,134",19.0
75,"$75,000 to $99,999","13,420",14.1
76,"$100,000 to $149,999","14,973",15.7
77,"$150,000 to $199,999","6,282",6.6
78,"$200,000 or more","5,264",5.5
79,Median household income (dollars),"63,535",
80,Mean household income (dollars),"82,499",
81,,,
82,With earnings,"83,529",87.6
83,Mean earnings (dollars),"81,306",
84,With Social Security,"17,411",18.3
85,Mean Social Security income (dollars),"16,256",
86,With retirement income,"11,620",12.2
87,Mean retirement income (dollars),"24,860",
88,,,
89,With Supplemental Security Income,"1,650",1.7
90,Mean Supplemental Security Income (dollars),"8,180",
91,With cash public assistance income,"1,760",1.8
92,Mean cash public assistance income (dollars),"3,517",
93,With Food Stamp/SNAP benefits in the past 12 months,"6,189",6.5
94,,,
95,Families,"61,364",100.0
96,"Less than $10,000","1,834",3.0
97,"$10,000 to $14,999","1,402",2.3
98,"$15,000 to $24,999","3,786",6.2
99,"$25,000 to $34,999","4,084",6.7
100,"$35,000 to $49,999","6,561",10.7
101,"$50,000 to $74,999","10,773",17.6
102,"$75,000 to $99,999","10,058",16.4
103,"$100,000 to $149,999","12,505",20.4
104,"$150,000 to $199,999","5,613",9.1
105,"$200,000 or more","4,748",7.7
106,Median family income (dollars),"80,304",
107,Mean family income (dollars),"97,750",
108,,,
109,Per capita income (dollars),"32,919",
110,,,
111,Nonfamily households,"34,030",55.5
112,Median nonfamily income (dollars),"40,106",
113,Mean nonfamily income (dollars),"52,134",
114,,,
115,Median earnings for workers (dollars),"33,818",
116,"Median earnings for male full-time, year-round workers (dollars)","55,352",
117,"Median earnings for female full-time, year-round workers (dollars)","39,682",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,6.6,
121,With related children under 18 years,9.4,
122,With related children under 5 years only,13.2,
123,Married couple families,2.9,
124,With related children under 18 years,3.9,
125,With related children under 5 years only,5.8,
126,"Families with female householder, no husband present",24.0,
127,With related children under 18 years,28.9,
128,With related children under 5 years only,43.8,
129,,,
130,All people,8.9,
131,Under 18 years,11.5,
132,Related children under 18 years,10.9,
133,Related children under 5 years,15.9,
134,Related children 5 to 17 years,8.9,
135,18 years and over,8.0,
136,18 to 64 years,8.3,
137,65 years and over,5.8,
138,People in families,7.1,
139,Unrelated individuals 15 years and over,15.8,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
