,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"53,014",100.0
3,Occupied housing units,"43,160",81.4
4,Vacant housing units,"9,854",18.6
5,,,
6,Homeowner vacancy rate,3.8,
7,Rental vacancy rate,8.4,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"53,014",100.0
11,"1-unit, detached","37,375",70.5
12,"1-unit, attached","1,884",3.6
13,2 units,"1,840",3.5
14,3 or 4 units,"2,198",4.1
15,5 to 9 units,"1,822",3.4
16,10 to 19 units,679,1.3
17,20 or more units,"1,886",3.6
18,Mobile home,"5,305",10.0
19,"Boat, RV, van, etc.",25,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"53,014",100.0
23,Built 2005 or later,"3,919",7.4
24,Built 2000 to 2004,"10,022",18.9
25,Built 1990 to 1999,"15,089",28.5
26,Built 1980 to 1989,"8,032",15.2
27,Built 1970 to 1979,"9,189",17.3
28,Built 1960 to 1969,"2,565",4.8
29,Built 1950 to 1959,"1,415",2.7
30,Built 1940 to 1949,799,1.5
31,Built 1939 or earlier,"1,984",3.7
32,,,
33,ROOMS,,
34,Total housing units,"53,014",100.0
35,1 room,616,1.2
36,2 rooms,"1,578",3.0
37,3 rooms,"3,102",5.9
38,4 rooms,"7,619",14.4
39,5 rooms,"12,300",23.2
40,6 rooms,"13,056",24.6
41,7 rooms,"7,495",14.1
42,8 rooms,"4,120",7.8
43,9 rooms or more,"3,128",5.9
44,Median rooms,5.6,
45,,,
46,BEDROOMS,,
47,Total housing units,"53,014",100.0
48,No bedroom,673,1.3
49,1 bedroom,"3,994",7.5
50,2 bedrooms,"12,761",24.1
51,3 bedrooms,"27,910",52.6
52,4 bedrooms,"6,657",12.6
53,5 or more bedrooms,"1,019",1.9
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"43,160",100.0
57,Owner-occupied,"29,126",67.5
58,Renter-occupied,"14,034",32.5
59,,,
60,Average household size of owner-occupied unit,2.47,
61,Average household size of renter-occupied unit,2.27,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"43,160",100.0
65,Moved in 2005 or later,"15,796",36.6
66,Moved in 2000 to 2004,"15,003",34.8
67,Moved in 1990 to 1999,"8,257",19.1
68,Moved in 1980 to 1989,"2,338",5.4
69,Moved in 1970 to 1979,"1,315",3.0
70,Moved in 1969 or earlier,451,1.0
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"43,160",100.0
74,No vehicles available,"1,791",4.1
75,1 vehicle available,"12,286",28.5
76,2 vehicles available,"18,861",43.7
77,3 or more vehicles available,"10,222",23.7
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"43,160",100.0
81,Utility gas,"19,063",44.2
82,"Bottled, tank, or LP gas","1,099",2.5
83,Electricity,"18,123",42.0
84,"Fuel oil, kerosene, etc.",943,2.2
85,Coal or coke,43,0.1
86,Wood,"3,641",8.4
87,Solar energy,28,0.1
88,Other fuel,194,0.4
89,No fuel used,26,0.1
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"43,160",100.0
93,Lacking complete plumbing facilities,"1,291",3.0
94,Lacking complete kitchen facilities,"1,667",3.9
95,No telephone service available,"1,499",3.5
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"43,160",100.0
99,1.00 or less,"42,591",98.7
100,1.01 to 1.50,439,1.0
101,1.51 or more,130,0.3
102,,,
103,VALUE,,
104,Owner-occupied units,"29,126",100.0
105,"Less than $50,000","1,063",3.6
106,"$50,000 to $99,999","1,037",3.6
107,"$100,000 to $149,999","1,459",5.0
108,"$150,000 to $199,999","2,933",10.1
109,"$200,000 to $299,999","7,293",25.0
110,"$300,000 to $499,999","9,118",31.3
111,"$500,000 to $999,999","5,113",17.6
112,"$1,000,000 or more","1,110",3.8
113,Median (dollars),"313,500",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"29,126",100.0
117,Housing units with a mortgage,"21,273",73.0
118,Housing units without a mortgage,"7,853",27.0
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"21,273",100.0
122,Less than $300,0,0.0
123,$300 to $499,347,1.6
124,$500 to $699,789,3.7
125,$700 to $999,"2,540",11.9
126,"$1,000 to $1,499","6,381",30.0
127,"$1,500 to $1,999","4,552",21.4
128,"$2,000 or more","6,664",31.3
129,Median (dollars),"1,558",
130,,,
131,Housing units without a mortgage,"7,853",100.0
132,Less than $100,117,1.5
133,$100 to $199,499,6.4
134,$200 to $299,"1,177",15.0
135,$300 to $399,"1,894",24.1
136,$400 or more,"4,166",53.0
137,Median (dollars),416,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"21,198",100.0
141,Less than 20.0 percent,"5,833",27.5
142,20.0 to 24.9 percent,"3,165",14.9
143,25.0 to 29.9 percent,"2,685",12.7
144,30.0 to 34.9 percent,"2,134",10.1
145,35.0 percent or more,"7,381",34.8
146,,,
147,Not computed,75,0.4
148,,,
