,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"13,531",100.0
2,Family households (families),"8,708",64.4
3,With own children under 18 years,"3,915",28.9
4,Married-couple family,"6,589",48.7
5,With own children under 18 years,"2,702",20.0
6,"Male householder, no wife present, family",725,5.4
7,With own children under 18 years,373,2.8
8,"Female householder, no husband present, family","1,394",10.3
9,With own children under 18 years,840,6.2
10,Nonfamily households,"4,823",35.6
11,Householder living alone,"3,120",23.1
12,65 years and over,"1,555",11.5
13,,,
14,Households with one or more people under 18 years,"4,343",32.1
15,Households with one or more people 65 years and over,"3,731",27.6
16,,,
17,Average household size,2.63,
18,Average family size,3.15,
19,,,
20,RELATIONSHIP,,
21,Population in households,"35,654",100.0
22,Householder,"13,531",38.0
23,Spouse,"6,648",18.6
24,Child,"9,782",27.4
25,Other relatives,"2,253",6.3
26,Nonrelatives,"3,440",9.6
27,Unmarried partner,"1,169",3.3
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"13,819",100.0
31,Never married,"4,214",30.5
32,"Now married, except separated","7,165",51.8
33,Separated,198,1.4
34,Widowed,310,2.2
35,Divorced,"1,932",14.0
36,,,
37,Females 15 years and over,"14,667",100.0
38,Never married,"3,623",24.7
39,"Now married, except separated","6,803",46.4
40,Separated,314,2.1
41,Widowed,"1,592",10.9
42,Divorced,"2,335",15.9
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,742,100.0
46,"Unmarried women (widowed, divorced, and never married)",342,46.1
47,"Per 1,000 unmarried women",75,
48,"Per 1,000 women 15 to 50 years old",85,
49,"Per 1,000 women 15 to 19 years old",58,
50,"Per 1,000 women 20 to 34 years old",142,
51,"Per 1,000 women 35 to 50 years old",38,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,676,100.0
55,Responsible for grandchildren,227,33.6
56,Years responsible for grandchildren,,
57,Less than 1 year,51,7.5
58,1 or 2 years,60,8.9
59,3 or 4 years,0,0.0
60,5 or more years,116,17.2
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,227,33.6
63,Who are female,137,20.3
64,Who are married,174,25.7
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"8,680",100.0
68,"Nursery school, preschool",536,6.2
69,Kindergarten,672,7.7
70,Elementary school (grades 1-8),"3,859",44.5
71,High school (grades 9-12),"1,785",20.6
72,College or graduate school,"1,828",21.1
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"23,594",100.0
76,Less than 9th grade,"1,149",4.9
77,"9th to 12th grade, no diploma","1,657",7.0
78,High school graduate (includes equivalency),"6,909",29.3
79,"Some college, no degree","7,377",31.3
80,Associate's degree,"2,026",8.6
81,Bachelor's degree,"3,150",13.4
82,Graduate or professional degree,"1,326",5.6
83,,,
84,Percent high school graduate or higher,88.1,
85,Percent bachelor's degree or higher,19.0,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"27,109",100.0
89,Civilian veterans,"4,021",14.8
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"35,493",100.0
93,Same house,"28,377",80.0
94,Different house in the U.S.,"7,030",19.8
95,Same county,"4,957",14.0
96,Different county,"2,073",5.8
97,Same state,634,1.8
98,Different state,"1,439",4.1
99,Abroad,86,0.2
100,,,
101,PLACE OF BIRTH,,
102,Total population,"35,986",100.0
103,Native,"33,722",93.7
104,Born in United States,"33,473",93.0
105,State of residence,"17,593",48.9
106,Different state,"15,880",44.1
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",249,0.7
108,Foreign born,"2,264",6.3
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,"2,264",100.0
112,Naturalized U.S. citizen,649,28.7
113,Not a U.S. citizen,"1,615",71.3
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,"2,513",100.0
117,,,
118,Native,249,9.9
119,Entered 2000 or later,30,1.2
120,Entered before 2000,219,8.7
121,,,
122,Foreign born,"2,264",90.1
123,Entered 2000 or later,849,33.8
124,Entered before 2000,"1,415",56.3
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea","2,264",100.0
128,Europe,234,10.3
129,Asia,385,17.0
130,Africa,36,1.6
131,Oceania,99,4.4
132,Latin America,"1,419",62.7
