,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,550,100.0
3,In labor force,310,56.4
4,Civilian labor force,310,56.4
5,Employed,293,53.3
6,Unemployed,17,3.1
7,Armed Forces,0,0.0
8,Not in labor force,240,43.6
9,,,
10,Civilian labor force,310,56.4
11,Percent Unemployed,5.5,
12,,,
13,Females 16 years and over,260,47.3
14,In labor force,136,24.7
15,Civilian labor force,136,24.7
16,Employed,136,24.7
17,,,
18,Own children under 6 years,30,5.5
19,All parents in family in labor force,14,2.5
20,,,
21,Own children 6 to 17 years,118,21.5
22,All parents in family in labor force,89,16.2
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,274,100.0
26,"Car, truck, or van -- drove alone",212,77.4
27,"Car, truck, or van -- carpooled",23,8.4
28,Public transportation (excluding taxicab),0,0.0
29,Walked,0,0.0
30,Other means,3,1.1
31,Worked at home,36,13.1
32,,,
33,Mean travel time to work (minutes),33.7,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,293,100.0
37,"Management, professional, and related occupations",70,23.9
38,Service occupations,44,15.0
39,Sales and office occupations,48,16.4
40,"Farming, fishing, and forestry occupations",12,4.1
41,"Construction, extraction, maintenance, and repair occupations",46,15.7
42,"Production, transportation, and material moving occupations",73,24.9
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,293,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",21,7.2
47,Construction,36,12.3
48,Manufacturing,87,29.7
49,Wholesale trade,3,1.0
50,Retail trade,32,10.9
51,"Transportation and warehousing, and utilities",15,5.1
52,Information,0,0.0
53,"Finance and insurance, & real estate & rental & leasing",3,1.0
54,"Professional, scientific & mgmt, & admin & waste mgmt services",21,7.2
55,Educational services & health care & social assistance,47,16.0
56,"Arts, entertainment & recreation & accommodation & food services",17,5.8
57,"Other services, except public administration",6,2.0
58,Public administration,5,1.7
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,293,100.0
62,Private wage and salary workers,195,66.6
63,Government workers,35,11.9
64,Self-employed in own not incorporated business workers,58,19.8
65,Unpaid family workers,5,1.7
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,259,100.0
69,"Less than $10,000",31,12.0
70,"$10,000 to $14,999",7,2.7
71,"$15,000 to $24,999",39,15.1
72,"$25,000 to $34,999",28,10.8
73,"$35,000 to $49,999",32,12.4
74,"$50,000 to $74,999",62,23.9
75,"$75,000 to $99,999",38,14.7
76,"$100,000 to $149,999",19,7.3
77,"$150,000 to $199,999",0,0.0
78,"$200,000 or more",3,1.2
79,Median household income (dollars),"42,813",
80,Mean household income (dollars),"51,286",
81,,,
82,With earnings,201,77.6
83,Mean earnings (dollars),"45,056",
84,With Social Security,75,29.0
85,Mean Social Security income (dollars),"15,091",
86,With retirement income,45,17.4
87,Mean retirement income (dollars),"29,771",
88,,,
89,With Supplemental Security Income,16,6.2
90,Mean Supplemental Security Income (dollars),"8,763",
91,With cash public assistance income,6,2.3
92,Mean cash public assistance income (dollars),"1,050",
93,With Food Stamp/SNAP benefits in the past 12 months,36,13.9
94,,,
95,Families,173,100.0
96,"Less than $10,000",17,9.8
97,"$10,000 to $14,999",2,1.2
98,"$15,000 to $24,999",27,15.6
99,"$25,000 to $34,999",15,8.7
100,"$35,000 to $49,999",21,12.1
101,"$50,000 to $74,999",48,27.7
102,"$75,000 to $99,999",23,13.3
103,"$100,000 to $149,999",17,9.8
104,"$150,000 to $199,999",0,0.0
105,"$200,000 or more",3,1.7
106,Median family income (dollars),"55,268",
107,Mean family income (dollars),"55,975",
108,,,
109,Per capita income (dollars),"19,530",
110,,,
111,Nonfamily households,86,49.7
112,Median nonfamily income (dollars),"31,667",
113,Mean nonfamily income (dollars),"41,852",
114,,,
115,Median earnings for workers (dollars),"19,464",
116,"Median earnings for male full-time, year-round workers (dollars)","41,250",
117,"Median earnings for female full-time, year-round workers (dollars)","24,750",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,15.6,
121,With related children under 18 years,13.7,
122,With related children under 5 years only,0.0,
123,Married couple families,4.7,
124,With related children under 18 years,0.0,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",24.2,
127,With related children under 18 years,25.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,17.6,
131,Under 18 years,17.6,
132,Related children under 18 years,17.6,
133,Related children under 5 years,0.0,
134,Related children 5 to 17 years,18.6,
135,18 years and over,17.6,
136,18 to 64 years,17.8,
137,65 years and over,16.1,
138,People in families,14.0,
139,Unrelated individuals 15 years and over,31.2,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
