,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"11,815",100.0
3,In labor force,"5,925",50.1
4,Civilian labor force,"5,909",50.0
5,Employed,"5,375",45.5
6,Unemployed,534,4.5
7,Armed Forces,16,0.1
8,Not in labor force,"5,890",49.9
9,,,
10,Civilian labor force,"5,909",50.0
11,Percent Unemployed,9.0,
12,,,
13,Females 16 years and over,"6,339",53.7
14,In labor force,"3,080",26.1
15,Civilian labor force,"3,080",26.1
16,Employed,"2,731",23.1
17,,,
18,Own children under 6 years,610,5.2
19,All parents in family in labor force,313,2.6
20,,,
21,Own children 6 to 17 years,"1,522",12.9
22,All parents in family in labor force,"1,198",10.1
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"5,122",100.0
26,"Car, truck, or van -- drove alone","3,958",77.3
27,"Car, truck, or van -- carpooled",411,8.0
28,Public transportation (excluding taxicab),0,0.0
29,Walked,285,5.6
30,Other means,64,1.2
31,Worked at home,404,7.9
32,,,
33,Mean travel time to work (minutes),13.2,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"5,375",100.0
37,"Management, professional, and related occupations","1,198",22.3
38,Service occupations,"1,321",24.6
39,Sales and office occupations,"1,661",30.9
40,"Farming, fishing, and forestry occupations",128,2.4
41,"Construction, extraction, maintenance, and repair occupations",568,10.6
42,"Production, transportation, and material moving occupations",499,9.3
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"5,375",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",335,6.2
47,Construction,584,10.9
48,Manufacturing,397,7.4
49,Wholesale trade,49,0.9
50,Retail trade,916,17.0
51,"Transportation and warehousing, and utilities",132,2.5
52,Information,36,0.7
53,"Finance and insurance, & real estate & rental & leasing",351,6.5
54,"Professional, scientific & mgmt, & admin & waste mgmt services",346,6.4
55,Educational services & health care & social assistance,778,14.5
56,"Arts, entertainment & recreation & accommodation & food services",659,12.3
57,"Other services, except public administration",452,8.4
58,Public administration,340,6.3
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"5,375",100.0
62,Private wage and salary workers,"3,528",65.6
63,Government workers,948,17.6
64,Self-employed in own not incorporated business workers,886,16.5
65,Unpaid family workers,13,0.2
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"6,681",100.0
69,"Less than $10,000",600,9.0
70,"$10,000 to $14,999",586,8.8
71,"$15,000 to $24,999","1,145",17.1
72,"$25,000 to $34,999",940,14.1
73,"$35,000 to $49,999",883,13.2
74,"$50,000 to $74,999","1,120",16.8
75,"$75,000 to $99,999",692,10.4
76,"$100,000 to $149,999",487,7.3
77,"$150,000 to $199,999",138,2.1
78,"$200,000 or more",90,1.3
79,Median household income (dollars),"35,701",
80,Mean household income (dollars),"50,632",
81,,,
82,With earnings,"4,211",63.0
83,Mean earnings (dollars),"48,443",
84,With Social Security,"3,184",47.7
85,Mean Social Security income (dollars),"15,539",
86,With retirement income,"1,846",27.6
87,Mean retirement income (dollars),"21,459",
88,,,
89,With Supplemental Security Income,249,3.7
90,Mean Supplemental Security Income (dollars),"9,464",
91,With cash public assistance income,115,1.7
92,Mean cash public assistance income (dollars),883,
93,With Food Stamp/SNAP benefits in the past 12 months,757,11.3
94,,,
95,Families,"4,310",100.0
96,"Less than $10,000",98,2.3
97,"$10,000 to $14,999",166,3.9
98,"$15,000 to $24,999",577,13.4
99,"$25,000 to $34,999",672,15.6
100,"$35,000 to $49,999",610,14.2
101,"$50,000 to $74,999",882,20.5
102,"$75,000 to $99,999",638,14.8
103,"$100,000 to $149,999",439,10.2
104,"$150,000 to $199,999",138,3.2
105,"$200,000 or more",90,2.1
106,Median family income (dollars),"50,714",
107,Mean family income (dollars),"63,486",
108,,,
109,Per capita income (dollars),"24,284",
110,,,
111,Nonfamily households,"2,371",55.0
112,Median nonfamily income (dollars),"18,836",
113,Mean nonfamily income (dollars),"26,358",
114,,,
115,Median earnings for workers (dollars),"21,890",
116,"Median earnings for male full-time, year-round workers (dollars)","41,716",
117,"Median earnings for female full-time, year-round workers (dollars)","26,967",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,8.0,
121,With related children under 18 years,16.3,
122,With related children under 5 years only,36.9,
123,Married couple families,4.2,
124,With related children under 18 years,8.9,
125,With related children under 5 years only,21.7,
126,"Families with female householder, no husband present",34.0,
127,With related children under 18 years,41.5,
128,With related children under 5 years only,100.0,
129,,,
130,All people,12.9,
131,Under 18 years,15.9,
132,Related children under 18 years,15.9,
133,Related children under 5 years,22.0,
134,Related children 5 to 17 years,14.2,
135,18 years and over,12.3,
136,18 to 64 years,13.9,
137,65 years and over,9.0,
138,People in families,8.6,
139,Unrelated individuals 15 years and over,29.2,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
