,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,206,100.0
2,Family households (families),131,63.6
3,With own children under 18 years,30,14.6
4,Married-couple family,112,54.4
5,With own children under 18 years,11,5.3
6,"Male householder, no wife present, family",13,6.3
7,With own children under 18 years,13,6.3
8,"Female householder, no husband present, family",6,2.9
9,With own children under 18 years,6,2.9
10,Nonfamily households,75,36.4
11,Householder living alone,67,32.5
12,65 years and over,38,18.4
13,,,
14,Households with one or more people under 18 years,34,16.5
15,Households with one or more people 65 years and over,110,53.4
16,,,
17,Average household size,2.00,
18,Average family size,2.44,
19,,,
20,RELATIONSHIP,,
21,Population in households,412,100.0
22,Householder,206,50.0
23,Spouse,125,30.3
24,Child,56,13.6
25,Other relatives,8,1.9
26,Nonrelatives,17,4.1
27,Unmarried partner,13,3.2
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,173,100.0
31,Never married,10,5.8
32,"Now married, except separated",124,71.7
33,Separated,3,1.7
34,Widowed,11,6.4
35,Divorced,25,14.5
36,,,
37,Females 15 years and over,185,100.0
38,Never married,6,3.2
39,"Now married, except separated",120,64.9
40,Separated,0,0.0
41,Widowed,25,13.5
42,Divorced,34,18.4
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,0,100.0
46,"Unmarried women (widowed, divorced, and never married)",0,13.3
47,"Per 1,000 unmarried women",0,
48,"Per 1,000 women 15 to 50 years old",0,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",0,
51,"Per 1,000 women 35 to 50 years old",0,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,8,100.0
55,Responsible for grandchildren,8,100.0
56,Years responsible for grandchildren,,
57,Less than 1 year,0,0.0
58,1 or 2 years,0,0.0
59,3 or 4 years,0,0.0
60,5 or more years,8,100.0
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,8,100.0
63,Who are female,4,50.0
64,Who are married,8,100.0
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,60,100.0
68,"Nursery school, preschool",2,3.3
69,Kindergarten,6,10.0
70,Elementary school (grades 1-8),40,66.7
71,High school (grades 9-12),4,6.7
72,College or graduate school,8,13.3
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,354,100.0
76,Less than 9th grade,15,4.2
77,"9th to 12th grade, no diploma",19,5.4
78,High school graduate (includes equivalency),116,32.8
79,"Some college, no degree",116,32.8
80,Associate's degree,10,2.8
81,Bachelor's degree,46,13.0
82,Graduate or professional degree,32,9.0
83,,,
84,Percent high school graduate or higher,90.4,
85,Percent bachelor's degree or higher,22.0,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,358,100.0
89,Civilian veterans,87,24.3
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,412,100.0
93,Same house,354,85.9
94,Different house in the U.S.,58,14.1
95,Same county,35,8.5
96,Different county,23,5.6
97,Same state,23,5.6
98,Different state,0,0.0
99,Abroad,0,0.0
100,,,
101,PLACE OF BIRTH,,
102,Total population,412,100.0
103,Native,398,96.6
104,Born in United States,398,96.6
105,State of residence,257,62.4
106,Different state,141,34.2
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",0,0.0
108,Foreign born,14,3.4
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,14,100.0
112,Naturalized U.S. citizen,7,50.0
113,Not a U.S. citizen,7,50.0
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,14,100.0
117,,,
118,Native,0,0.0
119,Entered 2000 or later,0,0.0
120,Entered before 2000,0,0.0
121,,,
122,Foreign born,14,100.0
123,Entered 2000 or later,9,64.3
124,Entered before 2000,5,35.7
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea",14,100.0
128,Europe,8,57.1
129,Asia,0,0.0
130,Africa,0,0.0
131,Oceania,4,28.6
132,Latin America,0,0.0
133,Northern America,2,14.3
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,406,100.0
137,English only,398,98.0
138,Language other than English,8,2.0
139,"Speak English less than ""very well""",3,0.7
140,Spanish,0,0.0
141,"Speak English less than ""very well""",0,0.0
142,Other Indo-European languages,8,2.0
143,"Speak English less than ""very well""",3,0.7
144,Asian and Pacific Islander languages,0,0.0
145,"Speak English less than ""very well""",0,0.0
146,Other languages,0,0.0
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,412,100.0
151,American,38,9.2
152,Arab,0,0.0
153,Czech,0,0.0
154,Danish,2,0.5
155,Dutch,25,6.1
156,English,93,22.6
157,French (except Basque),11,2.7
158,French Canadian,11,2.7
159,German,83,20.1
160,Greek,0,0.0
161,Hungarian,0,0.0
162,Irish,76,18.4
163,Italian,6,1.5
164,Lithuanian,0,0.0
165,Norwegian,9,2.2
166,Polish,4,1.0
167,Portuguese,0,0.0
168,Russian,0,0.0
169,Scotch-Irish,5,1.2
170,Scottish,62,15.0
171,Slovak,0,0.0
172,Subsaharan African,0,0.0
173,Swedish,0,0.0
174,Swiss,0,0.0
175,Ukrainian,0,0.0
176,Welsh,4,1.0
177,West Indian (excluding Hispanic origin groups),0,0.0
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
