,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"1,005",100.0
3,In labor force,572,56.9
4,Civilian labor force,572,56.9
5,Employed,513,51.0
6,Unemployed,59,5.9
7,Armed Forces,0,0.0
8,Not in labor force,433,43.1
9,,,
10,Civilian labor force,572,56.9
11,Percent Unemployed,10.3,
12,,,
13,Females 16 years and over,494,49.2
14,In labor force,252,25.1
15,Civilian labor force,252,25.1
16,Employed,229,22.8
17,,,
18,Own children under 6 years,76,7.6
19,All parents in family in labor force,16,1.6
20,,,
21,Own children 6 to 17 years,155,15.4
22,All parents in family in labor force,94,9.4
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,497,100.0
26,"Car, truck, or van -- drove alone",343,69.0
27,"Car, truck, or van -- carpooled",57,11.5
28,Public transportation (excluding taxicab),0,0.0
29,Walked,22,4.4
30,Other means,6,1.2
31,Worked at home,69,13.9
32,,,
33,Mean travel time to work (minutes),30.6,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,513,100.0
37,"Management, professional, and related occupations",139,27.1
38,Service occupations,97,18.9
39,Sales and office occupations,96,18.7
40,"Farming, fishing, and forestry occupations",26,5.1
41,"Construction, extraction, maintenance, and repair occupations",49,9.6
42,"Production, transportation, and material moving occupations",106,20.7
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,513,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",56,10.9
47,Construction,49,9.6
48,Manufacturing,58,11.3
49,Wholesale trade,16,3.1
50,Retail trade,56,10.9
51,"Transportation and warehousing, and utilities",20,3.9
52,Information,6,1.2
53,"Finance and insurance, & real estate & rental & leasing",5,1.0
54,"Professional, scientific & mgmt, & admin & waste mgmt services",46,9.0
55,Educational services & health care & social assistance,103,20.1
56,"Arts, entertainment & recreation & accommodation & food services",36,7.0
57,"Other services, except public administration",37,7.2
58,Public administration,25,4.9
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,513,100.0
62,Private wage and salary workers,294,57.3
63,Government workers,106,20.7
64,Self-employed in own not incorporated business workers,113,22.0
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,454,100.0
69,"Less than $10,000",30,6.6
70,"$10,000 to $14,999",38,8.4
71,"$15,000 to $24,999",30,6.6
72,"$25,000 to $34,999",41,9.0
73,"$35,000 to $49,999",127,28.0
74,"$50,000 to $74,999",75,16.5
75,"$75,000 to $99,999",46,10.1
76,"$100,000 to $149,999",64,14.1
77,"$150,000 to $199,999",3,0.7
78,"$200,000 or more",0,0.0
79,Median household income (dollars),"42,857",
80,Mean household income (dollars),"52,788",
81,,,
82,With earnings,332,73.1
83,Mean earnings (dollars),"48,520",
84,With Social Security,178,39.2
85,Mean Social Security income (dollars),"17,217",
86,With retirement income,124,27.3
87,Mean retirement income (dollars),"18,373",
88,,,
89,With Supplemental Security Income,26,5.7
90,Mean Supplemental Security Income (dollars),"6,804",
91,With cash public assistance income,9,2.0
92,Mean cash public assistance income (dollars),"1,800",
93,With Food Stamp/SNAP benefits in the past 12 months,51,11.2
94,,,
95,Families,368,100.0
96,"Less than $10,000",17,4.6
97,"$10,000 to $14,999",17,4.6
98,"$15,000 to $24,999",16,4.3
99,"$25,000 to $34,999",31,8.4
100,"$35,000 to $49,999",116,31.5
101,"$50,000 to $74,999",69,18.8
102,"$75,000 to $99,999",39,10.6
103,"$100,000 to $149,999",60,16.3
104,"$150,000 to $199,999",3,0.8
105,"$200,000 or more",0,0.0
106,Median family income (dollars),"45,833",
107,Mean family income (dollars),"58,068",
108,,,
109,Per capita income (dollars),"20,366",
110,,,
111,Nonfamily households,86,23.4
112,Median nonfamily income (dollars),"22,500",
113,Mean nonfamily income (dollars),"28,430",
114,,,
115,Median earnings for workers (dollars),"23,750",
116,"Median earnings for male full-time, year-round workers (dollars)","39,063",
117,"Median earnings for female full-time, year-round workers (dollars)","26,667",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,11.4,
121,With related children under 18 years,26.2,
122,With related children under 5 years only,50.0,
123,Married couple families,7.7,
124,With related children under 18 years,15.0,
125,With related children under 5 years only,56.3,
126,"Families with female householder, no husband present",12.1,
127,With related children under 18 years,50.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,15.5,
131,Under 18 years,27.1,
132,Related children under 18 years,27.1,
133,Related children under 5 years,31.7,
134,Related children 5 to 17 years,25.4,
135,18 years and over,12.6,
136,18 to 64 years,14.7,
137,65 years and over,5.4,
138,People in families,13.0,
139,Unrelated individuals 15 years and over,35.9,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
