,label,value,percent
0,-- Table/Item --,Value,Percent
1,GENDER AND AGE,,
2,Total population,869,100.0
3,Male,445,51.2
4,Female,424,48.8
5,,,
6,Under 5 years,28,3.2
7,5 to 9 years,79,9.1
8,10 to 14 years,66,7.6
9,15 to 19 years,53,6.1
10,20 to 24 years,23,2.6
11,25 to 34 years,82,9.4
12,35 to 44 years,76,8.7
13,45 to 54 years,167,19.2
14,55 to 59 years,78,9.0
15,60 to 64 years,56,6.4
16,65 to 74 years,91,10.5
17,75 to 84 years,19,2.2
18,85 years and over,51,5.9
19,,,
20,Median age (years),47.3,
21,,,
22,18 years and over,655,75.4
23,21 years and over,636,73.2
24,62 years and over,191,22.0
25,65 years and over,161,18.5
26,,,
27,18 years and over,655,75.4
28,Male,326,37.5
29,Female,329,37.9
30,,,
31,65 years and over,161,18.5
32,Male,75,8.6
33,Female,86,9.9
34,,,
35,RACE,,
36,Total population,869,100.0
37,One race,841,96.8
38,Two or more races,28,3.2
39,,,
40,One race,841,96.8
41,White,749,86.2
42,Black or African American,0,0.0
43,American Indian and Alaska Native,44,5.1
44,Cherokee tribal grouping,3,0.3
45,Chippewa tribal grouping,0,0.0
46,Navajo tribal grouping,0,0.0
47,Sioux tribal grouping,0,0.0
48,Asian,4,0.5
49,Asian Indian,0,0.0
50,Chinese,0,0.0
51,Filipino,4,0.5
52,Japanese,0,0.0
53,Korean,0,0.0
54,Vietnamese,0,0.0
55,Other Asian,0,0.0
56,Native Hawaiian and Other Pacific Islander,44,5.1
57,Native Hawaiian,0,0.0
58,Guamanian or Chamorro,44,5.1
59,Samoan,0,0.0
60,Other Pacific Islander,0,0.0
61,Some other race,0,0.0
62,Two or more races,28,3.2
63,White and Black or African American,0,0.0
64,White and American Indian and Alaska Native,9,1.0
65,White and Asian,4,0.5
66,Black or African American and American Indian and Alaska Native,0,0.0
67,,,
68,Race alone or in combination with one or more other races,,
69,Total population,869,100.0
70,White,777,89.4
71,Black or African American,0,0.0
72,American Indian and Alaska Native,53,6.1
73,Asian,8,0.9
74,Native Hawaiian and Other Pacific Islander,45,5.2
75,Some other race,14,1.6
76,,,
77,HISPANIC OR LATINO AND RACE,,
78,Total population,869,100.0
79,Hispanic or Latino (of any race),41,4.7
80,Mexican,41,4.7
81,Puerto Rican,0,0.0
82,Cuban,0,0.0
83,Other Hispanic or Latino,0,0.0
84,Not Hispanic or Latino,828,95.3
85,White alone,744,85.6
86,Black or African American alone,0,0.0
87,American Indian and Alaska Native alone,44,5.1
88,Asian alone,4,0.5
89,Native Hawaiian and Other Pacific Islander alone,8,0.9
90,Some other race alone,0,0.0
91,Two or more races,28,3.2
92,Two races including Some other race,14,1.6
93,Two races excl Some other race & three or more races,14,1.6
94,,,
95,Total housing units,319,100.0
96,,,
97,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
