,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"10,480",100.0
3,In labor force,"6,311",60.2
4,Civilian labor force,"6,311",60.2
5,Employed,"5,705",54.4
6,Unemployed,606,5.8
7,Armed Forces,0,0.0
8,Not in labor force,"4,169",39.8
9,,,
10,Civilian labor force,"6,311",60.2
11,Percent Unemployed,9.6,
12,,,
13,Females 16 years and over,"5,216",49.8
14,In labor force,"2,822",26.9
15,Civilian labor force,"2,822",26.9
16,Employed,"2,520",24.0
17,,,
18,Own children under 6 years,901,8.6
19,All parents in family in labor force,590,5.6
20,,,
21,Own children 6 to 17 years,"2,375",22.7
22,All parents in family in labor force,"1,633",15.6
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"5,526",100.0
26,"Car, truck, or van -- drove alone","4,213",76.2
27,"Car, truck, or van -- carpooled",747,13.5
28,Public transportation (excluding taxicab),10,0.2
29,Walked,166,3.0
30,Other means,38,0.7
31,Worked at home,352,6.4
32,,,
33,Mean travel time to work (minutes),24.9,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"5,705",100.0
37,"Management, professional, and related occupations","2,002",35.1
38,Service occupations,797,14.0
39,Sales and office occupations,"1,345",23.6
40,"Farming, fishing, and forestry occupations",60,1.1
41,"Construction, extraction, maintenance, and repair occupations",805,14.1
42,"Production, transportation, and material moving occupations",696,12.2
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"5,705",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",204,3.6
47,Construction,961,16.8
48,Manufacturing,536,9.4
49,Wholesale trade,64,1.1
50,Retail trade,587,10.3
51,"Transportation and warehousing, and utilities",287,5.0
52,Information,88,1.5
53,"Finance and insurance, & real estate & rental & leasing",334,5.9
54,"Professional, scientific & mgmt, & admin & waste mgmt services",333,5.8
55,Educational services & health care & social assistance,"1,073",18.8
56,"Arts, entertainment & recreation & accommodation & food services",269,4.7
57,"Other services, except public administration",249,4.4
58,Public administration,720,12.6
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"5,705",100.0
62,Private wage and salary workers,"3,752",65.8
63,Government workers,"1,373",24.1
64,Self-employed in own not incorporated business workers,580,10.2
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"4,551",100.0
69,"Less than $10,000",154,3.4
70,"$10,000 to $14,999",233,5.1
71,"$15,000 to $24,999",384,8.4
72,"$25,000 to $34,999",457,10.0
73,"$35,000 to $49,999",809,17.8
74,"$50,000 to $74,999","1,013",22.3
75,"$75,000 to $99,999",642,14.1
76,"$100,000 to $149,999",593,13.0
77,"$150,000 to $199,999",98,2.2
78,"$200,000 or more",168,3.7
79,Median household income (dollars),"56,750",
80,Mean household income (dollars),"69,918",
81,,,
82,With earnings,"3,505",77.0
83,Mean earnings (dollars),"68,668",
84,With Social Security,"1,451",31.9
85,Mean Social Security income (dollars),"15,912",
86,With retirement income,"1,033",22.7
87,Mean retirement income (dollars),"25,492",
88,,,
89,With Supplemental Security Income,127,2.8
90,Mean Supplemental Security Income (dollars),"6,506",
91,With cash public assistance income,68,1.5
92,Mean cash public assistance income (dollars),"9,957",
93,With Food Stamp/SNAP benefits in the past 12 months,491,10.8
94,,,
95,Families,"3,659",100.0
96,"Less than $10,000",88,2.4
97,"$10,000 to $14,999",180,4.9
98,"$15,000 to $24,999",181,4.9
99,"$25,000 to $34,999",290,7.9
100,"$35,000 to $49,999",641,17.5
101,"$50,000 to $74,999",961,26.3
102,"$75,000 to $99,999",610,16.7
103,"$100,000 to $149,999",479,13.1
104,"$150,000 to $199,999",85,2.3
105,"$200,000 or more",144,3.9
106,Median family income (dollars),"62,258",
107,Mean family income (dollars),"74,647",
108,,,
109,Per capita income (dollars),"24,275",
110,,,
111,Nonfamily households,892,24.4
112,Median nonfamily income (dollars),"32,143",
113,Mean nonfamily income (dollars),"44,844",
114,,,
115,Median earnings for workers (dollars),"27,417",
116,"Median earnings for male full-time, year-round workers (dollars)","49,234",
117,"Median earnings for female full-time, year-round workers (dollars)","35,504",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,8.9,
121,With related children under 18 years,15.3,
122,With related children under 5 years only,6.3,
123,Married couple families,3.7,
124,With related children under 18 years,5.5,
125,With related children under 5 years only,3.7,
126,"Families with female householder, no husband present",35.8,
127,With related children under 18 years,42.1,
128,With related children under 5 years only,23.5,
129,,,
130,All people,11.3,
131,Under 18 years,19.6,
132,Related children under 18 years,18.7,
133,Related children under 5 years,18.8,
134,Related children 5 to 17 years,18.7,
135,18 years and over,8.4,
136,18 to 64 years,8.9,
137,65 years and over,6.3,
138,People in families,9.6,
139,Unrelated individuals 15 years and over,24.8,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
