,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"10,844",100.0
2,Family households (families),"7,948",73.3
3,With own children under 18 years,"3,409",31.4
4,Married-couple family,"6,471",59.7
5,With own children under 18 years,"2,329",21.5
6,"Male householder, no wife present, family",396,3.7
7,With own children under 18 years,260,2.4
8,"Female householder, no husband present, family","1,081",10.0
9,With own children under 18 years,820,7.6
10,Nonfamily households,"2,896",26.7
11,Householder living alone,"2,232",20.6
12,65 years and over,824,7.6
13,,,
14,Households with one or more people under 18 years,"3,684",34.0
15,Households with one or more people 65 years and over,"2,740",25.3
16,,,
17,Average household size,2.54,
18,Average family size,2.89,
19,,,
20,RELATIONSHIP,,
21,Population in households,"27,576",100.0
22,Householder,"10,844",39.3
23,Spouse,"6,515",23.6
24,Child,"7,512",27.2
25,Other relatives,996,3.6
26,Nonrelatives,"1,709",6.2
27,Unmarried partner,830,3.0
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"11,000",100.0
31,Never married,"2,730",24.8
32,"Now married, except separated","6,651",60.5
33,Separated,97,0.9
34,Widowed,225,2.0
35,Divorced,"1,297",11.8
36,,,
37,Females 15 years and over,"11,196",100.0
38,Never married,"1,768",15.8
39,"Now married, except separated","6,738",60.2
40,Separated,169,1.5
41,Widowed,824,7.4
42,Divorced,"1,697",15.2
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,363,100.0
46,"Unmarried women (widowed, divorced, and never married)",96,26.4
47,"Per 1,000 unmarried women",35,
48,"Per 1,000 women 15 to 50 years old",58,
49,"Per 1,000 women 15 to 19 years old",48,
50,"Per 1,000 women 20 to 34 years old",129,
51,"Per 1,000 women 35 to 50 years old",11,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,536,100.0
55,Responsible for grandchildren,190,35.4
56,Years responsible for grandchildren,,
57,Less than 1 year,61,11.4
58,1 or 2 years,43,8.0
59,3 or 4 years,27,5.0
60,5 or more years,59,11.0
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,190,35.4
63,Who are female,79,14.7
64,Who are married,177,33.0
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"5,755",100.0
68,"Nursery school, preschool",250,4.3
69,Kindergarten,269,4.7
70,Elementary school (grades 1-8),"3,068",53.3
