,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"7,194",100.0
2,Family households (families),"4,759",66.2
3,With own children under 18 years,"2,137",29.7
4,Married-couple family,"3,956",55.0
5,With own children under 18 years,"1,721",23.9
6,"Male householder, no wife present, family",155,2.2
7,With own children under 18 years,100,1.4
8,"Female householder, no husband present, family",648,9.0
9,With own children under 18 years,316,4.4
10,Nonfamily households,"2,435",33.8
11,Householder living alone,"1,666",23.2
12,65 years and over,626,8.7
13,,,
14,Households with one or more people under 18 years,"2,364",32.9
15,Households with one or more people 65 years and over,"1,582",22.0
16,,,
17,Average household size,2.93,
18,Average family size,3.46,
19,,,
20,RELATIONSHIP,,
21,Population in households,"21,100",100.0
22,Householder,"7,194",34.1
23,Spouse,"3,853",18.3
24,Child,"6,793",32.2
25,Other relatives,"1,073",5.1
26,Nonrelatives,"2,187",10.4
27,Unmarried partner,409,1.9
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"8,140",100.0
31,Never married,"3,004",36.9
32,"Now married, except separated","4,168",51.2
33,Separated,152,1.9
34,Widowed,104,1.3
35,Divorced,712,8.7
36,,,
37,Females 15 years and over,"9,451",100.0
38,Never married,"3,983",42.1
39,"Now married, except separated","4,018",42.5
40,Separated,64,0.7
41,Widowed,665,7.0
42,Divorced,721,7.6
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,336,100.0
46,"Unmarried women (widowed, divorced, and never married)",157,46.7
47,"Per 1,000 unmarried women",38,
48,"Per 1,000 women 15 to 50 years old",51,
49,"Per 1,000 women 15 to 19 years old",29,
50,"Per 1,000 women 20 to 34 years old",79,
51,"Per 1,000 women 35 to 50 years old",5,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,371,100.0
55,Responsible for grandchildren,117,31.5
56,Years responsible for grandchildren,,
57,Less than 1 year,54,14.6
58,1 or 2 years,0,0.0
59,3 or 4 years,43,11.6
60,5 or more years,20,5.4
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,117,31.5
63,Who are female,79,21.3
64,Who are married,83,22.4
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"7,792",100.0
68,"Nursery school, preschool",255,3.3
69,Kindergarten,192,2.5
70,Elementary school (grades 1-8),"2,438",31.3
71,High school (grades 9-12),970,12.4
72,College or graduate school,"3,937",50.5
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"11,552",100.0
76,Less than 9th grade,840,7.3
77,"9th to 12th grade, no diploma","1,069",9.3
78,High school graduate (includes equivalency),"2,478",21.5
79,"Some college, no degree","3,251",28.1
80,Associate's degree,764,6.6
81,Bachelor's degree,"2,196",19.0
82,Graduate or professional degree,954,8.3
83,,,
84,Percent high school graduate or higher,83.5,
85,Percent bachelor's degree or higher,27.3,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"16,794",100.0
89,Civilian veterans,"1,515",9.0
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"21,593",100.0
93,Same house,"15,808",73.2
94,Different house in the U.S.,"5,768",26.7
95,Same county,"2,359",10.9
96,Different county,"3,409",15.8
97,Same state,"2,297",10.6
98,Different state,"1,112",5.1
99,Abroad,17,0.1
100,,,
101,PLACE OF BIRTH,,
102,Total population,"21,982",100.0
103,Native,"19,730",89.8
104,Born in United States,"19,542",88.9
105,State of residence,"11,744",53.4
106,Different state,"7,798",35.5
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",188,0.9
108,Foreign born,"2,252",10.2
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,"2,252",100.0
112,Naturalized U.S. citizen,809,35.9
113,Not a U.S. citizen,"1,443",64.1
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,"2,440",100.0
117,,,
