,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,683,100.0
3,Occupied housing units,492,72.0
4,Vacant housing units,191,28.0
5,,,
6,Homeowner vacancy rate,5.0,
7,Rental vacancy rate,0.0,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,683,100.0
11,"1-unit, detached",540,79.1
12,"1-unit, attached",3,0.4
13,2 units,16,2.3
14,3 or 4 units,0,0.0
15,5 to 9 units,7,1.0
16,10 to 19 units,0,0.0
17,20 or more units,23,3.4
18,Mobile home,94,13.8
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,683,100.0
23,Built 2005 or later,17,2.5
24,Built 2000 to 2004,0,0.0
25,Built 1990 to 1999,128,18.7
26,Built 1980 to 1989,3,0.4
27,Built 1970 to 1979,73,10.7
28,Built 1960 to 1969,57,8.3
29,Built 1950 to 1959,105,15.4
30,Built 1940 to 1949,38,5.6
31,Built 1939 or earlier,262,38.4
32,,,
33,ROOMS,,
34,Total housing units,683,100.0
35,1 room,11,1.6
36,2 rooms,28,4.1
37,3 rooms,43,6.3
38,4 rooms,107,15.7
39,5 rooms,171,25.0
40,6 rooms,155,22.7
41,7 rooms,85,12.4
42,8 rooms,21,3.1
43,9 rooms or more,62,9.1
44,Median rooms,5.4,
45,,,
46,BEDROOMS,,
47,Total housing units,683,100.0
48,No bedroom,11,1.6
49,1 bedroom,77,11.3
50,2 bedrooms,180,26.4
51,3 bedrooms,248,36.3
52,4 bedrooms,130,19.0
53,5 or more bedrooms,37,5.4
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,492,100.0
57,Owner-occupied,381,77.4
58,Renter-occupied,111,22.6
59,,,
60,Average household size of owner-occupied unit,1.87,
61,Average household size of renter-occupied unit,1.43,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,492,100.0
65,Moved in 2005 or later,116,23.6
66,Moved in 2000 to 2004,112,22.8
67,Moved in 1990 to 1999,113,23.0
68,Moved in 1980 to 1989,49,10.0
69,Moved in 1970 to 1979,68,13.8
70,Moved in 1969 or earlier,34,6.9
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,492,100.0
74,No vehicles available,42,8.5
75,1 vehicle available,154,31.3
76,2 vehicles available,141,28.7
77,3 or more vehicles available,155,31.5
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,492,100.0
81,Utility gas,20,4.1
82,"Bottled, tank, or LP gas",100,20.3
83,Electricity,155,31.5
84,"Fuel oil, kerosene, etc.",141,28.7
85,Coal or coke,0,0.0
86,Wood,76,15.4
87,Solar energy,0,0.0
88,Other fuel,0,0.0
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,492,100.0
93,Lacking complete plumbing facilities,6,1.2
94,Lacking complete kitchen facilities,11,2.2
95,No telephone service available,5,1.0
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,492,100.0
99,1.00 or less,487,99.0
100,1.01 to 1.50,5,1.0
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,381,100.0
105,"Less than $50,000",69,18.1
106,"$50,000 to $99,999",129,33.9
107,"$100,000 to $149,999",70,18.4
108,"$150,000 to $199,999",34,8.9
109,"$200,000 to $299,999",24,6.3
110,"$300,000 to $499,999",30,7.9
111,"$500,000 to $999,999",15,3.9
112,"$1,000,000 or more",10,2.6
113,Median (dollars),"98,200",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,381,100.0
117,Housing units with a mortgage,157,41.2
118,Housing units without a mortgage,224,58.8
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,157,100.0
122,Less than $300,0,0.0
123,$300 to $499,5,3.2
124,$500 to $699,24,15.3
125,$700 to $999,77,49.0
126,"$1,000 to $1,499",22,14.0
127,"$1,500 to $1,999",19,12.1
128,"$2,000 or more",10,6.4
129,Median (dollars),856,
130,,,
131,Housing units without a mortgage,224,100.0
132,Less than $100,0,0.0
133,$100 to $199,18,8.0
134,$200 to $299,80,35.7
135,$300 to $399,50,22.3
136,$400 or more,76,33.9
137,Median (dollars),330,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),157,100.0
141,Less than 20.0 percent,77,49.0
142,20.0 to 24.9 percent,19,12.1
143,25.0 to 29.9 percent,12,7.6
144,30.0 to 34.9 percent,6,3.8
145,35.0 percent or more,43,27.4
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),224,100.0
150,Less than 10.0 percent,100,44.6
151,10.0 to 14.9 percent,38,17.0
152,15.0 to 19.9 percent,33,14.7
153,20.0 to 24.9 percent,11,4.9
154,25.0 to 29.9 percent,0,0.0
155,30.0 to 34.9 percent,14,6.3
156,35.0 percent or more,28,12.5
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,75,100.0
162,Less than $200,0,0.0
163,$200 to $299,12,16.0
164,$300 to $499,12,16.0
