,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"11,497",100.0
2,Family households (families),"7,046",61.3
3,With own children under 18 years,"2,360",20.5
4,Married-couple family,"5,562",48.4
5,With own children under 18 years,"1,534",13.3
6,"Male householder, no wife present, family",520,4.5
7,With own children under 18 years,342,3.0
8,"Female householder, no husband present, family",964,8.4
9,With own children under 18 years,484,4.2
10,Nonfamily households,"4,451",38.7
11,Householder living alone,"3,477",30.2
12,65 years and over,"1,660",14.4
13,,,
14,Households with one or more people under 18 years,"2,762",24.0
15,Households with one or more people 65 years and over,"3,766",32.8
16,,,
17,Average household size,2.32,
18,Average family size,2.86,
19,,,
20,RELATIONSHIP,,
21,Population in households,"26,702",100.0
22,Householder,"11,497",43.1
23,Spouse,"5,589",20.9
24,Child,"6,104",22.9
25,Other relatives,"1,420",5.3
26,Nonrelatives,"2,092",7.8
27,Unmarried partner,796,3.0
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"10,865",100.0
31,Never married,"2,879",26.5
32,"Now married, except separated","5,815",53.5
33,Separated,209,1.9
34,Widowed,494,4.5
35,Divorced,"1,468",13.5
36,,,
37,Females 15 years and over,"11,459",100.0
38,Never married,"2,107",18.4
39,"Now married, except separated","5,870",51.2
40,Separated,256,2.2
41,Widowed,"1,330",11.6
42,Divorced,"1,896",16.5
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,337,100.0
46,"Unmarried women (widowed, divorced, and never married)",87,25.8
47,"Per 1,000 unmarried women",31,
48,"Per 1,000 women 15 to 50 years old",58,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",121,
51,"Per 1,000 women 35 to 50 years old",13,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,591,100.0
55,Responsible for grandchildren,253,42.8
56,Years responsible for grandchildren,,
57,Less than 1 year,39,6.6
58,1 or 2 years,4,0.7
59,3 or 4 years,50,8.5
60,5 or more years,160,27.1
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,253,42.8
63,Who are female,165,27.9
64,Who are married,160,27.1
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"5,829",100.0
68,"Nursery school, preschool",337,5.8
69,Kindergarten,273,4.7
70,Elementary school (grades 1-8),"2,583",44.3
71,High school (grades 9-12),"1,337",22.9
72,College or graduate school,"1,299",22.3
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"19,443",100.0
76,Less than 9th grade,"1,057",5.4
77,"9th to 12th grade, no diploma","1,866",9.6
78,High school graduate (includes equivalency),"6,118",31.5
79,"Some college, no degree","5,451",28.0
80,Associate's degree,"1,465",7.5
81,Bachelor's degree,"2,361",12.1
82,Graduate or professional degree,"1,125",5.8
83,,,
84,Percent high school graduate or higher,85.0,
85,Percent bachelor's degree or higher,17.9,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"21,340",100.0
89,Civilian veterans,"3,671",17.2
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"26,670",100.0
93,Same house,"20,623",77.3
94,Different house in the U.S.,"6,007",22.5
95,Same county,"3,989",15.0
96,Different county,"2,018",7.6
97,Same state,592,2.2
98,Different state,"1,426",5.3
99,Abroad,40,0.1
100,,,
101,PLACE OF BIRTH,,
102,Total population,"26,973",100.0
103,Native,"25,818",95.7
104,Born in United States,"25,420",94.2
105,State of residence,"11,690",43.3
106,Different state,"13,730",50.9
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",398,1.5
108,Foreign born,"1,155",4.3
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,"1,155",100.0
112,Naturalized U.S. citizen,597,51.7
113,Not a U.S. citizen,558,48.3
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,"1,553",100.0
117,,,
118,Native,398,25.6
119,Entered 2000 or later,28,1.8
120,Entered before 2000,370,23.8
121,,,
122,Foreign born,"1,155",74.4
123,Entered 2000 or later,176,11.3
124,Entered before 2000,979,63.0
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea","1,155",100.0
128,Europe,283,24.5
129,Asia,100,8.7
130,Africa,0,0.0
131,Oceania,47,4.1
132,Latin America,495,42.9
133,Northern America,230,19.9
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,"25,452",100.0
137,English only,"23,835",93.6
138,Language other than English,"1,617",6.4
139,"Speak English less than ""very well""",562,2.2
140,Spanish,"1,171",4.6
141,"Speak English less than ""very well""",484,1.9
142,Other Indo-European languages,308,1.2
143,"Speak English less than ""very well""",47,0.2
144,Asian and Pacific Islander languages,126,0.5
145,"Speak English less than ""very well""",31,0.1
146,Other languages,12,0.0
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,"26,973",100.0
151,American,"2,067",7.7
152,Arab,50,0.2
153,Czech,87,0.3
154,Danish,340,1.3
