,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"52,271",100.0
3,In labor force,"31,667",60.6
4,Civilian labor force,"31,499",60.3
5,Employed,"29,685",56.8
6,Unemployed,"1,814",3.5
7,Armed Forces,168,0.3
8,Not in labor force,"20,604",39.4
9,,,
10,Civilian labor force,"31,499",60.3
11,Percent Unemployed,5.8,
12,,,
13,Females 16 years and over,"26,554",50.8
14,In labor force,"15,320",29.3
15,Civilian labor force,"15,320",29.3
16,Employed,"14,671",28.1
17,,,
18,Own children under 6 years,"3,227",6.2
19,All parents in family in labor force,"1,765",3.4
20,,,
21,Own children 6 to 17 years,"6,840",13.1
22,All parents in family in labor force,"4,788",9.2
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"29,001",100.0
26,"Car, truck, or van -- drove alone","18,308",63.1
27,"Car, truck, or van -- carpooled","3,087",10.6
28,Public transportation (excluding taxicab),659,2.3
29,Walked,"2,835",9.8
30,Other means,"2,411",8.3
31,Worked at home,"1,701",5.9
32,,,
33,Mean travel time to work (minutes),15.7,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"29,685",100.0
37,"Management, professional, and related occupations","13,718",46.2
38,Service occupations,"5,095",17.2
39,Sales and office occupations,"6,289",21.2
40,"Farming, fishing, and forestry occupations",546,1.8
41,"Construction, extraction, maintenance, and repair occupations","1,673",5.6
42,"Production, transportation, and material moving occupations","2,364",8.0
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"29,685",100.0
46,"Agriculture, forestry, fishing and hunting, and mining","1,103",3.7
47,Construction,"1,288",4.3
48,Manufacturing,"3,247",10.9
49,Wholesale trade,473,1.6
50,Retail trade,"3,302",11.1
51,"Transportation and warehousing, and utilities",391,1.3
52,Information,527,1.8
53,"Finance and insurance, & real estate & rental & leasing","1,136",3.8
54,"Professional, scientific & mgmt, & admin & waste mgmt services","2,697",9.1
55,Educational services & health care & social assistance,"10,631",35.8
56,"Arts, entertainment & recreation & accommodation & food services","3,038",10.2
57,"Other services, except public administration","1,027",3.5
58,Public administration,825,2.8
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"29,685",100.0
62,Private wage and salary workers,"20,105",67.7
63,Government workers,"7,711",26.0
64,Self-employed in own not incorporated business workers,"1,702",5.7
65,Unpaid family workers,167,0.6
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"25,482",100.0
69,"Less than $10,000","4,024",15.8
70,"$10,000 to $14,999","1,281",5.0
71,"$15,000 to $24,999","3,548",13.9
72,"$25,000 to $34,999","2,735",10.7
73,"$35,000 to $49,999","3,049",12.0
74,"$50,000 to $74,999","3,695",14.5
75,"$75,000 to $99,999","2,509",9.8
76,"$100,000 to $149,999","3,036",11.9
77,"$150,000 to $199,999",932,3.7
78,"$200,000 or more",673,2.6
79,Median household income (dollars),"39,879",
80,Mean household income (dollars),"57,792",
81,,,
82,With earnings,"20,450",80.3
83,Mean earnings (dollars),"53,916",
84,With Social Security,"5,070",19.9
85,Mean Social Security income (dollars),"15,887",
86,With retirement income,"4,210",16.5
87,Mean retirement income (dollars),"28,351",
88,,,
89,With Supplemental Security Income,533,2.1
90,Mean Supplemental Security Income (dollars),"8,496",
91,With cash public assistance income,413,1.6
92,Mean cash public assistance income (dollars),"3,973",
93,With Food Stamp/SNAP benefits in the past 12 months,"2,527",9.9
94,,,
95,Families,"12,713",100.0
96,"Less than $10,000",725,5.7
97,"$10,000 to $14,999",309,2.4
98,"$15,000 to $24,999",978,7.7
99,"$25,000 to $34,999","1,029",8.1
100,"$35,000 to $49,999","1,333",10.5
101,"$50,000 to $74,999","2,495",19.6
102,"$75,000 to $99,999","1,863",14.7
103,"$100,000 to $149,999","2,517",19.8
104,"$150,000 to $199,999",855,6.7
105,"$200,000 or more",609,4.8
106,Median family income (dollars),"68,649",
107,Mean family income (dollars),"83,048",
108,,,
109,Per capita income (dollars),"24,188",
110,,,
111,Nonfamily households,"12,769",100.4
112,Median nonfamily income (dollars),"22,440",
113,Mean nonfamily income (dollars),"31,383",
114,,,
115,Median earnings for workers (dollars),"15,509",
116,"Median earnings for male full-time, year-round workers (dollars)","49,789",
117,"Median earnings for female full-time, year-round workers (dollars)","34,734",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,9.0,
121,With related children under 18 years,13.6,
122,With related children under 5 years only,24.9,
123,Married couple families,4.5,
124,With related children under 18 years,6.6,
125,With related children under 5 years only,8.8,
126,"Families with female householder, no husband present",28.5,
127,With related children under 18 years,33.8,
128,With related children under 5 years only,56.3,
129,,,
130,All people,23.8,
131,Under 18 years,15.9,
132,Related children under 18 years,14.9,
133,Related children under 5 years,18.4,
134,Related children 5 to 17 years,13.5,
135,18 years and over,25.6,
136,18 to 64 years,28.8,
137,65 years and over,5.8,
138,People in families,9.4,
139,Unrelated individuals 15 years and over,48.8,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
