,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"10,001",100.0
3,Occupied housing units,"8,799",88.0
4,Vacant housing units,"1,202",12.0
5,,,
6,Homeowner vacancy rate,1.7,
7,Rental vacancy rate,8.9,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"10,001",100.0
11,"1-unit, detached","7,232",72.3
12,"1-unit, attached",213,2.1
13,2 units,393,3.9
14,3 or 4 units,81,0.8
15,5 to 9 units,139,1.4
16,10 to 19 units,133,1.3
17,20 or more units,86,0.9
18,Mobile home,"1,696",17.0
19,"Boat, RV, van, etc.",28,0.3
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"10,001",100.0
23,Built 2005 or later,501,5.0
24,Built 2000 to 2004,"1,366",13.7
25,Built 1990 to 1999,"2,005",20.0
26,Built 1980 to 1989,941,9.4
27,Built 1970 to 1979,"2,188",21.9
28,Built 1960 to 1969,565,5.6
29,Built 1950 to 1959,831,8.3
30,Built 1940 to 1949,623,6.2
31,Built 1939 or earlier,981,9.8
32,,,
33,ROOMS,,
34,Total housing units,"10,001",100.0
35,1 room,161,1.6
36,2 rooms,379,3.8
37,3 rooms,419,4.2
38,4 rooms,"1,904",19.0
39,5 rooms,"2,277",22.8
40,6 rooms,"2,177",21.8
41,7 rooms,"1,213",12.1
42,8 rooms,856,8.6
43,9 rooms or more,615,6.1
44,Median rooms,5.4,
45,,,
46,BEDROOMS,,
47,Total housing units,"10,001",100.0
48,No bedroom,193,1.9
49,1 bedroom,672,6.7
50,2 bedrooms,"2,606",26.1
51,3 bedrooms,"5,403",54.0
52,4 bedrooms,845,8.4
53,5 or more bedrooms,282,2.8
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"8,799",100.0
57,Owner-occupied,"6,526",74.2
58,Renter-occupied,"2,273",25.8
59,,,
60,Average household size of owner-occupied unit,2.58,
61,Average household size of renter-occupied unit,2.44,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"8,799",100.0
65,Moved in 2005 or later,"2,936",33.4
66,Moved in 2000 to 2004,"2,743",31.2
67,Moved in 1990 to 1999,"1,885",21.4
68,Moved in 1980 to 1989,592,6.7
69,Moved in 1970 to 1979,459,5.2
70,Moved in 1969 or earlier,184,2.1
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"8,799",100.0
74,No vehicles available,212,2.4
75,1 vehicle available,"1,848",21.0
76,2 vehicles available,"3,480",39.5
77,3 or more vehicles available,"3,259",37.0
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"8,799",100.0
81,Utility gas,"1,975",22.4
82,"Bottled, tank, or LP gas",542,6.2
83,Electricity,"4,001",45.5
84,"Fuel oil, kerosene, etc.",523,5.9
85,Coal or coke,0,0.0
86,Wood,"1,645",18.7
87,Solar energy,0,0.0
88,Other fuel,102,1.2
89,No fuel used,11,0.1
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"8,799",100.0
93,Lacking complete plumbing facilities,66,0.8
94,Lacking complete kitchen facilities,61,0.7
95,No telephone service available,172,2.0
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"8,799",100.0
99,1.00 or less,"8,543",97.1
100,1.01 to 1.50,191,2.2
101,1.51 or more,65,0.7
102,,,
103,VALUE,,
104,Owner-occupied units,"6,526",100.0
105,"Less than $50,000",443,6.8
106,"$50,000 to $99,999",490,7.5
107,"$100,000 to $149,999",833,12.8
108,"$150,000 to $199,999","1,144",17.5
109,"$200,000 to $299,999","1,637",25.1
110,"$300,000 to $499,999","1,249",19.1
111,"$500,000 to $999,999",550,8.4
112,"$1,000,000 or more",180,2.8
113,Median (dollars),"216,700",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"6,526",100.0
117,Housing units with a mortgage,"4,150",63.6
118,Housing units without a mortgage,"2,376",36.4
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"4,150",100.0
122,Less than $300,13,0.3
123,$300 to $499,90,2.2
124,$500 to $699,323,7.8
125,$700 to $999,720,17.3
126,"$1,000 to $1,499","1,443",34.8
127,"$1,500 to $1,999",808,19.5
128,"$2,000 or more",753,18.1
129,Median (dollars),"1,271",
130,,,
131,Housing units without a mortgage,"2,376",100.0
132,Less than $100,62,2.6
133,$100 to $199,289,12.2
134,$200 to $299,466,19.6
135,$300 to $399,654,27.5
136,$400 or more,905,38.1
137,Median (dollars),361,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"4,150",100.0
141,Less than 20.0 percent,"1,269",30.6
142,20.0 to 24.9 percent,600,14.5
143,25.0 to 29.9 percent,573,13.8
144,30.0 to 34.9 percent,403,9.7
145,35.0 percent or more,"1,305",31.4
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),"2,376",100.0
150,Less than 10.0 percent,929,39.1
151,10.0 to 14.9 percent,533,22.4
152,15.0 to 19.9 percent,272,11.4
153,20.0 to 24.9 percent,167,7.0
