,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,905,100.0
2,Family households (families),704,77.8
3,With own children under 18 years,237,26.2
4,Married-couple family,558,61.7
5,With own children under 18 years,178,19.7
6,"Male householder, no wife present, family",99,10.9
7,With own children under 18 years,35,3.9
8,"Female householder, no husband present, family",47,5.2
9,With own children under 18 years,24,2.7
10,Nonfamily households,201,22.2
11,Householder living alone,144,15.9
12,65 years and over,63,7.0
13,,,
14,Households with one or more people under 18 years,247,27.3
15,Households with one or more people 65 years and over,222,24.5
16,,,
17,Average household size,2.74,
18,Average family size,3.06,
19,,,
20,RELATIONSHIP,,
21,Population in households,"2,480",100.0
22,Householder,905,36.5
23,Spouse,563,22.7
24,Child,750,30.2
25,Other relatives,140,5.6
26,Nonrelatives,122,4.9
27,Unmarried partner,50,2.0
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"1,047",100.0
31,Never married,299,28.6
32,"Now married, except separated",579,55.3
33,Separated,31,3.0
34,Widowed,34,3.2
35,Divorced,104,9.9
36,,,
37,Females 15 years and over,924,100.0
38,Never married,158,17.1
39,"Now married, except separated",568,61.5
40,Separated,33,3.6
41,Widowed,89,9.6
42,Divorced,76,8.2
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,8,100.0
46,"Unmarried women (widowed, divorced, and never married)",0,0.0
47,"Per 1,000 unmarried women",0,
48,"Per 1,000 women 15 to 50 years old",17,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",59,
51,"Per 1,000 women 35 to 50 years old",0,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,24,100.0
55,Responsible for grandchildren,6,25.0
56,Years responsible for grandchildren,,
57,Less than 1 year,0,0.0
58,1 or 2 years,0,0.0
59,3 or 4 years,0,0.0
60,5 or more years,6,25.0
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,6,25.0
63,Who are female,6,25.0
64,Who are married,0,0.0
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,683,100.0
68,"Nursery school, preschool",33,4.8
69,Kindergarten,18,2.6
70,Elementary school (grades 1-8),352,51.5
71,High school (grades 9-12),201,29.4
72,College or graduate school,79,11.6
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"1,668",100.0
76,Less than 9th grade,76,4.6
77,"9th to 12th grade, no diploma",118,7.1
78,High school graduate (includes equivalency),517,31.0
79,"Some college, no degree",534,32.0
80,Associate's degree,99,5.9
81,Bachelor's degree,181,10.9
82,Graduate or professional degree,143,8.6
83,,,
84,Percent high school graduate or higher,88.4,
85,Percent bachelor's degree or higher,19.4,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"1,847",100.0
89,Civilian veterans,286,15.5
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"2,470",100.0
93,Same house,"2,131",86.3
94,Different house in the U.S.,328,13.3
95,Same county,212,8.6
96,Different county,116,4.7
97,Same state,11,0.4
98,Different state,105,4.3
99,Abroad,11,0.4
100,,,
101,PLACE OF BIRTH,,
102,Total population,"2,480",100.0
103,Native,"2,457",99.1
104,Born in United States,"2,451",98.8
105,State of residence,"1,375",55.4
106,Different state,"1,076",43.4
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",6,0.2
108,Foreign born,23,0.9
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,23,100.0
112,Naturalized U.S. citizen,12,52.2
113,Not a U.S. citizen,11,47.8
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,29,100.0
117,,,
118,Native,6,20.7
119,Entered 2000 or later,0,0.0
120,Entered before 2000,6,20.7
121,,,
122,Foreign born,23,79.3
123,Entered 2000 or later,11,37.9
124,Entered before 2000,12,41.4
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea",23,100.0
128,Europe,17,73.9
129,Asia,0,0.0
130,Africa,0,0.0
131,Oceania,0,0.0
132,Latin America,0,0.0
133,Northern America,6,26.1
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,"2,401",100.0
137,English only,"2,203",91.8
138,Language other than English,198,8.2
139,"Speak English less than ""very well""",17,0.7
140,Spanish,168,7.0
141,"Speak English less than ""very well""",17,0.7
142,Other Indo-European languages,30,1.2
143,"Speak English less than ""very well""",0,0.0
144,Asian and Pacific Islander languages,0,0.0
145,"Speak English less than ""very well""",0,0.0
146,Other languages,0,0.0
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,"2,480",100.0
151,American,107,4.3
152,Arab,0,0.0
153,Czech,6,0.2
154,Danish,42,1.7
155,Dutch,64,2.6
156,English,375,15.1
157,French (except Basque),163,6.6
158,French Canadian,6,0.2
159,German,666,26.9
160,Greek,13,0.5
161,Hungarian,0,0.0
162,Irish,288,11.6
163,Italian,195,7.9
164,Lithuanian,0,0.0
165,Norwegian,154,6.2
166,Polish,80,3.2
167,Portuguese,0,0.0
168,Russian,19,0.8
169,Scotch-Irish,49,2.0
170,Scottish,98,4.0
171,Slovak,0,0.0
172,Subsaharan African,0,0.0
173,Swedish,56,2.3
174,Swiss,5,0.2
175,Ukrainian,6,0.2
176,Welsh,6,0.2
177,West Indian (excluding Hispanic origin groups),0,0.0
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
