,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"2,283",100.0
3,Occupied housing units,"1,401",61.4
4,Vacant housing units,882,38.6
5,,,
6,Homeowner vacancy rate,3.4,
7,Rental vacancy rate,5.5,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"2,283",100.0
11,"1-unit, detached","1,218",53.4
12,"1-unit, attached",18,0.8
13,2 units,51,2.2
14,3 or 4 units,0,0.0
15,5 to 9 units,0,0.0
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,983,43.1
19,"Boat, RV, van, etc.",13,0.6
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"2,283",100.0
23,Built 2005 or later,93,4.1
24,Built 2000 to 2004,252,11.0
25,Built 1990 to 1999,683,29.9
26,Built 1980 to 1989,487,21.3
27,Built 1970 to 1979,439,19.2
28,Built 1960 to 1969,44,1.9
29,Built 1950 to 1959,94,4.1
30,Built 1940 to 1949,109,4.8
31,Built 1939 or earlier,82,3.6
32,,,
33,ROOMS,,
34,Total housing units,"2,283",100.0
35,1 room,165,7.2
36,2 rooms,61,2.7
37,3 rooms,335,14.7
38,4 rooms,463,20.3
39,5 rooms,560,24.5
40,6 rooms,330,14.5
41,7 rooms,220,9.6
42,8 rooms,101,4.4
43,9 rooms or more,48,2.1
44,Median rooms,4.7,
45,,,
46,BEDROOMS,,
47,Total housing units,"2,283",100.0
48,No bedroom,165,7.2
49,1 bedroom,246,10.8
50,2 bedrooms,796,34.9
51,3 bedrooms,913,40.0
52,4 bedrooms,142,6.2
53,5 or more bedrooms,21,0.9
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"1,401",100.0
57,Owner-occupied,987,70.4
58,Renter-occupied,414,29.6
59,,,
60,Average household size of owner-occupied unit,2.47,
61,Average household size of renter-occupied unit,2.21,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"1,401",100.0
65,Moved in 2005 or later,416,29.7
66,Moved in 2000 to 2004,521,37.2
67,Moved in 1990 to 1999,334,23.8
68,Moved in 1980 to 1989,45,3.2
69,Moved in 1970 to 1979,76,5.4
70,Moved in 1969 or earlier,9,0.6
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"1,401",100.0
74,No vehicles available,50,3.6
75,1 vehicle available,133,9.5
76,2 vehicles available,773,55.2
77,3 or more vehicles available,445,31.8
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"1,401",100.0
81,Utility gas,0,0.0
82,"Bottled, tank, or LP gas",117,8.4
83,Electricity,895,63.9
84,"Fuel oil, kerosene, etc.",118,8.4
85,Coal or coke,0,0.0
86,Wood,239,17.1
87,Solar energy,11,0.8
88,Other fuel,21,1.5
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"1,401",100.0
93,Lacking complete plumbing facilities,30,2.1
94,Lacking complete kitchen facilities,16,1.1
95,No telephone service available,57,4.1
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"1,401",100.0
99,1.00 or less,"1,320",94.2
100,1.01 to 1.50,35,2.5
101,1.51 or more,46,3.3
102,,,
103,VALUE,,
104,Owner-occupied units,987,100.0
105,"Less than $50,000",39,4.0
106,"$50,000 to $99,999",112,11.3
107,"$100,000 to $149,999",170,17.2
108,"$150,000 to $199,999",201,20.4
109,"$200,000 to $299,999",241,24.4
110,"$300,000 to $499,999",129,13.1
111,"$500,000 to $999,999",47,4.8
112,"$1,000,000 or more",48,4.9
113,Median (dollars),"188,700",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,987,100.0
117,Housing units with a mortgage,695,70.4
118,Housing units without a mortgage,292,29.6
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,695,100.0
122,Less than $300,15,2.2
123,$300 to $499,40,5.8
124,$500 to $699,34,4.9
125,$700 to $999,100,14.4
126,"$1,000 to $1,499",332,47.8
127,"$1,500 to $1,999",114,16.4
128,"$2,000 or more",60,8.6
129,Median (dollars),"1,255",
130,,,
131,Housing units without a mortgage,292,100.0
132,Less than $100,0,0.0
133,$100 to $199,34,11.6
134,$200 to $299,48,16.4
135,$300 to $399,75,25.7
136,$400 or more,135,46.2
137,Median (dollars),378,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),695,100.0
141,Less than 20.0 percent,161,23.2
142,20.0 to 24.9 percent,58,8.3
143,25.0 to 29.9 percent,35,5.0
144,30.0 to 34.9 percent,90,12.9
145,35.0 percent or more,351,50.5
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),292,100.0
150,Less than 10.0 percent,42,14.4
151,10.0 to 14.9 percent,58,19.9
152,15.0 to 19.9 percent,58,19.9
153,20.0 to 24.9 percent,13,4.5
154,25.0 to 29.9 percent,36,12.3
155,30.0 to 34.9 percent,19,6.5
156,35.0 percent or more,66,22.6
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,365,100.0
