,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"16,788",100.0
3,In labor force,"9,673",57.6
4,Civilian labor force,"9,642",57.4
5,Employed,"9,082",54.1
6,Unemployed,560,3.3
7,Armed Forces,31,0.2
8,Not in labor force,"7,115",42.4
9,,,
10,Civilian labor force,"9,642",57.4
11,Percent Unemployed,5.8,
12,,,
13,Females 16 years and over,"8,519",50.7
14,In labor force,"4,373",26.0
15,Civilian labor force,"4,373",26.0
16,Employed,"4,204",25.0
17,,,
18,Own children under 6 years,"1,482",8.8
19,All parents in family in labor force,879,5.2
20,,,
21,Own children 6 to 17 years,"3,807",22.7
22,All parents in family in labor force,"2,566",15.3
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"8,893",100.0
26,"Car, truck, or van -- drove alone","7,104",79.9
27,"Car, truck, or van -- carpooled",779,8.8
28,Public transportation (excluding taxicab),58,0.7
29,Walked,261,2.9
30,Other means,176,2.0
31,Worked at home,515,5.8
32,,,
33,Mean travel time to work (minutes),26.8,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"9,082",100.0
37,"Management, professional, and related occupations","3,009",33.1
38,Service occupations,"1,791",19.7
39,Sales and office occupations,"2,276",25.1
40,"Farming, fishing, and forestry occupations",173,1.9
41,"Construction, extraction, maintenance, and repair occupations",789,8.7
42,"Production, transportation, and material moving occupations","1,044",11.5
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"9,082",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",422,4.6
47,Construction,646,7.1
48,Manufacturing,978,10.8
49,Wholesale trade,111,1.2
50,Retail trade,"1,040",11.5
51,"Transportation and warehousing, and utilities",539,5.9
52,Information,173,1.9
53,"Finance and insurance, & real estate & rental & leasing",291,3.2
54,"Professional, scientific & mgmt, & admin & waste mgmt services",759,8.4
55,Educational services & health care & social assistance,"1,926",21.2
56,"Arts, entertainment & recreation & accommodation & food services",709,7.8
57,"Other services, except public administration",382,4.2
58,Public administration,"1,106",12.2
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"9,082",100.0
62,Private wage and salary workers,"6,186",68.1
63,Government workers,"2,228",24.5
64,Self-employed in own not incorporated business workers,637,7.0
65,Unpaid family workers,31,0.3
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"7,684",100.0
69,"Less than $10,000",487,6.3
70,"$10,000 to $14,999",525,6.8
71,"$15,000 to $24,999",569,7.4
72,"$25,000 to $34,999",936,12.2
73,"$35,000 to $49,999","1,242",16.2
74,"$50,000 to $74,999","1,701",22.1
75,"$75,000 to $99,999","1,219",15.9
76,"$100,000 to $149,999",655,8.5
77,"$150,000 to $199,999",153,2.0
78,"$200,000 or more",197,2.6
79,Median household income (dollars),"50,876",
80,Mean household income (dollars),"60,403",
81,,,
82,With earnings,"5,745",74.8
83,Mean earnings (dollars),"60,136",
84,With Social Security,"2,700",35.1
85,Mean Social Security income (dollars),"15,599",
86,With retirement income,"1,742",22.7
87,Mean retirement income (dollars),"22,255",
88,,,
89,With Supplemental Security Income,259,3.4
90,Mean Supplemental Security Income (dollars),"6,942",
91,With cash public assistance income,138,1.8
92,Mean cash public assistance income (dollars),"4,393",
93,With Food Stamp/SNAP benefits in the past 12 months,757,9.9
94,,,
95,Families,"5,396",100.0
96,"Less than $10,000",213,3.9
97,"$10,000 to $14,999",226,4.2
98,"$15,000 to $24,999",234,4.3
99,"$25,000 to $34,999",587,10.9
100,"$35,000 to $49,999",941,17.4
101,"$50,000 to $74,999","1,354",25.1
102,"$75,000 to $99,999",963,17.8
103,"$100,000 to $149,999",594,11.0
104,"$150,000 to $199,999",122,2.3
105,"$200,000 or more",162,3.0
106,Median family income (dollars),"57,990",
107,Mean family income (dollars),"67,947",
108,,,
109,Per capita income (dollars),"22,801",
110,,,
111,Nonfamily households,"2,288",42.4
112,Median nonfamily income (dollars),"29,013",
113,Mean nonfamily income (dollars),"39,249",
114,,,
115,Median earnings for workers (dollars),"26,587",
116,"Median earnings for male full-time, year-round workers (dollars)","46,405",
117,"Median earnings for female full-time, year-round workers (dollars)","32,356",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,7.7,
121,With related children under 18 years,11.0,
122,With related children under 5 years only,12.7,
123,Married couple families,2.5,
124,With related children under 18 years,1.8,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",31.5,
127,With related children under 18 years,39.3,
128,With related children under 5 years only,38.5,
129,,,
130,All people,10.5,
131,Under 18 years,15.0,
132,Related children under 18 years,14.2,
133,Related children under 5 years,25.6,
134,Related children 5 to 17 years,10.9,
135,18 years and over,9.0,
136,18 to 64 years,9.5,
137,65 years and over,7.0,
138,People in families,9.2,
139,Unrelated individuals 15 years and over,18.0,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
