,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,476,100.0
2,Family households (families),355,74.6
3,With own children under 18 years,84,17.6
4,Married-couple family,308,64.7
5,With own children under 18 years,57,12.0
6,"Male householder, no wife present, family",21,4.4
7,With own children under 18 years,16,3.4
8,"Female householder, no husband present, family",26,5.5
9,With own children under 18 years,11,2.3
10,Nonfamily households,121,25.4
11,Householder living alone,114,23.9
12,65 years and over,78,16.4
13,,,
14,Households with one or more people under 18 years,109,22.9
15,Households with one or more people 65 years and over,184,38.7
16,,,
17,Average household size,2.38,
18,Average family size,2.78,
19,,,
20,RELATIONSHIP,,
21,Population in households,"1,132",100.0
22,Householder,476,42.0
23,Spouse,315,27.8
24,Child,259,22.9
25,Other relatives,57,5.0
26,Nonrelatives,25,2.2
27,Unmarried partner,6,0.5
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,487,100.0
31,Never married,89,18.3
32,"Now married, except separated",326,66.9
33,Separated,11,2.3
34,Widowed,16,3.3
35,Divorced,45,9.2
36,,,
37,Females 15 years and over,494,100.0
38,Never married,71,14.4
39,"Now married, except separated",321,65.0
40,Separated,0,0.0
41,Widowed,53,10.7
42,Divorced,49,9.9
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,11,100.0
46,"Unmarried women (widowed, divorced, and never married)",0,0.0
47,"Per 1,000 unmarried women",0,
48,"Per 1,000 women 15 to 50 years old",55,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",196,
51,"Per 1,000 women 35 to 50 years old",0,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,28,100.0
55,Responsible for grandchildren,19,67.9
56,Years responsible for grandchildren,,
57,Less than 1 year,6,21.4
58,1 or 2 years,13,46.4
59,3 or 4 years,0,0.0
60,5 or more years,0,0.0
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,19,67.9
63,Who are female,12,42.9
64,Who are married,15,53.6
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,158,100.0
68,"Nursery school, preschool",0,0.0
69,Kindergarten,4,2.5
70,Elementary school (grades 1-8),69,43.7
71,High school (grades 9-12),51,32.3
72,College or graduate school,34,21.5
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,883,100.0
76,Less than 9th grade,18,2.0
77,"9th to 12th grade, no diploma",95,10.8
78,High school graduate (includes equivalency),308,34.9
79,"Some college, no degree",244,27.6
80,Associate's degree,47,5.3
81,Bachelor's degree,95,10.8
82,Graduate or professional degree,76,8.6
83,,,
84,Percent high school graduate or higher,87.2,
85,Percent bachelor's degree or higher,19.4,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,939,100.0
89,Civilian veterans,193,20.6
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"1,120",100.0
93,Same house,972,86.8
94,Different house in the U.S.,145,12.9
95,Same county,90,8.0
96,Different county,55,4.9
97,Same state,25,2.2
98,Different state,30,2.7
99,Abroad,3,0.3
100,,,
101,PLACE OF BIRTH,,
102,Total population,"1,132",100.0
103,Native,"1,098",97.0
104,Born in United States,"1,090",96.3
105,State of residence,396,35.0
106,Different state,694,61.3
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",8,0.7
108,Foreign born,34,3.0
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,34,100.0
112,Naturalized U.S. citizen,30,88.2
113,Not a U.S. citizen,4,11.8
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,42,100.0
117,,,
118,Native,8,19.0
119,Entered 2000 or later,0,0.0
120,Entered before 2000,8,19.0
121,,,
122,Foreign born,34,81.0
123,Entered 2000 or later,3,7.1
124,Entered before 2000,31,73.8
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea",34,100.0
128,Europe,12,35.3
129,Asia,6,17.6
130,Africa,0,0.0
131,Oceania,0,0.0
132,Latin America,12,35.3
133,Northern America,4,11.8
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,"1,082",100.0
137,English only,"1,045",96.6
138,Language other than English,37,3.4
139,"Speak English less than ""very well""",0,0.0
140,Spanish,12,1.1
141,"Speak English less than ""very well""",0,0.0
142,Other Indo-European languages,22,2.0
143,"Speak English less than ""very well""",0,0.0
144,Asian and Pacific Islander languages,3,0.3
145,"Speak English less than ""very well""",0,0.0
146,Other languages,0,0.0
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,"1,132",100.0
151,American,89,7.9
152,Arab,3,0.3
153,Czech,3,0.3
154,Danish,12,1.1
155,Dutch,22,1.9
156,English,244,21.6
157,French (except Basque),44,3.9
158,French Canadian,3,0.3
159,German,284,25.1
160,Greek,0,0.0
161,Hungarian,5,0.4
162,Irish,207,18.3
163,Italian,25,2.2
164,Lithuanian,0,0.0
165,Norwegian,26,2.3
166,Polish,23,2.0
167,Portuguese,14,1.2
168,Russian,3,0.3
169,Scotch-Irish,57,5.0
170,Scottish,58,5.1
171,Slovak,0,0.0
172,Subsaharan African,0,0.0
173,Swedish,79,7.0
174,Swiss,11,1.0
175,Ukrainian,0,0.0
176,Welsh,13,1.1
177,West Indian (excluding Hispanic origin groups),25,2.2
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
