,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,165,100.0
2,Family households (families),101,61.2
3,With own children under 18 years,37,22.4
4,Married-couple family,89,53.9
5,With own children under 18 years,31,18.8
6,"Male householder, no wife present, family",5,3.0
7,With own children under 18 years,3,1.8
8,"Female householder, no husband present, family",7,4.2
9,With own children under 18 years,3,1.8
10,Nonfamily households,64,38.8
11,Householder living alone,50,30.3
12,65 years and over,18,10.9
13,,,
14,Households with one or more people under 18 years,43,26.1
15,Households with one or more people 65 years and over,61,37.0
16,,,
17,Average household size,2.45,
18,Average family size,3.18,
19,,,
20,RELATIONSHIP,,
21,Population in households,404,100.0
22,Householder,165,40.8
23,Spouse,87,21.5
24,Child,123,30.4
25,Other relatives,10,2.5
26,Nonrelatives,19,4.7
27,Unmarried partner,15,3.7
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,151,100.0
31,Never married,29,19.2
32,"Now married, except separated",84,55.6
33,Separated,1,0.7
34,Widowed,14,9.3
35,Divorced,23,15.2
36,,,
37,Females 15 years and over,142,100.0
38,Never married,9,6.3
39,"Now married, except separated",97,68.3
40,Separated,2,1.4
41,Widowed,16,11.3
42,Divorced,18,12.7
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,20,100.0
46,"Unmarried women (widowed, divorced, and never married)",0,0.0
47,"Per 1,000 unmarried women",0,
48,"Per 1,000 women 15 to 50 years old",308,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",667,
51,"Per 1,000 women 35 to 50 years old",0,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,11,100.0
55,Responsible for grandchildren,11,100.0
56,Years responsible for grandchildren,,
57,Less than 1 year,5,45.5
58,1 or 2 years,0,0.0
59,3 or 4 years,0,0.0
60,5 or more years,6,54.5
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,11,100.0
63,Who are female,5,45.5
64,Who are married,11,100.0
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,79,100.0
68,"Nursery school, preschool",0,0.0
69,Kindergarten,13,16.5
70,Elementary school (grades 1-8),42,53.2
71,High school (grades 9-12),22,27.8
72,College or graduate school,2,2.5
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,261,100.0
76,Less than 9th grade,5,1.9
77,"9th to 12th grade, no diploma",29,11.1
78,High school graduate (includes equivalency),114,43.7
79,"Some college, no degree",56,21.5
80,Associate's degree,19,7.3
81,Bachelor's degree,29,11.1
82,Graduate or professional degree,9,3.4
83,,,
84,Percent high school graduate or higher,87.0,
85,Percent bachelor's degree or higher,14.6,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,281,100.0
89,Civilian veterans,51,18.1
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,380,100.0
93,Same house,358,94.2
94,Different house in the U.S.,19,5.0
95,Same county,3,0.8
96,Different county,16,4.2
97,Same state,16,4.2
98,Different state,0,0.0
99,Abroad,3,0.8
100,,,
101,PLACE OF BIRTH,,
102,Total population,404,100.0
103,Native,402,99.5
104,Born in United States,402,99.5
105,State of residence,207,51.2
106,Different state,195,48.3
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",0,0.0
108,Foreign born,2,0.5
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,2,100.0
112,Naturalized U.S. citizen,2,100.0
113,Not a U.S. citizen,0,0.0
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,2,100.0
117,,,
118,Native,0,0.0
119,Entered 2000 or later,0,0.0
120,Entered before 2000,0,0.0
121,,,
122,Foreign born,2,100.0
123,Entered 2000 or later,0,0.0
124,Entered before 2000,2,100.0
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea",2,100.0
128,Europe,2,100.0
129,Asia,0,0.0
130,Africa,0,0.0
131,Oceania,0,0.0
132,Latin America,0,0.0
133,Northern America,0,0.0
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,364,100.0
137,English only,360,98.9
138,Language other than English,4,1.1
139,"Speak English less than ""very well""",0,0.0
140,Spanish,4,1.1
141,"Speak English less than ""very well""",0,0.0
142,Other Indo-European languages,0,0.0
143,"Speak English less than ""very well""",0,0.0
144,Asian and Pacific Islander languages,0,0.0
145,"Speak English less than ""very well""",0,0.0
146,Other languages,0,0.0
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,404,100.0
151,American,19,4.7
152,Arab,0,0.0
153,Czech,0,0.0
154,Danish,2,0.5
155,Dutch,10,2.5
156,English,73,18.1
157,French (except Basque),18,4.5
158,French Canadian,0,0.0
159,German,87,21.5
160,Greek,0,0.0
161,Hungarian,0,0.0
162,Irish,58,14.4
163,Italian,17,4.2
164,Lithuanian,1,0.2
165,Norwegian,0,0.0
166,Polish,2,0.5
167,Portuguese,0,0.0
168,Russian,0,0.0
169,Scotch-Irish,6,1.5
170,Scottish,28,6.9
171,Slovak,0,0.0
172,Subsaharan African,0,0.0
173,Swedish,0,0.0
174,Swiss,0,0.0
175,Ukrainian,0,0.0
176,Welsh,103,25.5
177,West Indian (excluding Hispanic origin groups),0,0.0
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
