,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,73,100.0
3,Occupied housing units,60,82.2
4,Vacant housing units,13,17.8
5,,,
6,Homeowner vacancy rate,0.0,
7,Rental vacancy rate,0.0,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,73,100.0
11,"1-unit, detached",46,63.0
12,"1-unit, attached",0,0.0
13,2 units,0,0.0
14,3 or 4 units,10,13.7
15,5 to 9 units,0,0.0
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,17,23.3
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,73,100.0
23,Built 2005 or later,0,0.0
24,Built 2000 to 2004,8,11.0
25,Built 1990 to 1999,2,2.7
26,Built 1980 to 1989,10,13.7
27,Built 1970 to 1979,13,17.8
28,Built 1960 to 1969,10,13.7
29,Built 1950 to 1959,23,31.5
30,Built 1940 to 1949,6,8.2
31,Built 1939 or earlier,1,1.4
32,,,
33,ROOMS,,
34,Total housing units,73,100.0
35,1 room,0,0.0
36,2 rooms,0,0.0
37,3 rooms,0,0.0
38,4 rooms,14,19.2
39,5 rooms,14,19.2
40,6 rooms,29,39.7
41,7 rooms,11,15.1
42,8 rooms,5,6.8
43,9 rooms or more,0,0.0
44,Median rooms,5.8,
45,,,
46,BEDROOMS,,
47,Total housing units,73,100.0
48,No bedroom,0,0.0
49,1 bedroom,0,0.0
50,2 bedrooms,36,49.3
51,3 bedrooms,32,43.8
52,4 bedrooms,5,6.8
53,5 or more bedrooms,0,0.0
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,60,100.0
57,Owner-occupied,37,61.7
58,Renter-occupied,23,38.3
59,,,
60,Average household size of owner-occupied unit,1.76,
61,Average household size of renter-occupied unit,3.04,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,60,100.0
65,Moved in 2005 or later,15,25.0
66,Moved in 2000 to 2004,8,13.3
67,Moved in 1990 to 1999,11,18.3
68,Moved in 1980 to 1989,7,11.7
69,Moved in 1970 to 1979,8,13.3
70,Moved in 1969 or earlier,11,18.3
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,60,100.0
74,No vehicles available,4,6.7
75,1 vehicle available,24,40.0
76,2 vehicles available,24,40.0
77,3 or more vehicles available,8,13.3
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,60,100.0
81,Utility gas,0,0.0
82,"Bottled, tank, or LP gas",1,1.7
83,Electricity,33,55.0
84,"Fuel oil, kerosene, etc.",0,0.0
85,Coal or coke,0,0.0
86,Wood,22,36.7
87,Solar energy,0,0.0
88,Other fuel,4,6.7
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,60,100.0
93,Lacking complete plumbing facilities,0,0.0
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,0,0.0
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,60,100.0
99,1.00 or less,53,88.3
100,1.01 to 1.50,7,11.7
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,37,100.0
105,"Less than $50,000",0,0.0
106,"$50,000 to $99,999",12,32.4
107,"$100,000 to $149,999",3,8.1
108,"$150,000 to $199,999",6,16.2
109,"$200,000 to $299,999",0,0.0
110,"$300,000 to $499,999",14,37.8
111,"$500,000 to $999,999",2,5.4
112,"$1,000,000 or more",0,0.0
113,Median (dollars),"164,600",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,37,100.0
117,Housing units with a mortgage,16,43.2
118,Housing units without a mortgage,21,56.8
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,16,100.0
122,Less than $300,0,0.0
123,$300 to $499,0,0.0
124,$500 to $699,0,0.0
125,$700 to $999,0,0.0
126,"$1,000 to $1,499",0,0.0
127,"$1,500 to $1,999",6,37.5
128,"$2,000 or more",10,62.5
129,Median (dollars),"2,100",
130,,,
131,Housing units without a mortgage,21,100.0
132,Less than $100,0,0.0
133,$100 to $199,4,19.0
134,$200 to $299,9,42.9
135,$300 to $399,1,4.8
136,$400 or more,7,33.3
137,Median (dollars),279,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),10,100.0
141,Less than 20.0 percent,0,0.0
142,20.0 to 24.9 percent,0,0.0
143,25.0 to 29.9 percent,0,0.0
144,30.0 to 34.9 percent,8,80.0
145,35.0 percent or more,2,20.0
146,,,
147,Not computed,6,60.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),21,100.0
150,Less than 10.0 percent,18,85.7
151,10.0 to 14.9 percent,0,0.0
152,15.0 to 19.9 percent,3,14.3
153,20.0 to 24.9 percent,0,0.0
154,25.0 to 29.9 percent,0,0.0
155,30.0 to 34.9 percent,0,0.0
156,35.0 percent or more,0,0.0
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,16,100.0
162,Less than $200,0,0.0
163,$200 to $299,2,12.5
164,$300 to $499,10,62.5
