,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,40,100.0
3,Occupied housing units,36,90.0
4,Vacant housing units,4,10.0
5,,,
6,Homeowner vacancy rate,0.0,
7,Rental vacancy rate,22.2,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,40,100.0
11,"1-unit, detached",36,90.0
12,"1-unit, attached",0,0.0
13,2 units,0,0.0
14,3 or 4 units,0,0.0
15,5 to 9 units,0,0.0
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,4,10.0
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,40,100.0
23,Built 2005 or later,0,0.0
24,Built 2000 to 2004,0,0.0
25,Built 1990 to 1999,4,10.0
26,Built 1980 to 1989,3,7.5
27,Built 1970 to 1979,5,12.5
28,Built 1960 to 1969,3,7.5
29,Built 1950 to 1959,3,7.5
30,Built 1940 to 1949,5,12.5
31,Built 1939 or earlier,17,42.5
32,,,
33,ROOMS,,
34,Total housing units,40,100.0
35,1 room,0,0.0
36,2 rooms,0,0.0
37,3 rooms,0,0.0
38,4 rooms,12,30.0
39,5 rooms,6,15.0
40,6 rooms,3,7.5
41,7 rooms,15,37.5
42,8 rooms,0,0.0
43,9 rooms or more,4,10.0
44,Median rooms,6.2,
45,,,
46,BEDROOMS,,
47,Total housing units,40,100.0
48,No bedroom,0,0.0
49,1 bedroom,0,0.0
50,2 bedrooms,15,37.5
51,3 bedrooms,17,42.5
52,4 bedrooms,2,5.0
53,5 or more bedrooms,6,15.0
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,36,100.0
57,Owner-occupied,22,61.1
58,Renter-occupied,14,38.9
59,,,
60,Average household size of owner-occupied unit,2.00,
61,Average household size of renter-occupied unit,1.93,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,36,100.0
65,Moved in 2005 or later,9,25.0
66,Moved in 2000 to 2004,7,19.4
67,Moved in 1990 to 1999,2,5.6
68,Moved in 1980 to 1989,4,11.1
69,Moved in 1970 to 1979,2,5.6
70,Moved in 1969 or earlier,12,33.3
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,36,100.0
74,No vehicles available,0,0.0
75,1 vehicle available,1,2.8
76,2 vehicles available,23,63.9
77,3 or more vehicles available,12,33.3
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,36,100.0
81,Utility gas,0,0.0
82,"Bottled, tank, or LP gas",0,0.0
83,Electricity,6,16.7
84,"Fuel oil, kerosene, etc.",9,25.0
85,Coal or coke,0,0.0
86,Wood,19,52.8
87,Solar energy,0,0.0
88,Other fuel,2,5.6
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,36,100.0
93,Lacking complete plumbing facilities,0,0.0
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,0,0.0
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,36,100.0
99,1.00 or less,36,100.0
100,1.01 to 1.50,0,0.0
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,22,100.0
105,"Less than $50,000",0,0.0
106,"$50,000 to $99,999",2,9.1
107,"$100,000 to $149,999",4,18.2
108,"$150,000 to $199,999",4,18.2
109,"$200,000 to $299,999",1,4.5
110,"$300,000 to $499,999",2,9.1
111,"$500,000 to $999,999",3,13.6
112,"$1,000,000 or more",6,27.3
113,Median (dollars),"275,000",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,22,100.0
117,Housing units with a mortgage,7,31.8
118,Housing units without a mortgage,15,68.2
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,7,100.0
122,Less than $300,0,0.0
123,$300 to $499,0,0.0
124,$500 to $699,2,28.6
125,$700 to $999,2,28.6
126,"$1,000 to $1,499",3,42.9
127,"$1,500 to $1,999",0,0.0
128,"$2,000 or more",0,0.0
129,Median (dollars),775,
130,,,
131,Housing units without a mortgage,15,100.0
132,Less than $100,0,0.0
133,$100 to $199,1,6.7
134,$200 to $299,7,46.7
135,$300 to $399,2,13.3
136,$400 or more,5,33.3
137,Median (dollars),296,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),7,100.0
141,Less than 20.0 percent,3,42.9
142,20.0 to 24.9 percent,2,28.6
143,25.0 to 29.9 percent,2,28.6
144,30.0 to 34.9 percent,0,0.0
145,35.0 percent or more,0,0.0
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),15,100.0
150,Less than 10.0 percent,3,20.0
151,10.0 to 14.9 percent,4,26.7
152,15.0 to 19.9 percent,5,33.3
153,20.0 to 24.9 percent,0,0.0
154,25.0 to 29.9 percent,0,0.0
155,30.0 to 34.9 percent,0,0.0
156,35.0 percent or more,3,20.0
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,6,100.0
162,Less than $200,0,0.0
163,$200 to $299,0,0.0
164,$300 to $499,0,0.0
