,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"10,113",100.0
3,Occupied housing units,"9,200",91.0
4,Vacant housing units,913,9.0
5,,,
6,Homeowner vacancy rate,2.3,
7,Rental vacancy rate,0.0,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"10,113",100.0
11,"1-unit, detached","6,252",61.8
12,"1-unit, attached",446,4.4
13,2 units,63,0.6
14,3 or 4 units,187,1.8
15,5 to 9 units,122,1.2
16,10 to 19 units,16,0.2
17,20 or more units,148,1.5
18,Mobile home,"2,854",28.2
19,"Boat, RV, van, etc.",25,0.2
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"10,113",100.0
23,Built 2005 or later,778,7.7
24,Built 2000 to 2004,"2,111",20.9
25,Built 1990 to 1999,"2,535",25.1
26,Built 1980 to 1989,"1,163",11.5
27,Built 1970 to 1979,"1,859",18.4
28,Built 1960 to 1969,729,7.2
29,Built 1950 to 1959,472,4.7
30,Built 1940 to 1949,191,1.9
31,Built 1939 or earlier,275,2.7
32,,,
33,ROOMS,,
34,Total housing units,"10,113",100.0
35,1 room,121,1.2
36,2 rooms,252,2.5
37,3 rooms,572,5.7
38,4 rooms,"1,530",15.1
39,5 rooms,"3,184",31.5
40,6 rooms,"2,289",22.6
41,7 rooms,"1,020",10.1
42,8 rooms,533,5.3
43,9 rooms or more,612,6.1
44,Median rooms,5.3,
45,,,
46,BEDROOMS,,
47,Total housing units,"10,113",100.0
48,No bedroom,237,2.3
49,1 bedroom,421,4.2
50,2 bedrooms,"2,461",24.3
51,3 bedrooms,"5,827",57.6
52,4 bedrooms,980,9.7
53,5 or more bedrooms,187,1.8
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"9,200",100.0
57,Owner-occupied,"6,855",74.5
58,Renter-occupied,"2,345",25.5
59,,,
60,Average household size of owner-occupied unit,2.67,
61,Average household size of renter-occupied unit,2.66,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"9,200",100.0
65,Moved in 2005 or later,"2,920",31.7
66,Moved in 2000 to 2004,"3,335",36.3
67,Moved in 1990 to 1999,"1,791",19.5
68,Moved in 1980 to 1989,679,7.4
69,Moved in 1970 to 1979,322,3.5
70,Moved in 1969 or earlier,153,1.7
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"9,200",100.0
74,No vehicles available,254,2.8
75,1 vehicle available,"2,291",24.9
76,2 vehicles available,"3,989",43.4
77,3 or more vehicles available,"2,666",29.0
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"9,200",100.0
81,Utility gas,"2,512",27.3
82,"Bottled, tank, or LP gas",356,3.9
83,Electricity,"4,868",52.9
84,"Fuel oil, kerosene, etc.",389,4.2
85,Coal or coke,0,0.0
86,Wood,"1,015",11.0
87,Solar energy,0,0.0
88,Other fuel,60,0.7
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"9,200",100.0
93,Lacking complete plumbing facilities,0,0.0
94,Lacking complete kitchen facilities,117,1.3
95,No telephone service available,475,5.2
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"9,200",100.0
99,1.00 or less,"8,794",95.6
100,1.01 to 1.50,361,3.9
101,1.51 or more,45,0.5
102,,,
103,VALUE,,
104,Owner-occupied units,"6,855",100.0
105,"Less than $50,000",959,14.0
106,"$50,000 to $99,999",233,3.4
107,"$100,000 to $149,999",284,4.1
108,"$150,000 to $199,999","1,057",15.4
109,"$200,000 to $299,999","1,645",24.0
110,"$300,000 to $499,999","1,735",25.3
111,"$500,000 to $999,999",724,10.6
112,"$1,000,000 or more",218,3.2
113,Median (dollars),"243,500",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"6,855",100.0
117,Housing units with a mortgage,"4,653",67.9
118,Housing units without a mortgage,"2,202",32.1
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"4,653",100.0
122,Less than $300,18,0.4
123,$300 to $499,120,2.6
124,$500 to $699,244,5.2
125,$700 to $999,821,17.6
126,"$1,000 to $1,499","1,559",33.5
127,"$1,500 to $1,999","1,091",23.4
128,"$2,000 or more",800,17.2
129,Median (dollars),"1,374",
130,,,
131,Housing units without a mortgage,"2,202",100.0
132,Less than $100,55,2.5
133,$100 to $199,127,5.8
134,$200 to $299,487,22.1
135,$300 to $399,470,21.3
136,$400 or more,"1,063",48.3
137,Median (dollars),393,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"4,653",100.0
141,Less than 20.0 percent,978,21.0
142,20.0 to 24.9 percent,620,13.3
143,25.0 to 29.9 percent,723,15.5
144,30.0 to 34.9 percent,552,11.9
145,35.0 percent or more,"1,780",38.3
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),"2,202",100.0
150,Less than 10.0 percent,729,33.1
151,10.0 to 14.9 percent,415,18.8
152,15.0 to 19.9 percent,281,12.8
153,20.0 to 24.9 percent,278,12.6
