,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,416,100.0
3,Occupied housing units,361,86.8
4,Vacant housing units,55,13.2
5,,,
6,Homeowner vacancy rate,0.0,
7,Rental vacancy rate,0.0,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,416,100.0
11,"1-unit, detached",281,67.5
12,"1-unit, attached",12,2.9
13,2 units,7,1.7
14,3 or 4 units,18,4.3
15,5 to 9 units,9,2.2
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,89,21.4
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,416,100.0
23,Built 2005 or later,0,0.0
24,Built 2000 to 2004,32,7.7
25,Built 1990 to 1999,42,10.1
26,Built 1980 to 1989,46,11.1
27,Built 1970 to 1979,50,12.0
28,Built 1960 to 1969,32,7.7
29,Built 1950 to 1959,55,13.2
30,Built 1940 to 1949,27,6.5
31,Built 1939 or earlier,132,31.7
32,,,
33,ROOMS,,
34,Total housing units,416,100.0
35,1 room,18,4.3
36,2 rooms,0,0.0
37,3 rooms,21,5.0
38,4 rooms,108,26.0
39,5 rooms,122,29.3
40,6 rooms,45,10.8
41,7 rooms,46,11.1
42,8 rooms,16,3.8
43,9 rooms or more,40,9.6
44,Median rooms,5.0,
45,,,
46,BEDROOMS,,
47,Total housing units,416,100.0
48,No bedroom,18,4.3
49,1 bedroom,21,5.0
50,2 bedrooms,121,29.1
51,3 bedrooms,156,37.5
52,4 bedrooms,82,19.7
53,5 or more bedrooms,18,4.3
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,361,100.0
57,Owner-occupied,200,55.4
58,Renter-occupied,161,44.6
59,,,
60,Average household size of owner-occupied unit,2.86,
61,Average household size of renter-occupied unit,3.12,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,361,100.0
65,Moved in 2005 or later,85,23.5
66,Moved in 2000 to 2004,78,21.6
67,Moved in 1990 to 1999,114,31.6
68,Moved in 1980 to 1989,22,6.1
69,Moved in 1970 to 1979,45,12.5
70,Moved in 1969 or earlier,17,4.7
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,361,100.0
74,No vehicles available,3,0.8
75,1 vehicle available,73,20.2
76,2 vehicles available,172,47.6
77,3 or more vehicles available,113,31.3
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,361,100.0
81,Utility gas,19,5.3
82,"Bottled, tank, or LP gas",63,17.5
83,Electricity,192,53.2
84,"Fuel oil, kerosene, etc.",15,4.2
85,Coal or coke,0,0.0
86,Wood,67,18.6
87,Solar energy,0,0.0
88,Other fuel,5,1.4
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,361,100.0
93,Lacking complete plumbing facilities,0,0.0
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,22,6.1
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,361,100.0
99,1.00 or less,345,95.6
100,1.01 to 1.50,7,1.9
101,1.51 or more,9,2.5
102,,,
103,VALUE,,
104,Owner-occupied units,200,100.0
105,"Less than $50,000",14,7.0
106,"$50,000 to $99,999",62,31.0
107,"$100,000 to $149,999",56,28.0
108,"$150,000 to $199,999",27,13.5
109,"$200,000 to $299,999",5,2.5
110,"$300,000 to $499,999",30,15.0
111,"$500,000 to $999,999",0,0.0
112,"$1,000,000 or more",6,3.0
113,Median (dollars),"115,400",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,200,100.0
117,Housing units with a mortgage,120,60.0
118,Housing units without a mortgage,80,40.0
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,120,100.0
122,Less than $300,0,0.0
123,$300 to $499,3,2.5
124,$500 to $699,16,13.3
125,$700 to $999,48,40.0
126,"$1,000 to $1,499",39,32.5
127,"$1,500 to $1,999",2,1.7
128,"$2,000 or more",12,10.0
129,Median (dollars),972,
130,,,
131,Housing units without a mortgage,80,100.0
132,Less than $100,0,0.0
133,$100 to $199,0,0.0
134,$200 to $299,18,22.5
135,$300 to $399,28,35.0
136,$400 or more,34,42.5
137,Median (dollars),370,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),120,100.0
141,Less than 20.0 percent,54,45.0
142,20.0 to 24.9 percent,29,24.2
143,25.0 to 29.9 percent,6,5.0
144,30.0 to 34.9 percent,2,1.7
145,35.0 percent or more,29,24.2
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),80,100.0
150,Less than 10.0 percent,40,50.0
151,10.0 to 14.9 percent,21,26.3
152,15.0 to 19.9 percent,3,3.8
153,20.0 to 24.9 percent,8,10.0
154,25.0 to 29.9 percent,0,0.0
155,30.0 to 34.9 percent,0,0.0
156,35.0 percent or more,8,10.0
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,144,100.0
162,Less than $200,0,0.0
163,$200 to $299,0,0.0
164,$300 to $499,18,12.5
