,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"1,101",100.0
3,Occupied housing units,957,86.9
4,Vacant housing units,144,13.1
5,,,
6,Homeowner vacancy rate,3.1,
7,Rental vacancy rate,1.8,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"1,101",100.0
11,"1-unit, detached",830,75.4
12,"1-unit, attached",16,1.5
13,2 units,20,1.8
14,3 or 4 units,19,1.7
15,5 to 9 units,4,0.4
16,10 to 19 units,10,0.9
17,20 or more units,9,0.8
18,Mobile home,178,16.2
19,"Boat, RV, van, etc.",15,1.4
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"1,101",100.0
23,Built 2005 or later,28,2.5
24,Built 2000 to 2004,45,4.1
25,Built 1990 to 1999,112,10.2
26,Built 1980 to 1989,85,7.7
27,Built 1970 to 1979,348,31.6
28,Built 1960 to 1969,61,5.5
29,Built 1950 to 1959,69,6.3
30,Built 1940 to 1949,112,10.2
31,Built 1939 or earlier,241,21.9
32,,,
33,ROOMS,,
34,Total housing units,"1,101",100.0
35,1 room,16,1.5
36,2 rooms,36,3.3
37,3 rooms,37,3.4
38,4 rooms,177,16.1
39,5 rooms,341,31.0
40,6 rooms,232,21.1
41,7 rooms,129,11.7
42,8 rooms,36,3.3
43,9 rooms or more,97,8.8
44,Median rooms,5.3,
45,,,
46,BEDROOMS,,
47,Total housing units,"1,101",100.0
48,No bedroom,16,1.5
49,1 bedroom,81,7.4
50,2 bedrooms,256,23.3
51,3 bedrooms,583,53.0
52,4 bedrooms,104,9.4
53,5 or more bedrooms,61,5.5
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,957,100.0
57,Owner-occupied,692,72.3
58,Renter-occupied,265,27.7
59,,,
60,Average household size of owner-occupied unit,2.44,
61,Average household size of renter-occupied unit,2.77,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,957,100.0
65,Moved in 2005 or later,252,26.3
66,Moved in 2000 to 2004,230,24.0
67,Moved in 1990 to 1999,280,29.3
68,Moved in 1980 to 1989,97,10.1
69,Moved in 1970 to 1979,65,6.8
70,Moved in 1969 or earlier,33,3.4
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,957,100.0
74,No vehicles available,33,3.4
75,1 vehicle available,238,24.9
76,2 vehicles available,327,34.2
77,3 or more vehicles available,359,37.5
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,957,100.0
81,Utility gas,360,37.6
82,"Bottled, tank, or LP gas",123,12.9
83,Electricity,197,20.6
84,"Fuel oil, kerosene, etc.",60,6.3
85,Coal or coke,0,0.0
86,Wood,217,22.7
87,Solar energy,0,0.0
88,Other fuel,0,0.0
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,957,100.0
93,Lacking complete plumbing facilities,12,1.3
94,Lacking complete kitchen facilities,31,3.2
95,No telephone service available,29,3.0
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,957,100.0
99,1.00 or less,933,97.5
100,1.01 to 1.50,18,1.9
101,1.51 or more,6,0.6
102,,,
103,VALUE,,
104,Owner-occupied units,692,100.0
105,"Less than $50,000",64,9.2
106,"$50,000 to $99,999",182,26.3
107,"$100,000 to $149,999",127,18.4
108,"$150,000 to $199,999",101,14.6
109,"$200,000 to $299,999",113,16.3
110,"$300,000 to $499,999",45,6.5
111,"$500,000 to $999,999",38,5.5
112,"$1,000,000 or more",22,3.2
113,Median (dollars),"136,500",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,692,100.0
117,Housing units with a mortgage,361,52.2
118,Housing units without a mortgage,331,47.8
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,361,100.0
122,Less than $300,0,0.0
123,$300 to $499,19,5.3
124,$500 to $699,77,21.3
125,$700 to $999,117,32.4
126,"$1,000 to $1,499",94,26.0
127,"$1,500 to $1,999",33,9.1
128,"$2,000 or more",21,5.8
129,Median (dollars),931,
130,,,
131,Housing units without a mortgage,331,100.0
132,Less than $100,14,4.2
133,$100 to $199,39,11.8
134,$200 to $299,80,24.2
135,$300 to $399,92,27.8
136,$400 or more,106,32.0
137,Median (dollars),328,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),361,100.0
141,Less than 20.0 percent,166,46.0
142,20.0 to 24.9 percent,67,18.6
143,25.0 to 29.9 percent,34,9.4
144,30.0 to 34.9 percent,22,6.1
145,35.0 percent or more,72,19.9
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),324,100.0
150,Less than 10.0 percent,109,33.6
151,10.0 to 14.9 percent,57,17.6
152,15.0 to 19.9 percent,48,14.8
153,20.0 to 24.9 percent,29,9.0
154,25.0 to 29.9 percent,21,6.5
155,30.0 to 34.9 percent,14,4.3
156,35.0 percent or more,46,14.2
157,,,
158,Not computed,7,2.2
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,257,100.0
162,Less than $200,8,3.1
163,$200 to $299,18,7.0
