,label,value,percent
0,-- Table/Item --,Value,Percent
1,GENDER AND AGE,,
2,Total population,"1,339",100.0
3,Male,659,49.2
4,Female,680,50.8
5,,,
6,Under 5 years,59,4.4
7,5 to 9 years,71,5.3
8,10 to 14 years,64,4.8
9,15 to 19 years,83,6.2
10,20 to 24 years,32,2.4
11,25 to 34 years,93,6.9
12,35 to 44 years,107,8.0
13,45 to 54 years,194,14.5
14,55 to 59 years,126,9.4
15,60 to 64 years,85,6.3
16,65 to 74 years,257,19.2
17,75 to 84 years,146,10.9
18,85 years and over,22,1.6
19,,,
20,Median age (years),54.1,
21,,,
22,18 years and over,"1,089",81.3
23,21 years and over,"1,058",79.0
24,62 years and over,461,34.4
25,65 years and over,425,31.7
26,,,
27,18 years and over,"1,089",81.3
28,Male,502,37.5
29,Female,587,43.8
30,,,
31,65 years and over,425,31.7
32,Male,216,16.1
33,Female,209,15.6
34,,,
35,RACE,,
36,Total population,"1,339",100.0
37,One race,"1,283",95.8
38,Two or more races,56,4.2
39,,,
40,One race,"1,283",95.8
41,White,"1,231",91.9
42,Black or African American,0,0.0
43,American Indian and Alaska Native,28,2.1
44,Cherokee tribal grouping,0,0.0
45,Chippewa tribal grouping,4,0.3
46,Navajo tribal grouping,0,0.0
47,Sioux tribal grouping,0,0.0
48,Asian,24,1.8
49,Asian Indian,20,1.5
50,Chinese,0,0.0
51,Filipino,0,0.0
52,Japanese,0,0.0
53,Korean,4,0.3
54,Vietnamese,0,0.0
55,Other Asian,0,0.0
56,Native Hawaiian and Other Pacific Islander,0,0.0
57,Native Hawaiian,0,0.0
58,Guamanian or Chamorro,0,0.0
59,Samoan,0,0.0
60,Other Pacific Islander,0,0.0
61,Some other race,0,0.0
62,Two or more races,56,4.2
63,White and Black or African American,2,0.1
64,White and American Indian and Alaska Native,47,3.5
65,White and Asian,0,0.0
66,Black or African American and American Indian and Alaska Native,0,0.0
67,,,
68,Race alone or in combination with one or more other races,,
69,Total population,"1,339",100.0
70,White,"1,280",95.6
71,Black or African American,9,0.7
72,American Indian and Alaska Native,75,5.6
73,Asian,31,2.3
74,Native Hawaiian and Other Pacific Islander,0,0.0
75,Some other race,0,0.0
76,,,
77,HISPANIC OR LATINO AND RACE,,
78,Total population,"1,339",100.0
79,Hispanic or Latino (of any race),9,0.7
80,Mexican,0,0.0
81,Puerto Rican,0,0.0
82,Cuban,0,0.0
83,Other Hispanic or Latino,9,0.7
84,Not Hispanic or Latino,"1,330",99.3
85,White alone,"1,227",91.6
86,Black or African American alone,0,0.0
87,American Indian and Alaska Native alone,23,1.7
88,Asian alone,24,1.8
89,Native Hawaiian and Other Pacific Islander alone,0,0.0
90,Some other race alone,0,0.0
91,Two or more races,56,4.2
92,Two races including Some other race,0,0.0
93,Two races excl Some other race & three or more races,56,4.2
94,,,
95,Total housing units,644,100.0
96,,,
97,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
