,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"1,437",100.0
3,Occupied housing units,"1,341",93.3
4,Vacant housing units,96,6.7
5,,,
6,Homeowner vacancy rate,0.8,
7,Rental vacancy rate,0.0,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"1,437",100.0
11,"1-unit, detached","1,021",71.1
12,"1-unit, attached",34,2.4
13,2 units,56,3.9
14,3 or 4 units,0,0.0
15,5 to 9 units,30,2.1
16,10 to 19 units,44,3.1
17,20 or more units,8,0.6
18,Mobile home,244,17.0
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"1,437",100.0
23,Built 2005 or later,31,2.2
24,Built 2000 to 2004,23,1.6
25,Built 1990 to 1999,229,15.9
26,Built 1980 to 1989,111,7.7
27,Built 1970 to 1979,319,22.2
28,Built 1960 to 1969,177,12.3
29,Built 1950 to 1959,138,9.6
30,Built 1940 to 1949,59,4.1
31,Built 1939 or earlier,350,24.4
32,,,
33,ROOMS,,
34,Total housing units,"1,437",100.0
35,1 room,0,0.0
36,2 rooms,8,0.6
37,3 rooms,62,4.3
38,4 rooms,273,19.0
39,5 rooms,256,17.8
40,6 rooms,391,27.2
41,7 rooms,148,10.3
42,8 rooms,152,10.6
43,9 rooms or more,147,10.2
44,Median rooms,5.8,
45,,,
46,BEDROOMS,,
47,Total housing units,"1,437",100.0
48,No bedroom,0,0.0
49,1 bedroom,90,6.3
50,2 bedrooms,423,29.4
51,3 bedrooms,590,41.1
52,4 bedrooms,273,19.0
53,5 or more bedrooms,61,4.2
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"1,341",100.0
57,Owner-occupied,975,72.7
58,Renter-occupied,366,27.3
59,,,
60,Average household size of owner-occupied unit,2.22,
61,Average household size of renter-occupied unit,1.65,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"1,341",100.0
65,Moved in 2005 or later,283,21.1
66,Moved in 2000 to 2004,380,28.3
67,Moved in 1990 to 1999,307,22.9
68,Moved in 1980 to 1989,152,11.3
69,Moved in 1970 to 1979,108,8.1
70,Moved in 1969 or earlier,111,8.3
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"1,341",100.0
74,No vehicles available,76,5.7
75,1 vehicle available,422,31.5
76,2 vehicles available,432,32.2
77,3 or more vehicles available,411,30.6
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"1,341",100.0
81,Utility gas,29,2.2
82,"Bottled, tank, or LP gas",214,16.0
83,Electricity,319,23.8
84,"Fuel oil, kerosene, etc.",355,26.5
85,Coal or coke,0,0.0
86,Wood,387,28.9
87,Solar energy,17,1.3
88,Other fuel,11,0.8
89,No fuel used,9,0.7
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"1,341",100.0
93,Lacking complete plumbing facilities,0,0.0
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,11,0.8
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"1,341",100.0
99,1.00 or less,"1,329",99.1
100,1.01 to 1.50,12,0.9
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,975,100.0
105,"Less than $50,000",79,8.1
106,"$50,000 to $99,999",131,13.4
107,"$100,000 to $149,999",220,22.6
108,"$150,000 to $199,999",201,20.6
109,"$200,000 to $299,999",163,16.7
110,"$300,000 to $499,999",118,12.1
111,"$500,000 to $999,999",55,5.6
112,"$1,000,000 or more",8,0.8
113,Median (dollars),"162,400",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,975,100.0
117,Housing units with a mortgage,535,54.9
118,Housing units without a mortgage,440,45.1
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,535,100.0
122,Less than $300,0,0.0
123,$300 to $499,27,5.0
124,$500 to $699,29,5.4
125,$700 to $999,138,25.8
126,"$1,000 to $1,499",193,36.1
127,"$1,500 to $1,999",117,21.9
128,"$2,000 or more",31,5.8
129,Median (dollars),"1,166",
130,,,
131,Housing units without a mortgage,440,100.0
132,Less than $100,8,1.8
133,$100 to $199,0,0.0
134,$200 to $299,126,28.6
135,$300 to $399,102,23.2
136,$400 or more,204,46.4
137,Median (dollars),389,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),535,100.0
141,Less than 20.0 percent,156,29.2
142,20.0 to 24.9 percent,76,14.2
143,25.0 to 29.9 percent,53,9.9
144,30.0 to 34.9 percent,53,9.9
145,35.0 percent or more,197,36.8
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),440,100.0
150,Less than 10.0 percent,85,19.3
151,10.0 to 14.9 percent,110,25.0
152,15.0 to 19.9 percent,108,24.5
153,20.0 to 24.9 percent,37,8.4
154,25.0 to 29.9 percent,34,7.7
155,30.0 to 34.9 percent,21,4.8
156,35.0 percent or more,45,10.2
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,329,100.0
