,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"61,898",100.0
2,Family households (families),"32,251",52.1
3,With own children under 18 years,"13,762",22.2
4,Married-couple family,"25,034",40.4
5,With own children under 18 years,"9,421",15.2
6,"Male householder, no wife present, family","2,162",3.5
7,With own children under 18 years,"1,225",2.0
8,"Female householder, no husband present, family","5,055",8.2
9,With own children under 18 years,"3,116",5.0
10,Nonfamily households,"29,647",47.9
11,Householder living alone,"20,438",33.0
12,65 years and over,"5,217",8.4
13,,,
14,Households with one or more people under 18 years,"14,692",23.7
15,Households with one or more people 65 years and over,"11,958",19.3
16,,,
17,Average household size,2.24,
18,Average family size,2.87,
19,,,
20,RELATIONSHIP,,
21,Population in households,"138,347",100.0
22,Householder,"61,898",44.7
23,Spouse,"25,018",18.1
24,Child,"31,186",22.5
25,Other relatives,"4,064",2.9
26,Nonrelatives,"16,181",11.7
27,Unmarried partner,"5,145",3.7
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"60,637",100.0
31,Never married,"25,465",42.0
32,"Now married, except separated","27,344",45.1
33,Separated,721,1.2
34,Widowed,"1,093",1.8
35,Divorced,"6,014",9.9
36,,,
37,Females 15 years and over,"65,774",100.0
38,Never married,"24,651",37.5
39,"Now married, except separated","25,818",39.3
40,Separated,925,1.4
41,Widowed,"5,358",8.1
42,Divorced,"9,022",13.7
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,"1,439",100.0
46,"Unmarried women (widowed, divorced, and never married)",475,33.0
47,"Per 1,000 unmarried women",17,
48,"Per 1,000 women 15 to 50 years old",35,
49,"Per 1,000 women 15 to 19 years old",29,
50,"Per 1,000 women 20 to 34 years old",47,
51,"Per 1,000 women 35 to 50 years old",22,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,"1,216",100.0
55,Responsible for grandchildren,415,34.1
56,Years responsible for grandchildren,,
57,Less than 1 year,91,7.5
58,1 or 2 years,48,3.9
59,3 or 4 years,109,9.0
60,5 or more years,167,13.7
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,415,34.1
63,Who are female,263,21.6
64,Who are married,292,24.0
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"48,436",100.0
68,"Nursery school, preschool","1,732",3.6
69,Kindergarten,"1,341",2.8
70,Elementary school (grades 1-8),"11,098",22.9
71,High school (grades 9-12),"6,976",14.4
72,College or graduate school,"27,289",56.3
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"90,450",100.0
76,Less than 9th grade,"1,811",2.0
77,"9th to 12th grade, no diploma","4,760",5.3
78,High school graduate (includes equivalency),"16,749",18.5
79,"Some college, no degree","22,956",25.4
80,Associate's degree,"7,353",8.1
81,Bachelor's degree,"20,588",22.8
82,Graduate or professional degree,"16,233",17.9
83,,,
84,Percent high school graduate or higher,92.7,
85,Percent bachelor's degree or higher,40.7,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"121,379",100.0
89,Civilian veterans,"11,955",9.8
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"145,379",100.0
93,Same house,"103,520",71.2
94,Different house in the U.S.,"39,893",27.4
95,Same county,"25,648",17.6
96,Different county,"14,245",9.8
97,Same state,"6,490",4.5
98,Different state,"7,755",5.3
99,Abroad,"1,966",1.4
100,,,
101,PLACE OF BIRTH,,
102,Total population,"146,888",100.0
103,Native,"136,187",92.7
104,Born in United States,"134,298",91.4
105,State of residence,"60,054",40.9
106,Different state,"74,244",50.5
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)","1,889",1.3
108,Foreign born,"10,701",7.3
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,"10,701",100.0
112,Naturalized U.S. citizen,"3,701",34.6
113,Not a U.S. citizen,"7,000",65.4
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,"12,590",100.0
117,,,
118,Native,"1,889",15.0
119,Entered 2000 or later,366,2.9
120,Entered before 2000,"1,523",12.1
121,,,
122,Foreign born,"10,701",85.0
123,Entered 2000 or later,"4,274",33.9
124,Entered before 2000,"6,427",51.0
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea","10,701",100.0
128,Europe,"2,035",19.0
129,Asia,"5,399",50.5
130,Africa,302,2.8
131,Oceania,108,1.0
132,Latin America,"2,102",19.6
133,Northern America,755,7.1
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,"140,553",100.0
137,English only,"122,034",86.8
138,Language other than English,"18,519",13.2
139,"Speak English less than ""very well""","5,005",3.6
140,Spanish,"7,551",5.4
141,"Speak English less than ""very well""","1,685",1.2
142,Other Indo-European languages,"5,056",3.6
143,"Speak English less than ""very well""",618,0.4
144,Asian and Pacific Islander languages,"5,048",3.6
145,"Speak English less than ""very well""","2,403",1.7
146,Other languages,864,0.6
147,"Speak English less than ""very well""",299,0.2
148,,,
149,ANCESTRY,,
150,Total population,"146,888",100.0
151,American,"5,612",3.8
152,Arab,661,0.5
153,Czech,851,0.6
154,Danish,"2,324",1.6
155,Dutch,"3,505",2.4
156,English,"24,170",16.5
157,French (except Basque),"5,708",3.9
158,French Canadian,"1,048",0.7
159,German,"32,190",21.9
160,Greek,613,0.4
161,Hungarian,509,0.3
162,Irish,"22,007",15.0
163,Italian,"6,298",4.3
164,Lithuanian,475,0.3
165,Norwegian,"6,252",4.3
166,Polish,"3,653",2.5
167,Portuguese,678,0.5
168,Russian,"2,784",1.9
169,Scotch-Irish,"4,149",2.8
170,Scottish,"5,995",4.1
171,Slovak,145,0.1
172,Subsaharan African,494,0.3
173,Swedish,"4,877",3.3
174,Swiss,881,0.6
175,Ukrainian,656,0.4
176,Welsh,"2,398",1.6
177,West Indian (excluding Hispanic origin groups),234,0.2
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
