,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,566,100.0
3,In labor force,370,65.4
4,Civilian labor force,370,65.4
5,Employed,352,62.2
6,Unemployed,18,3.2
7,Armed Forces,0,0.0
8,Not in labor force,196,34.6
9,,,
10,Civilian labor force,370,65.4
11,Percent Unemployed,4.9,
12,,,
13,Females 16 years and over,288,50.9
14,In labor force,185,32.7
15,Civilian labor force,185,32.7
16,Employed,169,29.9
17,,,
18,Own children under 6 years,0,0.0
19,All parents in family in labor force,0,0.0
20,,,
21,Own children 6 to 17 years,55,9.7
22,All parents in family in labor force,41,7.2
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,349,100.0
26,"Car, truck, or van -- drove alone",124,35.5
27,"Car, truck, or van -- carpooled",12,3.4
28,Public transportation (excluding taxicab),0,0.0
29,Walked,195,55.9
30,Other means,0,0.0
31,Worked at home,18,5.2
32,,,
33,Mean travel time to work (minutes),10.8,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,352,100.0
37,"Management, professional, and related occupations",129,36.6
38,Service occupations,86,24.4
39,Sales and office occupations,75,21.3
40,"Farming, fishing, and forestry occupations",14,4.0
41,"Construction, extraction, maintenance, and repair occupations",11,3.1
42,"Production, transportation, and material moving occupations",37,10.5
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,352,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",31,8.8
47,Construction,7,2.0
48,Manufacturing,7,2.0
49,Wholesale trade,0,0.0
50,Retail trade,32,9.1
51,"Transportation and warehousing, and utilities",6,1.7
52,Information,4,1.1
53,"Finance and insurance, & real estate & rental & leasing",20,5.7
54,"Professional, scientific & mgmt, & admin & waste mgmt services",24,6.8
55,Educational services & health care & social assistance,31,8.8
56,"Arts, entertainment & recreation & accommodation & food services",165,46.9
57,"Other services, except public administration",7,2.0
58,Public administration,18,5.1
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,352,100.0
62,Private wage and salary workers,269,76.4
63,Government workers,40,11.4
64,Self-employed in own not incorporated business workers,43,12.2
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,271,100.0
69,"Less than $10,000",39,14.4
70,"$10,000 to $14,999",18,6.6
71,"$15,000 to $24,999",41,15.1
72,"$25,000 to $34,999",35,12.9
73,"$35,000 to $49,999",35,12.9
74,"$50,000 to $74,999",41,15.1
75,"$75,000 to $99,999",35,12.9
76,"$100,000 to $149,999",22,8.1
77,"$150,000 to $199,999",3,1.1
78,"$200,000 or more",2,0.7
79,Median household income (dollars),"35,568",
80,Mean household income (dollars),"47,925",
81,,,
82,With earnings,176,64.9
83,Mean earnings (dollars),"49,126",
84,With Social Security,155,57.2
85,Mean Social Security income (dollars),"12,372",
86,With retirement income,66,24.4
87,Mean retirement income (dollars),"14,914",
88,,,
89,With Supplemental Security Income,11,4.1
90,Mean Supplemental Security Income (dollars),"8,845",
91,With cash public assistance income,0,0.0
92,Mean cash public assistance income (dollars),0,
93,With Food Stamp/SNAP benefits in the past 12 months,15,5.5
94,,,
95,Families,147,100.0
96,"Less than $10,000",17,11.6
97,"$10,000 to $14,999",3,2.0
98,"$15,000 to $24,999",13,8.8
99,"$25,000 to $34,999",29,19.7
100,"$35,000 to $49,999",14,9.5
101,"$50,000 to $74,999",37,25.2
102,"$75,000 to $99,999",25,17.0
103,"$100,000 to $149,999",4,2.7
104,"$150,000 to $199,999",3,2.0
105,"$200,000 or more",2,1.4
106,Median family income (dollars),"47,917",
107,Mean family income (dollars),"53,531",
108,,,
109,Per capita income (dollars),"24,846",
110,,,
111,Nonfamily households,124,84.4
112,Median nonfamily income (dollars),"23,500",
113,Mean nonfamily income (dollars),"41,279",
114,,,
115,Median earnings for workers (dollars),"20,799",
116,"Median earnings for male full-time, year-round workers (dollars)","46,442",
117,"Median earnings for female full-time, year-round workers (dollars)","31,726",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,13.6,
121,With related children under 18 years,52.6,
122,With related children under 5 years only,0.0,
123,Married couple families,6.0,
124,With related children under 18 years,36.8,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",100.0,
127,With related children under 18 years,100.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,17.3,
131,Under 18 years,58.3,
132,Related children under 18 years,58.3,
133,Related children under 5 years,0.0,
134,Related children 5 to 17 years,58.3,
135,18 years and over,12.9,
136,18 to 64 years,14.8,
137,65 years and over,8.7,
138,People in families,19.0,
139,Unrelated individuals 15 years and over,15.4,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
