,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"1,096",100.0
3,Occupied housing units,"1,062",96.9
4,Vacant housing units,34,3.1
5,,,
6,Homeowner vacancy rate,0.0,
7,Rental vacancy rate,7.1,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"1,096",100.0
11,"1-unit, detached",842,76.8
12,"1-unit, attached",4,0.4
13,2 units,9,0.8
14,3 or 4 units,10,0.9
15,5 to 9 units,0,0.0
16,10 to 19 units,32,2.9
17,20 or more units,0,0.0
18,Mobile home,199,18.2
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"1,096",100.0
23,Built 2005 or later,13,1.2
24,Built 2000 to 2004,39,3.6
25,Built 1990 to 1999,202,18.4
26,Built 1980 to 1989,71,6.5
27,Built 1970 to 1979,210,19.2
28,Built 1960 to 1969,58,5.3
29,Built 1950 to 1959,112,10.2
30,Built 1940 to 1949,90,8.2
31,Built 1939 or earlier,301,27.5
32,,,
33,ROOMS,,
34,Total housing units,"1,096",100.0
35,1 room,0,0.0
36,2 rooms,11,1.0
37,3 rooms,56,5.1
38,4 rooms,120,10.9
39,5 rooms,250,22.8
40,6 rooms,249,22.7
41,7 rooms,139,12.7
42,8 rooms,113,10.3
43,9 rooms or more,158,14.4
44,Median rooms,5.9,
45,,,
46,BEDROOMS,,
47,Total housing units,"1,096",100.0
48,No bedroom,0,0.0
49,1 bedroom,68,6.2
50,2 bedrooms,205,18.7
51,3 bedrooms,518,47.3
52,4 bedrooms,217,19.8
53,5 or more bedrooms,88,8.0
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"1,062",100.0
57,Owner-occupied,867,81.6
58,Renter-occupied,195,18.4
59,,,
60,Average household size of owner-occupied unit,2.78,
61,Average household size of renter-occupied unit,2.32,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"1,062",100.0
65,Moved in 2005 or later,232,21.8
66,Moved in 2000 to 2004,289,27.2
67,Moved in 1990 to 1999,236,22.2
68,Moved in 1980 to 1989,148,13.9
69,Moved in 1970 to 1979,120,11.3
70,Moved in 1969 or earlier,37,3.5
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"1,062",100.0
74,No vehicles available,40,3.8
75,1 vehicle available,209,19.7
76,2 vehicles available,407,38.3
77,3 or more vehicles available,406,38.2
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"1,062",100.0
81,Utility gas,14,1.3
82,"Bottled, tank, or LP gas",153,14.4
83,Electricity,522,49.2
84,"Fuel oil, kerosene, etc.",102,9.6
85,Coal or coke,0,0.0
86,Wood,254,23.9
87,Solar energy,0,0.0
88,Other fuel,17,1.6
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"1,062",100.0
93,Lacking complete plumbing facilities,21,2.0
94,Lacking complete kitchen facilities,25,2.4
95,No telephone service available,11,1.0
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"1,062",100.0
99,1.00 or less,"1,054",99.2
100,1.01 to 1.50,8,0.8
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,867,100.0
105,"Less than $50,000",65,7.5
106,"$50,000 to $99,999",16,1.8
107,"$100,000 to $149,999",78,9.0
108,"$150,000 to $199,999",102,11.8
109,"$200,000 to $299,999",213,24.6
110,"$300,000 to $499,999",250,28.8
111,"$500,000 to $999,999",131,15.1
112,"$1,000,000 or more",12,1.4
113,Median (dollars),"283,500",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,867,100.0
117,Housing units with a mortgage,622,71.7
118,Housing units without a mortgage,245,28.3
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,622,100.0
122,Less than $300,0,0.0
123,$300 to $499,13,2.1
124,$500 to $699,9,1.4
125,$700 to $999,44,7.1
126,"$1,000 to $1,499",152,24.4
127,"$1,500 to $1,999",155,24.9
128,"$2,000 or more",249,40.0
129,Median (dollars),"1,765",
130,,,
131,Housing units without a mortgage,245,100.0
132,Less than $100,6,2.4
133,$100 to $199,10,4.1
134,$200 to $299,30,12.2
135,$300 to $399,72,29.4
136,$400 or more,127,51.8
137,Median (dollars),406,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),622,100.0
141,Less than 20.0 percent,183,29.4
142,20.0 to 24.9 percent,91,14.6
143,25.0 to 29.9 percent,123,19.8
144,30.0 to 34.9 percent,28,4.5
145,35.0 percent or more,197,31.7
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),245,100.0
150,Less than 10.0 percent,126,51.4
151,10.0 to 14.9 percent,26,10.6
152,15.0 to 19.9 percent,20,8.2
153,20.0 to 24.9 percent,49,20.0
154,25.0 to 29.9 percent,6,2.4
155,30.0 to 34.9 percent,0,0.0
156,35.0 percent or more,18,7.3
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,172,100.0
