,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"4,339",100.0
2,Family households (families),"2,688",61.9
3,With own children under 18 years,"1,111",25.6
4,Married-couple family,"1,994",46.0
5,With own children under 18 years,676,15.6
6,"Male householder, no wife present, family",136,3.1
7,With own children under 18 years,88,2.0
8,"Female householder, no husband present, family",558,12.9
9,With own children under 18 years,347,8.0
10,Nonfamily households,"1,651",38.1
11,Householder living alone,"1,307",30.1
12,65 years and over,528,12.2
13,,,
14,Households with one or more people under 18 years,"1,281",29.5
15,Households with one or more people 65 years and over,"1,158",26.7
16,,,
17,Average household size,2.47,
18,Average family size,3.09,
19,,,
20,RELATIONSHIP,,
21,Population in households,"10,727",100.0
22,Householder,"4,339",40.4
23,Spouse,"1,984",18.5
24,Child,"3,051",28.4
25,Other relatives,575,5.4
26,Nonrelatives,778,7.3
27,Unmarried partner,270,2.5
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"4,362",100.0
31,Never married,"1,471",33.7
32,"Now married, except separated","2,161",49.5
33,Separated,47,1.1
34,Widowed,112,2.6
35,Divorced,571,13.1
36,,,
37,Females 15 years and over,"4,792",100.0
38,Never married,"1,290",26.9
39,"Now married, except separated","2,084",43.5
40,Separated,142,3.0
41,Widowed,499,10.4
42,Divorced,777,16.2
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,62,100.0
46,"Unmarried women (widowed, divorced, and never married)",12,19.4
47,"Per 1,000 unmarried women",8,
48,"Per 1,000 women 15 to 50 years old",24,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",61,
51,"Per 1,000 women 35 to 50 years old",9,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,326,100.0
55,Responsible for grandchildren,76,23.3
56,Years responsible for grandchildren,,
57,Less than 1 year,34,10.4
58,1 or 2 years,0,0.0
59,3 or 4 years,0,0.0
60,5 or more years,42,12.9
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,76,23.3
63,Who are female,60,18.4
64,Who are married,46,14.1
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"2,506",100.0
68,"Nursery school, preschool",61,2.4
69,Kindergarten,37,1.5
70,Elementary school (grades 1-8),964,38.5
71,High school (grades 9-12),819,32.7
72,College or graduate school,625,24.9
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"7,588",100.0
76,Less than 9th grade,47,0.6
77,"9th to 12th grade, no diploma",535,7.1
