,label,value,percent
0,-- Table/Item --,Value,Percent
1,GENDER AND AGE,,
2,Total population,"5,046",100.0
3,Male,"2,514",49.8
4,Female,"2,532",50.2
5,,,
6,Under 5 years,161,3.2
7,5 to 9 years,313,6.2
8,10 to 14 years,296,5.9
9,15 to 19 years,403,8.0
10,20 to 24 years,174,3.4
11,25 to 34 years,241,4.8
12,35 to 44 years,538,10.7
13,45 to 54 years,903,17.9
14,55 to 59 years,628,12.4
15,60 to 64 years,337,6.7
16,65 to 74 years,572,11.3
17,75 to 84 years,384,7.6
18,85 years and over,96,1.9
19,,,
20,Median age (years),50.3,
21,,,
22,18 years and over,"4,034",79.9
23,21 years and over,"3,840",76.1
24,62 years and over,"1,247",24.7
25,65 years and over,"1,052",20.8
26,,,
27,18 years and over,"4,034",79.9
28,Male,"1,989",39.4
29,Female,"2,045",40.5
30,,,
31,65 years and over,"1,052",20.8
32,Male,533,10.6
33,Female,519,10.3
34,,,
35,RACE,,
36,Total population,"5,046",100.0
37,One race,"4,963",98.4
38,Two or more races,83,1.6
39,,,
40,One race,"4,963",98.4
41,White,"4,902",97.1
42,Black or African American,0,0.0
43,American Indian and Alaska Native,42,0.8
44,Cherokee tribal grouping,0,0.0
45,Chippewa tribal grouping,0,0.0
46,Navajo tribal grouping,0,0.0
47,Sioux tribal grouping,0,0.0
48,Asian,8,0.2
49,Asian Indian,8,0.2
50,Chinese,0,0.0
51,Filipino,0,0.0
52,Japanese,0,0.0
53,Korean,0,0.0
54,Vietnamese,0,0.0
55,Other Asian,0,0.0
56,Native Hawaiian and Other Pacific Islander,0,0.0
57,Native Hawaiian,0,0.0
58,Guamanian or Chamorro,0,0.0
59,Samoan,0,0.0
60,Other Pacific Islander,0,0.0
61,Some other race,11,0.2
62,Two or more races,83,1.6
63,White and Black or African American,0,0.0
64,White and American Indian and Alaska Native,73,1.4
65,White and Asian,0,0.0
66,Black or African American and American Indian and Alaska Native,0,0.0
67,,,
68,Race alone or in combination with one or more other races,,
69,Total population,"5,046",100.0
70,White,"4,985",98.8
71,Black or African American,10,0.2
72,American Indian and Alaska Native,125,2.5
73,Asian,8,0.2
74,Native Hawaiian and Other Pacific Islander,0,0.0
75,Some other race,11,0.2
76,,,
77,HISPANIC OR LATINO AND RACE,,
78,Total population,"5,046",100.0
79,Hispanic or Latino (of any race),171,3.4
80,Mexican,161,3.2
81,Puerto Rican,0,0.0
82,Cuban,10,0.2
83,Other Hispanic or Latino,0,0.0
84,Not Hispanic or Latino,"4,875",96.6
85,White alone,"4,742",94.0
86,Black or African American alone,0,0.0
87,American Indian and Alaska Native alone,42,0.8
88,Asian alone,8,0.2
89,Native Hawaiian and Other Pacific Islander alone,0,0.0
90,Some other race alone,0,0.0
91,Two or more races,83,1.6
92,Two races including Some other race,0,0.0
93,Two races excl Some other race & three or more races,83,1.6
94,,,
95,Total housing units,"2,407",100.0
96,,,
97,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
