,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"27,841",100.0
3,In labor force,"15,817",56.8
4,Civilian labor force,"15,806",56.8
5,Employed,"14,497",52.1
6,Unemployed,"1,309",4.7
7,Armed Forces,11,0.0
8,Not in labor force,"12,024",43.2
9,,,
10,Civilian labor force,"15,806",56.8
11,Percent Unemployed,8.3,
12,,,
13,Females 16 years and over,"15,020",53.9
14,In labor force,"7,606",27.3
15,Civilian labor force,"7,606",27.3
16,Employed,"6,962",25.0
17,,,
18,Own children under 6 years,"2,732",9.8
19,All parents in family in labor force,"1,556",5.6
20,,,
21,Own children 6 to 17 years,"5,224",18.8
22,All parents in family in labor force,"3,699",13.3
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"14,048",100.0
26,"Car, truck, or van -- drove alone","11,833",84.2
27,"Car, truck, or van -- carpooled",834,5.9
28,Public transportation (excluding taxicab),0,0.0
29,Walked,544,3.9
30,Other means,427,3.0
31,Worked at home,410,2.9
32,,,
33,Mean travel time to work (minutes),15.4,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"14,497",100.0
37,"Management, professional, and related occupations","3,598",24.8
38,Service occupations,"3,009",20.8
39,Sales and office occupations,"4,090",28.2
40,"Farming, fishing, and forestry occupations",108,0.7
41,"Construction, extraction, maintenance, and repair occupations","1,685",11.6
42,"Production, transportation, and material moving occupations","2,007",13.8
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"14,497",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",222,1.5
47,Construction,"1,195",8.2
48,Manufacturing,"1,705",11.8
49,Wholesale trade,446,3.1
50,Retail trade,"2,154",14.9
51,"Transportation and warehousing, and utilities",471,3.2
52,Information,288,2.0
53,"Finance and insurance, & real estate & rental & leasing",850,5.9
54,"Professional, scientific & mgmt, & admin & waste mgmt services","1,280",8.8
55,Educational services & health care & social assistance,"3,200",22.1
56,"Arts, entertainment & recreation & accommodation & food services","1,298",9.0
57,"Other services, except public administration",896,6.2
58,Public administration,492,3.4
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"14,497",100.0
62,Private wage and salary workers,"11,245",77.6
63,Government workers,"1,574",10.9
64,Self-employed in own not incorporated business workers,"1,678",11.6
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"14,583",100.0
69,"Less than $10,000","1,316",9.0
70,"$10,000 to $14,999","1,523",10.4
71,"$15,000 to $24,999","2,155",14.8
72,"$25,000 to $34,999","1,940",13.3
73,"$35,000 to $49,999","2,497",17.1
74,"$50,000 to $74,999","2,567",17.6
75,"$75,000 to $99,999","1,178",8.1
76,"$100,000 to $149,999",931,6.4
77,"$150,000 to $199,999",242,1.7
78,"$200,000 or more",234,1.6
79,Median household income (dollars),"36,839",
80,Mean household income (dollars),"49,071",
81,,,
82,With earnings,"10,156",69.6
83,Mean earnings (dollars),"50,828",
84,With Social Security,"5,602",38.4
85,Mean Social Security income (dollars),"14,444",
86,With retirement income,"2,977",20.4
87,Mean retirement income (dollars),"17,355",
88,,,
89,With Supplemental Security Income,536,3.7
90,Mean Supplemental Security Income (dollars),"7,670",
91,With cash public assistance income,450,3.1
92,Mean cash public assistance income (dollars),"3,716",
93,With Food Stamp/SNAP benefits in the past 12 months,"2,352",16.1
94,,,
95,Families,"9,246",100.0
96,"Less than $10,000",624,6.7
97,"$10,000 to $14,999",453,4.9
98,"$15,000 to $24,999",949,10.3
99,"$25,000 to $34,999","1,207",13.1
100,"$35,000 to $49,999","1,681",18.2
101,"$50,000 to $74,999","2,122",23.0
102,"$75,000 to $99,999","1,011",10.9
103,"$100,000 to $149,999",770,8.3
104,"$150,000 to $199,999",219,2.4
105,"$200,000 or more",210,2.3
106,Median family income (dollars),"47,841",
107,Mean family income (dollars),"59,045",
108,,,
109,Per capita income (dollars),"20,814",
110,,,
111,Nonfamily households,"5,337",57.7
112,Median nonfamily income (dollars),"20,842",
113,Mean nonfamily income (dollars),"30,005",
114,,,
115,Median earnings for workers (dollars),"21,671",
116,"Median earnings for male full-time, year-round workers (dollars)","37,722",
117,"Median earnings for female full-time, year-round workers (dollars)","27,446",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,14.1,
121,With related children under 18 years,22.5,
122,With related children under 5 years only,35.5,
123,Married couple families,8.1,
124,With related children under 18 years,10.9,
125,With related children under 5 years only,9.2,
126,"Families with female householder, no husband present",38.2,
127,With related children under 18 years,52.8,
128,With related children under 5 years only,83.5,
129,,,
130,All people,16.8,
131,Under 18 years,25.8,
132,Related children under 18 years,25.4,
133,Related children under 5 years,29.3,
134,Related children 5 to 17 years,23.7,
135,18 years and over,14.0,
136,18 to 64 years,15.6,
137,65 years and over,8.6,
138,People in families,15.1,
139,Unrelated individuals 15 years and over,23.5,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
