,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"28,462",100.0
3,Occupied housing units,"26,991",94.8
4,Vacant housing units,"1,471",5.2
5,,,
6,Homeowner vacancy rate,1.3,
7,Rental vacancy rate,5.4,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"28,462",100.0
11,"1-unit, detached","16,575",58.2
12,"1-unit, attached","2,095",7.4
13,2 units,875,3.1
14,3 or 4 units,"1,342",4.7
15,5 to 9 units,"1,444",5.1
16,10 to 19 units,"2,524",8.9
17,20 or more units,"2,648",9.3
18,Mobile home,938,3.3
19,"Boat, RV, van, etc.",21,0.1
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"28,462",100.0
23,Built 2005 or later,859,3.0
24,Built 2000 to 2004,"3,454",12.1
25,Built 1990 to 1999,"5,731",20.1
26,Built 1980 to 1989,"3,696",13.0
27,Built 1970 to 1979,"9,107",32.0
28,Built 1960 to 1969,"2,964",10.4
29,Built 1950 to 1959,957,3.4
30,Built 1940 to 1949,661,2.3
31,Built 1939 or earlier,"1,033",3.6
32,,,
33,ROOMS,,
34,Total housing units,"28,462",100.0
35,1 room,287,1.0
36,2 rooms,"1,012",3.6
37,3 rooms,"2,449",8.6
38,4 rooms,"4,968",17.5
39,5 rooms,"5,445",19.1
40,6 rooms,"4,769",16.8
41,7 rooms,"3,954",13.9
42,8 rooms,"2,602",9.1
43,9 rooms or more,"2,976",10.5
44,Median rooms,5.5,
45,,,
46,BEDROOMS,,
47,Total housing units,"28,462",100.0
48,No bedroom,345,1.2
49,1 bedroom,"3,157",11.1
50,2 bedrooms,"7,132",25.1
51,3 bedrooms,"12,235",43.0
52,4 bedrooms,"4,543",16.0
53,5 or more bedrooms,"1,050",3.7
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"26,991",100.0
57,Owner-occupied,"16,862",62.5
58,Renter-occupied,"10,129",37.5
59,,,
60,Average household size of owner-occupied unit,2.82,
61,Average household size of renter-occupied unit,2.44,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"26,991",100.0
65,Moved in 2005 or later,"8,410",31.2
66,Moved in 2000 to 2004,"8,244",30.5
67,Moved in 1990 to 1999,"5,824",21.6
68,Moved in 1980 to 1989,"2,318",8.6
69,Moved in 1970 to 1979,"1,721",6.4
70,Moved in 1969 or earlier,474,1.8
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"26,991",100.0
74,No vehicles available,"1,382",5.1
75,1 vehicle available,"8,870",32.9
76,2 vehicles available,"10,570",39.2
77,3 or more vehicles available,"6,169",22.9
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"26,991",100.0
81,Utility gas,"12,381",45.9
82,"Bottled, tank, or LP gas",324,1.2
83,Electricity,"12,656",46.9
84,"Fuel oil, kerosene, etc.",799,3.0
85,Coal or coke,0,0.0
86,Wood,715,2.6
87,Solar energy,15,0.1
88,Other fuel,81,0.3
89,No fuel used,20,0.1
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"26,991",100.0
93,Lacking complete plumbing facilities,161,0.6
94,Lacking complete kitchen facilities,256,0.9
95,No telephone service available,645,2.4
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"26,991",100.0
99,1.00 or less,"26,197",97.1
100,1.01 to 1.50,619,2.3
101,1.51 or more,175,0.6
102,,,
103,VALUE,,
104,Owner-occupied units,"16,862",100.0
105,"Less than $50,000",675,4.0
106,"$50,000 to $99,999",210,1.2
107,"$100,000 to $149,999",821,4.9
108,"$150,000 to $199,999","2,658",15.8
109,"$200,000 to $299,999","6,567",38.9
110,"$300,000 to $499,999","4,433",26.3
111,"$500,000 to $999,999","1,228",7.3
112,"$1,000,000 or more",270,1.6
113,Median (dollars),"256,100",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"16,862",100.0
117,Housing units with a mortgage,"13,071",77.5
118,Housing units without a mortgage,"3,791",22.5
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"13,071",100.0
122,Less than $300,23,0.2
123,$300 to $499,84,0.6
124,$500 to $699,309,2.4
125,$700 to $999,923,7.1
126,"$1,000 to $1,499","3,525",27.0
127,"$1,500 to $1,999","4,514",34.5
128,"$2,000 or more","3,693",28.3
129,Median (dollars),"1,659",
130,,,
131,Housing units without a mortgage,"3,791",100.0
132,Less than $100,10,0.3
133,$100 to $199,121,3.2
134,$200 to $299,276,7.3
135,$300 to $399,646,17.0
136,$400 or more,"2,738",72.2
137,Median (dollars),495,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"13,013",100.0
141,Less than 20.0 percent,"3,613",27.8
142,20.0 to 24.9 percent,"2,214",17.0
143,25.0 to 29.9 percent,"1,938",14.9
144,30.0 to 34.9 percent,"1,540",11.8
145,35.0 percent or more,"3,708",28.5
146,,,
147,Not computed,58,0.4
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),"3,791",100.0
150,Less than 10.0 percent,"1,381",36.4
