,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"2,922",100.0
3,Occupied housing units,"2,619",89.6
4,Vacant housing units,303,10.4
5,,,
6,Homeowner vacancy rate,0.6,
7,Rental vacancy rate,10.7,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"2,922",100.0
11,"1-unit, detached","2,013",68.9
12,"1-unit, attached",45,1.5
13,2 units,95,3.3
14,3 or 4 units,87,3.0
15,5 to 9 units,59,2.0
16,10 to 19 units,164,5.6
17,20 or more units,27,0.9
18,Mobile home,432,14.8
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"2,922",100.0
23,Built 2005 or later,23,0.8
24,Built 2000 to 2004,66,2.3
25,Built 1990 to 1999,354,12.1
26,Built 1980 to 1989,256,8.8
27,Built 1970 to 1979,509,17.4
28,Built 1960 to 1969,471,16.1
29,Built 1950 to 1959,362,12.4
30,Built 1940 to 1949,357,12.2
31,Built 1939 or earlier,524,17.9
32,,,
33,ROOMS,,
34,Total housing units,"2,922",100.0
35,1 room,0,0.0
36,2 rooms,18,0.6
37,3 rooms,354,12.1
38,4 rooms,564,19.3
39,5 rooms,552,18.9
40,6 rooms,922,31.6
41,7 rooms,289,9.9
42,8 rooms,133,4.6
43,9 rooms or more,90,3.1
44,Median rooms,5.5,
45,,,
46,BEDROOMS,,
47,Total housing units,"2,922",100.0
48,No bedroom,0,0.0
49,1 bedroom,342,11.7
50,2 bedrooms,839,28.7
51,3 bedrooms,"1,324",45.3
52,4 bedrooms,347,11.9
53,5 or more bedrooms,70,2.4
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"2,619",100.0
57,Owner-occupied,"1,737",66.3
58,Renter-occupied,882,33.7
59,,,
60,Average household size of owner-occupied unit,2.18,
61,Average household size of renter-occupied unit,1.77,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"2,619",100.0
65,Moved in 2005 or later,845,32.3
66,Moved in 2000 to 2004,589,22.5
67,Moved in 1990 to 1999,564,21.5
68,Moved in 1980 to 1989,255,9.7
69,Moved in 1970 to 1979,210,8.0
70,Moved in 1969 or earlier,156,6.0
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"2,619",100.0
74,No vehicles available,325,12.4
75,1 vehicle available,602,23.0
76,2 vehicles available,"1,017",38.8
77,3 or more vehicles available,675,25.8
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"2,619",100.0
81,Utility gas,154,5.9
82,"Bottled, tank, or LP gas",120,4.6
83,Electricity,734,28.0
84,"Fuel oil, kerosene, etc.",902,34.4
85,Coal or coke,0,0.0
86,Wood,630,24.1
87,Solar energy,0,0.0
88,Other fuel,66,2.5
89,No fuel used,13,0.5
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"2,619",100.0
93,Lacking complete plumbing facilities,21,0.8
94,Lacking complete kitchen facilities,21,0.8
95,No telephone service available,133,5.1
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"2,619",100.0
99,1.00 or less,"2,545",97.2
100,1.01 to 1.50,53,2.0
101,1.51 or more,21,0.8
102,,,
103,VALUE,,
104,Owner-occupied units,"1,737",100.0
105,"Less than $50,000",278,16.0
106,"$50,000 to $99,999",511,29.4
107,"$100,000 to $149,999",322,18.5
108,"$150,000 to $199,999",119,6.9
109,"$200,000 to $299,999",317,18.2
110,"$300,000 to $499,999",69,4.0
111,"$500,000 to $999,999",70,4.0
112,"$1,000,000 or more",51,2.9
113,Median (dollars),"110,400",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"1,737",100.0
117,Housing units with a mortgage,916,52.7
118,Housing units without a mortgage,821,47.3
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,916,100.0
122,Less than $300,0,0.0
123,$300 to $499,36,3.9
124,$500 to $699,99,10.8
125,$700 to $999,294,32.1
126,"$1,000 to $1,499",324,35.4
127,"$1,500 to $1,999",116,12.7
128,"$2,000 or more",47,5.1
129,Median (dollars),"1,041",
130,,,
131,Housing units without a mortgage,821,100.0
132,Less than $100,6,0.7
133,$100 to $199,94,11.4
134,$200 to $299,206,25.1
135,$300 to $399,295,35.9
136,$400 or more,220,26.8
137,Median (dollars),322,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),894,100.0
141,Less than 20.0 percent,392,43.8
142,20.0 to 24.9 percent,191,21.4
143,25.0 to 29.9 percent,163,18.2
144,30.0 to 34.9 percent,20,2.2
145,35.0 percent or more,128,14.3
146,,,
147,Not computed,22,2.5
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),821,100.0
150,Less than 10.0 percent,273,33.3
151,10.0 to 14.9 percent,134,16.3
152,15.0 to 19.9 percent,69,8.4
153,20.0 to 24.9 percent,98,11.9
154,25.0 to 29.9 percent,57,6.9
155,30.0 to 34.9 percent,63,7.7
156,35.0 percent or more,127,15.5
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
