,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,983,100.0
3,In labor force,656,66.7
4,Civilian labor force,656,66.7
5,Employed,633,64.4
6,Unemployed,23,2.3
7,Armed Forces,0,0.0
8,Not in labor force,327,33.3
9,,,
10,Civilian labor force,656,66.7
11,Percent Unemployed,3.5,
12,,,
13,Females 16 years and over,447,45.5
14,In labor force,265,27.0
15,Civilian labor force,265,27.0
16,Employed,256,26.0
17,,,
18,Own children under 6 years,135,13.7
19,All parents in family in labor force,114,11.6
20,,,
21,Own children 6 to 17 years,223,22.7
22,All parents in family in labor force,113,11.5
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,618,100.0
26,"Car, truck, or van -- drove alone",188,30.4
27,"Car, truck, or van -- carpooled",84,13.6
28,Public transportation (excluding taxicab),0,0.0
29,Walked,93,15.0
30,Other means,20,3.2
31,Worked at home,233,37.7
32,,,
33,Mean travel time to work (minutes),23.4,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,633,100.0
37,"Management, professional, and related occupations",252,39.8
38,Service occupations,63,10.0
39,Sales and office occupations,86,13.6
40,"Farming, fishing, and forestry occupations",141,22.3
41,"Construction, extraction, maintenance, and repair occupations",45,7.1
42,"Production, transportation, and material moving occupations",46,7.3
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,633,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",322,50.9
47,Construction,44,7.0
48,Manufacturing,12,1.9
49,Wholesale trade,26,4.1
50,Retail trade,35,5.5
51,"Transportation and warehousing, and utilities",18,2.8
52,Information,1,0.2
53,"Finance and insurance, & real estate & rental & leasing",22,3.5
54,"Professional, scientific & mgmt, & admin & waste mgmt services",5,0.8
55,Educational services & health care & social assistance,92,14.5
56,"Arts, entertainment & recreation & accommodation & food services",46,7.3
57,"Other services, except public administration",0,0.0
58,Public administration,10,1.6
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,633,100.0
62,Private wage and salary workers,434,68.6
63,Government workers,83,13.1
64,Self-employed in own not incorporated business workers,111,17.5
65,Unpaid family workers,5,0.8
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,541,100.0
69,"Less than $10,000",30,5.5
70,"$10,000 to $14,999",11,2.0
71,"$15,000 to $24,999",112,20.7
72,"$25,000 to $34,999",94,17.4
73,"$35,000 to $49,999",77,14.2
74,"$50,000 to $74,999",75,13.9
75,"$75,000 to $99,999",54,10.0
76,"$100,000 to $149,999",65,12.0
77,"$150,000 to $199,999",22,4.1
78,"$200,000 or more",1,0.2
79,Median household income (dollars),"40,117",
80,Mean household income (dollars),"54,546",
81,,,
82,With earnings,453,83.7
83,Mean earnings (dollars),"53,626",
84,With Social Security,143,26.4
85,Mean Social Security income (dollars),"13,445",
86,With retirement income,54,10.0
87,Mean retirement income (dollars),"28,231",
88,,,
89,With Supplemental Security Income,8,1.5
90,Mean Supplemental Security Income (dollars),"8,975",
91,With cash public assistance income,4,0.7
92,Mean cash public assistance income (dollars),"3,300",
93,With Food Stamp/SNAP benefits in the past 12 months,57,10.5
94,,,
95,Families,408,100.0
96,"Less than $10,000",16,3.9
97,"$10,000 to $14,999",8,2.0
98,"$15,000 to $24,999",69,16.9
99,"$25,000 to $34,999",79,19.4
100,"$35,000 to $49,999",56,13.7
101,"$50,000 to $74,999",60,14.7
102,"$75,000 to $99,999",38,9.3
103,"$100,000 to $149,999",59,14.5
104,"$150,000 to $199,999",22,5.4
105,"$200,000 or more",1,0.2
106,Median family income (dollars),"41,786",
107,Mean family income (dollars),"59,378",
108,,,
109,Per capita income (dollars),"21,405",
110,,,
111,Nonfamily households,133,32.6
112,Median nonfamily income (dollars),"32,083",
113,Mean nonfamily income (dollars),"39,723",
114,,,
115,Median earnings for workers (dollars),"25,000",
116,"Median earnings for male full-time, year-round workers (dollars)","38,750",
117,"Median earnings for female full-time, year-round workers (dollars)","24,400",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,9.3,
121,With related children under 18 years,18.4,
122,With related children under 5 years only,0.0,
123,Married couple families,7.5,
124,With related children under 18 years,15.1,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",0.0,
127,With related children under 18 years,0.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,12.8,
131,Under 18 years,21.6,
132,Related children under 18 years,21.6,
133,Related children under 5 years,30.0,
134,Related children 5 to 17 years,17.4,
135,18 years and over,9.5,
136,18 to 64 years,10.0,
137,65 years and over,7.5,
138,People in families,12.3,
139,Unrelated individuals 15 years and over,17.3,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
