,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,153,100.0
3,Occupied housing units,133,86.9
4,Vacant housing units,20,13.1
5,,,
6,Homeowner vacancy rate,0.0,
7,Rental vacancy rate,0.0,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,153,100.0
11,"1-unit, detached",129,84.3
12,"1-unit, attached",0,0.0
13,2 units,5,3.3
14,3 or 4 units,0,0.0
15,5 to 9 units,0,0.0
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,19,12.4
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,153,100.0
23,Built 2005 or later,0,0.0
24,Built 2000 to 2004,4,2.6
25,Built 1990 to 1999,15,9.8
26,Built 1980 to 1989,22,14.4
27,Built 1970 to 1979,38,24.8
28,Built 1960 to 1969,7,4.6
29,Built 1950 to 1959,11,7.2
30,Built 1940 to 1949,22,14.4
31,Built 1939 or earlier,34,22.2
32,,,
33,ROOMS,,
34,Total housing units,153,100.0
35,1 room,0,0.0
36,2 rooms,0,0.0
37,3 rooms,27,17.6
38,4 rooms,26,17.0
39,5 rooms,52,34.0
40,6 rooms,21,13.7
41,7 rooms,15,9.8
42,8 rooms,7,4.6
43,9 rooms or more,5,3.3
44,Median rooms,5.0,
45,,,
46,BEDROOMS,,
47,Total housing units,153,100.0
48,No bedroom,0,0.0
49,1 bedroom,17,11.1
50,2 bedrooms,59,38.6
51,3 bedrooms,57,37.3
52,4 bedrooms,20,13.1
53,5 or more bedrooms,0,0.0
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,133,100.0
57,Owner-occupied,97,72.9
58,Renter-occupied,36,27.1
59,,,
60,Average household size of owner-occupied unit,1.98,
61,Average household size of renter-occupied unit,2.92,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,133,100.0
65,Moved in 2005 or later,46,34.6
66,Moved in 2000 to 2004,44,33.1
67,Moved in 1990 to 1999,22,16.5
68,Moved in 1980 to 1989,2,1.5
69,Moved in 1970 to 1979,10,7.5
70,Moved in 1969 or earlier,9,6.8
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,133,100.0
74,No vehicles available,0,0.0
75,1 vehicle available,31,23.3
76,2 vehicles available,35,26.3
77,3 or more vehicles available,67,50.4
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,133,100.0
81,Utility gas,18,13.5
82,"Bottled, tank, or LP gas",5,3.8
83,Electricity,69,51.9
84,"Fuel oil, kerosene, etc.",19,14.3
85,Coal or coke,0,0.0
86,Wood,15,11.3
87,Solar energy,0,0.0
88,Other fuel,7,5.3
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,133,100.0
93,Lacking complete plumbing facilities,0,0.0
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,2,1.5
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,133,100.0
99,1.00 or less,131,98.5
100,1.01 to 1.50,2,1.5
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,97,100.0
105,"Less than $50,000",15,15.5
106,"$50,000 to $99,999",9,9.3
107,"$100,000 to $149,999",14,14.4
108,"$150,000 to $199,999",2,2.1
109,"$200,000 to $299,999",12,12.4
110,"$300,000 to $499,999",14,14.4
111,"$500,000 to $999,999",27,27.8
112,"$1,000,000 or more",4,4.1
113,Median (dollars),"235,400",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,97,100.0
117,Housing units with a mortgage,54,55.7
118,Housing units without a mortgage,43,44.3
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,54,100.0
122,Less than $300,0,0.0
123,$300 to $499,2,3.7
124,$500 to $699,0,0.0
125,$700 to $999,10,18.5
126,"$1,000 to $1,499",13,24.1
127,"$1,500 to $1,999",9,16.7
128,"$2,000 or more",20,37.0
129,Median (dollars),"1,806",
130,,,
131,Housing units without a mortgage,43,100.0
132,Less than $100,2,4.7
133,$100 to $199,15,34.9
134,$200 to $299,5,11.6
135,$300 to $399,8,18.6
136,$400 or more,13,30.2
137,Median (dollars),288,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),54,100.0
141,Less than 20.0 percent,6,11.1
142,20.0 to 24.9 percent,3,5.6
143,25.0 to 29.9 percent,6,11.1
144,30.0 to 34.9 percent,22,40.7
145,35.0 percent or more,17,31.5
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),43,100.0
150,Less than 10.0 percent,12,27.9
151,10.0 to 14.9 percent,7,16.3
152,15.0 to 19.9 percent,2,4.7
153,20.0 to 24.9 percent,0,0.0
154,25.0 to 29.9 percent,5,11.6
155,30.0 to 34.9 percent,0,0.0
156,35.0 percent or more,17,39.5
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,22,100.0
162,Less than $200,0,0.0
163,$200 to $299,0,0.0
164,$300 to $499,6,27.3
