,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"1,962",100.0
3,Occupied housing units,"1,863",95.0
4,Vacant housing units,99,5.0
5,,,
6,Homeowner vacancy rate,0.0,
7,Rental vacancy rate,5.3,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"1,962",100.0
11,"1-unit, detached","1,402",71.5
12,"1-unit, attached",64,3.3
13,2 units,20,1.0
14,3 or 4 units,81,4.1
15,5 to 9 units,11,0.6
16,10 to 19 units,71,3.6
17,20 or more units,5,0.3
18,Mobile home,308,15.7
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"1,962",100.0
23,Built 2005 or later,44,2.2
24,Built 2000 to 2004,237,12.1
25,Built 1990 to 1999,569,29.0
26,Built 1980 to 1989,121,6.2
27,Built 1970 to 1979,385,19.6
28,Built 1960 to 1969,213,10.9
29,Built 1950 to 1959,101,5.1
30,Built 1940 to 1949,54,2.8
31,Built 1939 or earlier,238,12.1
32,,,
33,ROOMS,,
34,Total housing units,"1,962",100.0
35,1 room,12,0.6
36,2 rooms,20,1.0
37,3 rooms,60,3.1
38,4 rooms,182,9.3
39,5 rooms,570,29.1
40,6 rooms,505,25.7
41,7 rooms,275,14.0
42,8 rooms,170,8.7
43,9 rooms or more,168,8.6
44,Median rooms,5.8,
45,,,
46,BEDROOMS,,
47,Total housing units,"1,962",100.0
48,No bedroom,12,0.6
49,1 bedroom,99,5.0
50,2 bedrooms,399,20.3
51,3 bedrooms,"1,109",56.5
52,4 bedrooms,283,14.4
53,5 or more bedrooms,60,3.1
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"1,863",100.0
57,Owner-occupied,"1,290",69.2
58,Renter-occupied,573,30.8
59,,,
60,Average household size of owner-occupied unit,3.01,
61,Average household size of renter-occupied unit,2.58,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"1,863",100.0
65,Moved in 2005 or later,479,25.7
66,Moved in 2000 to 2004,577,31.0
67,Moved in 1990 to 1999,456,24.5
68,Moved in 1980 to 1989,161,8.6
69,Moved in 1970 to 1979,129,6.9
70,Moved in 1969 or earlier,61,3.3
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"1,863",100.0
74,No vehicles available,77,4.1
75,1 vehicle available,329,17.7
76,2 vehicles available,762,40.9
77,3 or more vehicles available,695,37.3
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"1,863",100.0
81,Utility gas,460,24.7
82,"Bottled, tank, or LP gas",46,2.5
83,Electricity,"1,078",57.9
84,"Fuel oil, kerosene, etc.",27,1.4
85,Coal or coke,0,0.0
86,Wood,233,12.5
87,Solar energy,0,0.0
88,Other fuel,10,0.5
89,No fuel used,9,0.5
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"1,863",100.0
93,Lacking complete plumbing facilities,12,0.6
94,Lacking complete kitchen facilities,12,0.6
95,No telephone service available,62,3.3
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"1,863",100.0
99,1.00 or less,"1,806",96.9
100,1.01 to 1.50,45,2.4
101,1.51 or more,12,0.6
102,,,
103,VALUE,,
104,Owner-occupied units,"1,290",100.0
105,"Less than $50,000",129,10.0
106,"$50,000 to $99,999",36,2.8
107,"$100,000 to $149,999",207,16.0
108,"$150,000 to $199,999",267,20.7
109,"$200,000 to $299,999",272,21.1
110,"$300,000 to $499,999",242,18.8
111,"$500,000 to $999,999",137,10.6
112,"$1,000,000 or more",0,0.0
113,Median (dollars),"201,500",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"1,290",100.0
117,Housing units with a mortgage,957,74.2
118,Housing units without a mortgage,333,25.8
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,957,100.0
122,Less than $300,11,1.1
123,$300 to $499,0,0.0
124,$500 to $699,24,2.5
125,$700 to $999,198,20.7
126,"$1,000 to $1,499",351,36.7
127,"$1,500 to $1,999",204,21.3
128,"$2,000 or more",169,17.7
129,Median (dollars),"1,332",
130,,,
131,Housing units without a mortgage,333,100.0
132,Less than $100,15,4.5
133,$100 to $199,26,7.8
134,$200 to $299,69,20.7
135,$300 to $399,114,34.2
136,$400 or more,109,32.7
137,Median (dollars),348,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),953,100.0
141,Less than 20.0 percent,349,36.6
142,20.0 to 24.9 percent,161,16.9
143,25.0 to 29.9 percent,114,12.0
144,30.0 to 34.9 percent,90,9.4
145,35.0 percent or more,239,25.1
146,,,
147,Not computed,4,0.4
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),333,100.0
150,Less than 10.0 percent,151,45.3
151,10.0 to 14.9 percent,33,9.9
152,15.0 to 19.9 percent,56,16.8
153,20.0 to 24.9 percent,18,5.4
154,25.0 to 29.9 percent,43,12.9
155,30.0 to 34.9 percent,0,0.0
156,35.0 percent or more,32,9.6
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
