,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,356,100.0
3,In labor force,230,64.6
4,Civilian labor force,230,64.6
5,Employed,218,61.2
6,Unemployed,12,3.4
7,Armed Forces,0,0.0
8,Not in labor force,126,35.4
9,,,
10,Civilian labor force,230,64.6
11,Percent Unemployed,5.2,
12,,,
13,Females 16 years and over,187,52.5
14,In labor force,93,26.1
15,Civilian labor force,93,26.1
16,Employed,93,26.1
17,,,
18,Own children under 6 years,66,18.5
19,All parents in family in labor force,26,7.3
20,,,
21,Own children 6 to 17 years,139,39.0
22,All parents in family in labor force,122,34.3
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,209,100.0
26,"Car, truck, or van -- drove alone",147,70.3
27,"Car, truck, or van -- carpooled",21,10.0
28,Public transportation (excluding taxicab),0,0.0
29,Walked,27,12.9
30,Other means,2,1.0
31,Worked at home,12,5.7
32,,,
33,Mean travel time to work (minutes),23.1,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,218,100.0
37,"Management, professional, and related occupations",79,36.2
38,Service occupations,26,11.9
39,Sales and office occupations,51,23.4
40,"Farming, fishing, and forestry occupations",14,6.4
41,"Construction, extraction, maintenance, and repair occupations",27,12.4
42,"Production, transportation, and material moving occupations",21,9.6
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,218,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",43,19.7
47,Construction,18,8.3
48,Manufacturing,9,4.1
49,Wholesale trade,0,0.0
50,Retail trade,26,11.9
51,"Transportation and warehousing, and utilities",13,6.0
52,Information,0,0.0
53,"Finance and insurance, & real estate & rental & leasing",14,6.4
54,"Professional, scientific & mgmt, & admin & waste mgmt services",11,5.0
55,Educational services & health care & social assistance,51,23.4
56,"Arts, entertainment & recreation & accommodation & food services",21,9.6
57,"Other services, except public administration",5,2.3
58,Public administration,7,3.2
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,218,100.0
62,Private wage and salary workers,138,63.3
63,Government workers,51,23.4
64,Self-employed in own not incorporated business workers,29,13.3
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,152,100.0
69,"Less than $10,000",2,1.3
70,"$10,000 to $14,999",3,2.0
71,"$15,000 to $24,999",21,13.8
72,"$25,000 to $34,999",2,1.3
73,"$35,000 to $49,999",13,8.6
74,"$50,000 to $74,999",63,41.4
75,"$75,000 to $99,999",23,15.1
76,"$100,000 to $149,999",23,15.1
77,"$150,000 to $199,999",0,0.0
78,"$200,000 or more",2,1.3
79,Median household income (dollars),"62,143",
80,Mean household income (dollars),"71,705",
81,,,
82,With earnings,131,86.2
83,Mean earnings (dollars),"66,944",
84,With Social Security,37,24.3
85,Mean Social Security income (dollars),"18,011",
86,With retirement income,9,5.9
87,Mean retirement income (dollars),"32,622",
88,,,
89,With Supplemental Security Income,5,3.3
90,Mean Supplemental Security Income (dollars),"9,640",
91,With cash public assistance income,5,3.3
92,Mean cash public assistance income (dollars),"1,340",
93,With Food Stamp/SNAP benefits in the past 12 months,23,15.1
94,,,
95,Families,130,100.0
96,"Less than $10,000",0,0.0
97,"$10,000 to $14,999",0,0.0
98,"$15,000 to $24,999",19,14.6
99,"$25,000 to $34,999",2,1.5
100,"$35,000 to $49,999",10,7.7
101,"$50,000 to $74,999",51,39.2
102,"$75,000 to $99,999",23,17.7
103,"$100,000 to $149,999",23,17.7
104,"$150,000 to $199,999",0,0.0
105,"$200,000 or more",2,1.5
106,Median family income (dollars),"67,500",
107,Mean family income (dollars),"76,820",
108,,,
109,Per capita income (dollars),"20,401",
110,,,
111,Nonfamily households,22,16.9
112,Median nonfamily income (dollars),"50,500",
113,Mean nonfamily income (dollars),"41,477",
114,,,
115,Median earnings for workers (dollars),"27,986",
116,"Median earnings for male full-time, year-round workers (dollars)","44,643",
117,"Median earnings for female full-time, year-round workers (dollars)","23,000",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,5.4,
121,With related children under 18 years,8.6,
122,With related children under 5 years only,0.0,
123,Married couple families,0.0,
124,With related children under 18 years,0.0,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",46.7,
127,With related children under 18 years,63.6,
128,With related children under 5 years only,0.0,
129,,,
130,All people,13.9,
131,Under 18 years,22.5,
132,Related children under 18 years,19.5,
133,Related children under 5 years,11.7,
134,Related children 5 to 17 years,22.8,
135,18 years and over,8.2,
136,18 to 64 years,8.6,
137,65 years and over,5.0,
138,People in families,11.3,
139,Unrelated individuals 15 years and over,48.6,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
