,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"7,890",100.0
2,Family households (families),"5,556",70.4
3,With own children under 18 years,"2,886",36.6
4,Married-couple family,"4,681",59.3
5,With own children under 18 years,"2,273",28.8
6,"Male householder, no wife present, family",200,2.5
7,With own children under 18 years,82,1.0
8,"Female householder, no husband present, family",675,8.6
9,With own children under 18 years,531,6.7
10,Nonfamily households,"2,334",29.6
11,Householder living alone,"1,925",24.4
12,65 years and over,774,9.8
13,,,
14,Households with one or more people under 18 years,"3,007",38.1
15,Households with one or more people 65 years and over,"1,781",22.6
16,,,
17,Average household size,2.58,
18,Average family size,3.07,
19,,,
20,RELATIONSHIP,,
21,Population in households,"20,379",100.0
22,Householder,"7,890",38.7
23,Spouse,"4,640",22.8
24,Child,"6,356",31.2
25,Other relatives,508,2.5
26,Nonrelatives,985,4.8
27,Unmarried partner,565,2.8
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"8,075",100.0
31,Never married,"2,321",28.7
32,"Now married, except separated","4,946",61.3
33,Separated,82,1.0
34,Widowed,144,1.8
35,Divorced,582,7.2
36,,,
37,Females 15 years and over,"8,501",100.0
38,Never married,"1,865",21.9
39,"Now married, except separated","4,940",58.1
40,Separated,139,1.6
41,Widowed,769,9.0
42,Divorced,788,9.3
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,164,100.0
46,"Unmarried women (widowed, divorced, and never married)",49,29.9
47,"Per 1,000 unmarried women",23,
48,"Per 1,000 women 15 to 50 years old",31,
49,"Per 1,000 women 15 to 19 years old",12,
50,"Per 1,000 women 20 to 34 years old",70,
51,"Per 1,000 women 35 to 50 years old",11,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,235,100.0
55,Responsible for grandchildren,141,60.0
56,Years responsible for grandchildren,,
57,Less than 1 year,60,25.5
58,1 or 2 years,15,6.4
59,3 or 4 years,66,28.1
60,5 or more years,0,0.0
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,141,60.0
63,Who are female,93,39.6
64,Who are married,129,54.9
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"5,205",100.0
68,"Nursery school, preschool",271,5.2
69,Kindergarten,312,6.0
70,Elementary school (grades 1-8),"2,602",50.0
71,High school (grades 9-12),"1,213",23.3
72,College or graduate school,807,15.5
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"13,956",100.0
76,Less than 9th grade,"1,511",10.8
77,"9th to 12th grade, no diploma",813,5.8
78,High school graduate (includes equivalency),"3,684",26.4
79,"Some college, no degree","3,068",22.0
80,Associate's degree,"1,084",7.8
81,Bachelor's degree,"2,478",17.8
82,Graduate or professional degree,"1,318",9.4
83,,,
84,Percent high school graduate or higher,83.3,
85,Percent bachelor's degree or higher,27.2,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"15,540",100.0
89,Civilian veterans,"1,276",8.2
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"21,128",100.0
93,Same house,"18,485",87.5
94,Different house in the U.S.,"2,508",11.9
95,Same county,"1,509",7.1
96,Different county,999,4.7
97,Same state,578,2.7
98,Different state,421,2.0
99,Abroad,135,0.6
100,,,
101,PLACE OF BIRTH,,
102,Total population,"21,316",100.0
103,Native,"17,880",83.9
104,Born in United States,"17,731",83.2
105,State of residence,"9,111",42.7
106,Different state,"8,620",40.4
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",149,0.7
108,Foreign born,"3,436",16.1
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,"3,436",100.0
112,Naturalized U.S. citizen,538,15.7
113,Not a U.S. citizen,"2,898",84.3
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,"3,585",100.0
117,,,
118,Native,149,4.2
119,Entered 2000 or later,5,0.1
120,Entered before 2000,144,4.0
121,,,
122,Foreign born,"3,436",95.8
123,Entered 2000 or later,"1,097",30.6
124,Entered before 2000,"2,339",65.2
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea","3,436",100.0
128,Europe,170,4.9
129,Asia,145,4.2
130,Africa,0,0.0
131,Oceania,9,0.3
132,Latin America,"3,057",89.0
133,Northern America,55,1.6
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,"19,717",100.0
137,English only,"14,762",74.9
138,Language other than English,"4,955",25.1
139,"Speak English less than ""very well""","3,002",15.2
140,Spanish,"4,711",23.9
141,"Speak English less than ""very well""","2,940",14.9
142,Other Indo-European languages,223,1.1
143,"Speak English less than ""very well""",50,0.3
144,Asian and Pacific Islander languages,12,0.1
145,"Speak English less than ""very well""",12,0.1
146,Other languages,9,0.0
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,"21,316",100.0
151,American,"1,119",5.2
152,Arab,7,0.0
153,Czech,280,1.3
154,Danish,198,0.9
155,Dutch,303,1.4
156,English,"2,256",10.6
157,French (except Basque),637,3.0
158,French Canadian,95,0.4
159,German,"3,267",15.3
160,Greek,11,0.1
161,Hungarian,58,0.3
162,Irish,"1,699",8.0
163,Italian,696,3.3
164,Lithuanian,0,0.0
165,Norwegian,562,2.6
166,Polish,339,1.6
167,Portuguese,92,0.4
168,Russian,65,0.3
169,Scotch-Irish,393,1.8
170,Scottish,588,2.8
171,Slovak,0,0.0
172,Subsaharan African,0,0.0
173,Swedish,550,2.6
174,Swiss,123,0.6
175,Ukrainian,21,0.1
176,Welsh,173,0.8
177,West Indian (excluding Hispanic origin groups),12,0.1
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
