,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,517,100.0
3,In labor force,171,33.1
4,Civilian labor force,171,33.1
5,Employed,139,26.9
6,Unemployed,32,6.2
7,Armed Forces,0,0.0
8,Not in labor force,346,66.9
9,,,
10,Civilian labor force,171,33.1
11,Percent Unemployed,18.7,
12,,,
13,Females 16 years and over,258,49.9
14,In labor force,74,14.3
15,Civilian labor force,74,14.3
16,Employed,65,12.6
17,,,
18,Own children under 6 years,13,2.5
19,All parents in family in labor force,6,1.2
20,,,
21,Own children 6 to 17 years,88,17.0
22,All parents in family in labor force,73,14.1
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,135,100.0
26,"Car, truck, or van -- drove alone",63,46.7
27,"Car, truck, or van -- carpooled",17,12.6
28,Public transportation (excluding taxicab),0,0.0
29,Walked,22,16.3
30,Other means,0,0.0
31,Worked at home,33,24.4
32,,,
33,Mean travel time to work (minutes),17.8,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,139,100.0
37,"Management, professional, and related occupations",17,12.2
38,Service occupations,55,39.6
39,Sales and office occupations,27,19.4
40,"Farming, fishing, and forestry occupations",12,8.6
41,"Construction, extraction, maintenance, and repair occupations",5,3.6
42,"Production, transportation, and material moving occupations",23,16.5
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,139,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",19,13.7
47,Construction,0,0.0
48,Manufacturing,4,2.9
49,Wholesale trade,0,0.0
50,Retail trade,5,3.6
51,"Transportation and warehousing, and utilities",21,15.1
52,Information,23,16.5
53,"Finance and insurance, & real estate & rental & leasing",0,0.0
54,"Professional, scientific & mgmt, & admin & waste mgmt services",15,10.8
55,Educational services & health care & social assistance,3,2.2
56,"Arts, entertainment & recreation & accommodation & food services",30,21.6
57,"Other services, except public administration",10,7.2
58,Public administration,9,6.5
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,139,100.0
62,Private wage and salary workers,107,77.0
63,Government workers,18,12.9
64,Self-employed in own not incorporated business workers,14,10.1
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,268,100.0
69,"Less than $10,000",15,5.6
70,"$10,000 to $14,999",65,24.3
71,"$15,000 to $24,999",71,26.5
72,"$25,000 to $34,999",28,10.4
73,"$35,000 to $49,999",47,17.5
74,"$50,000 to $74,999",31,11.6
75,"$75,000 to $99,999",11,4.1
76,"$100,000 to $149,999",0,0.0
77,"$150,000 to $199,999",0,0.0
78,"$200,000 or more",0,0.0
79,Median household income (dollars),"21,034",
80,Mean household income (dollars),"28,844",
81,,,
82,With earnings,141,52.6
83,Mean earnings (dollars),"21,123",
84,With Social Security,158,59.0
85,Mean Social Security income (dollars),"17,428",
86,With retirement income,82,30.6
87,Mean retirement income (dollars),"12,265",
88,,,
89,With Supplemental Security Income,28,10.4
90,Mean Supplemental Security Income (dollars),"5,814",
91,With cash public assistance income,16,6.0
92,Mean cash public assistance income (dollars),"5,581",
93,With Food Stamp/SNAP benefits in the past 12 months,63,23.5
94,,,
95,Families,162,100.0
96,"Less than $10,000",0,0.0
97,"$10,000 to $14,999",17,10.5
98,"$15,000 to $24,999",49,30.2
99,"$25,000 to $34,999",20,12.3
100,"$35,000 to $49,999",34,21.0
101,"$50,000 to $74,999",31,19.1
102,"$75,000 to $99,999",11,6.8
103,"$100,000 to $149,999",0,0.0
104,"$150,000 to $199,999",0,0.0
105,"$200,000 or more",0,0.0
106,Median family income (dollars),"31,250",
107,Mean family income (dollars),"36,737",
108,,,
109,Per capita income (dollars),"12,740",
110,,,
111,Nonfamily households,106,65.4
112,Median nonfamily income (dollars),"12,375",
113,Mean nonfamily income (dollars),"16,781",
114,,,
115,Median earnings for workers (dollars),"11,848",
116,"Median earnings for male full-time, year-round workers (dollars)","38,750",
117,"Median earnings for female full-time, year-round workers (dollars)","49,531",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,23.5,
121,With related children under 18 years,56.8,
122,With related children under 5 years only,0.0,
123,Married couple families,30.6,
124,With related children under 18 years,56.8,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",0.0,
127,With related children under 18 years,0.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,32.4,
131,Under 18 years,43.8,
132,Related children under 18 years,43.8,
133,Related children under 5 years,0.0,
134,Related children 5 to 17 years,48.4,
135,18 years and over,29.9,
136,18 to 64 years,42.6,
137,65 years and over,8.3,
138,People in families,30.5,
139,Unrelated individuals 15 years and over,39.7,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
