,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"1,196",100.0
3,In labor force,773,64.6
4,Civilian labor force,773,64.6
5,Employed,705,58.9
6,Unemployed,68,5.7
7,Armed Forces,0,0.0
8,Not in labor force,423,35.4
9,,,
10,Civilian labor force,773,64.6
11,Percent Unemployed,8.8,
12,,,
13,Females 16 years and over,589,49.2
14,In labor force,338,28.3
15,Civilian labor force,338,28.3
16,Employed,296,24.7
17,,,
18,Own children under 6 years,64,5.4
19,All parents in family in labor force,28,2.3
20,,,
21,Own children 6 to 17 years,194,16.2
22,All parents in family in labor force,119,9.9
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,695,100.0
26,"Car, truck, or van -- drove alone",500,71.9
27,"Car, truck, or van -- carpooled",106,15.3
28,Public transportation (excluding taxicab),0,0.0
29,Walked,30,4.3
30,Other means,8,1.2
31,Worked at home,51,7.3
32,,,
33,Mean travel time to work (minutes),25.5,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,705,100.0
37,"Management, professional, and related occupations",273,38.7
38,Service occupations,98,13.9
39,Sales and office occupations,106,15.0
40,"Farming, fishing, and forestry occupations",38,5.4
41,"Construction, extraction, maintenance, and repair occupations",69,9.8
42,"Production, transportation, and material moving occupations",121,17.2
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,705,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",99,14.0
47,Construction,40,5.7
48,Manufacturing,100,14.2
49,Wholesale trade,28,4.0
50,Retail trade,77,10.9
51,"Transportation and warehousing, and utilities",32,4.5
52,Information,10,1.4
53,"Finance and insurance, & real estate & rental & leasing",19,2.7
54,"Professional, scientific & mgmt, & admin & waste mgmt services",34,4.8
55,Educational services & health care & social assistance,157,22.3
56,"Arts, entertainment & recreation & accommodation & food services",27,3.8
57,"Other services, except public administration",50,7.1
58,Public administration,32,4.5
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,705,100.0
62,Private wage and salary workers,410,58.2
63,Government workers,143,20.3
64,Self-employed in own not incorporated business workers,143,20.3
65,Unpaid family workers,9,1.3
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,493,100.0
69,"Less than $10,000",20,4.1
70,"$10,000 to $14,999",10,2.0
71,"$15,000 to $24,999",48,9.7
72,"$25,000 to $34,999",39,7.9
73,"$35,000 to $49,999",98,19.9
74,"$50,000 to $74,999",111,22.5
75,"$75,000 to $99,999",60,12.2
76,"$100,000 to $149,999",71,14.4
77,"$150,000 to $199,999",9,1.8
78,"$200,000 or more",27,5.5
79,Median household income (dollars),"56,779",
80,Mean household income (dollars),"79,775",
81,,,
82,With earnings,405,82.2
83,Mean earnings (dollars),"71,266",
84,With Social Security,181,36.7
85,Mean Social Security income (dollars),"18,080",
86,With retirement income,118,23.9
87,Mean retirement income (dollars),"22,203",
88,,,
89,With Supplemental Security Income,9,1.8
90,Mean Supplemental Security Income (dollars),"8,133",
91,With cash public assistance income,7,1.4
92,Mean cash public assistance income (dollars),"2,100",
93,With Food Stamp/SNAP benefits in the past 12 months,27,5.5
94,,,
95,Families,408,100.0
96,"Less than $10,000",10,2.5
97,"$10,000 to $14,999",2,0.5
98,"$15,000 to $24,999",31,7.6
99,"$25,000 to $34,999",25,6.1
100,"$35,000 to $49,999",88,21.6
101,"$50,000 to $74,999",93,22.8
102,"$75,000 to $99,999",54,13.2
103,"$100,000 to $149,999",69,16.9
104,"$150,000 to $199,999",9,2.2
105,"$200,000 or more",27,6.6
106,Median family income (dollars),"61,944",
107,Mean family income (dollars),"88,623",
108,,,
109,Per capita income (dollars),"29,736",
110,,,
111,Nonfamily households,85,20.8
112,Median nonfamily income (dollars),"28,125",
113,Mean nonfamily income (dollars),"34,425",
114,,,
115,Median earnings for workers (dollars),"25,286",
116,"Median earnings for male full-time, year-round workers (dollars)","44,904",
117,"Median earnings for female full-time, year-round workers (dollars)","32,500",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,4.9,
121,With related children under 18 years,6.9,
122,With related children under 5 years only,0.0,
123,Married couple families,4.5,
124,With related children under 18 years,6.5,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",15.8,
127,With related children under 18 years,13.3,
128,With related children under 5 years only,0.0,
129,,,
130,All people,6.7,
131,Under 18 years,10.6,
132,Related children under 18 years,10.6,
133,Related children under 5 years,16.7,
134,Related children 5 to 17 years,9.3,
135,18 years and over,5.7,
136,18 to 64 years,6.7,
137,65 years and over,1.8,
138,People in families,6.0,
139,Unrelated individuals 15 years and over,14.5,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
