,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,251,100.0
3,Occupied housing units,236,94.0
4,Vacant housing units,15,6.0
5,,,
6,Homeowner vacancy rate,0.0,
7,Rental vacancy rate,0.0,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,251,100.0
11,"1-unit, detached",223,88.8
12,"1-unit, attached",0,0.0
13,2 units,3,1.2
14,3 or 4 units,0,0.0
15,5 to 9 units,0,0.0
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,25,10.0
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,251,100.0
23,Built 2005 or later,5,2.0
24,Built 2000 to 2004,4,1.6
25,Built 1990 to 1999,33,13.1
26,Built 1980 to 1989,10,4.0
27,Built 1970 to 1979,26,10.4
28,Built 1960 to 1969,19,7.6
29,Built 1950 to 1959,11,4.4
30,Built 1940 to 1949,28,11.2
31,Built 1939 or earlier,115,45.8
32,,,
33,ROOMS,,
34,Total housing units,251,100.0
35,1 room,0,0.0
36,2 rooms,3,1.2
37,3 rooms,0,0.0
38,4 rooms,23,9.2
39,5 rooms,59,23.5
40,6 rooms,41,16.3
41,7 rooms,38,15.1
42,8 rooms,41,16.3
43,9 rooms or more,46,18.3
44,Median rooms,6.5,
45,,,
46,BEDROOMS,,
47,Total housing units,251,100.0
48,No bedroom,0,0.0
49,1 bedroom,3,1.2
50,2 bedrooms,36,14.3
51,3 bedrooms,109,43.4
52,4 bedrooms,60,23.9
53,5 or more bedrooms,43,17.1
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,236,100.0
57,Owner-occupied,184,78.0
58,Renter-occupied,52,22.0
59,,,
60,Average household size of owner-occupied unit,2.54,
61,Average household size of renter-occupied unit,4.38,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,236,100.0
65,Moved in 2005 or later,16,6.8
66,Moved in 2000 to 2004,55,23.3
67,Moved in 1990 to 1999,75,31.8
68,Moved in 1980 to 1989,36,15.3
69,Moved in 1970 to 1979,22,9.3
70,Moved in 1969 or earlier,32,13.6
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,236,100.0
74,No vehicles available,3,1.3
75,1 vehicle available,46,19.5
76,2 vehicles available,53,22.5
77,3 or more vehicles available,134,56.8
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,236,100.0
81,Utility gas,3,1.3
82,"Bottled, tank, or LP gas",40,16.9
83,Electricity,79,33.5
84,"Fuel oil, kerosene, etc.",83,35.2
85,Coal or coke,0,0.0
86,Wood,23,9.7
87,Solar energy,0,0.0
88,Other fuel,8,3.4
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,236,100.0
93,Lacking complete plumbing facilities,3,1.3
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,0,0.0
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,236,100.0
99,1.00 or less,227,96.2
100,1.01 to 1.50,9,3.8
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,184,100.0
105,"Less than $50,000",29,15.8
106,"$50,000 to $99,999",48,26.1
107,"$100,000 to $149,999",32,17.4
108,"$150,000 to $199,999",22,12.0
109,"$200,000 to $299,999",15,8.2
110,"$300,000 to $499,999",23,12.5
111,"$500,000 to $999,999",4,2.2
112,"$1,000,000 or more",11,6.0
113,Median (dollars),"132,300",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,184,100.0
117,Housing units with a mortgage,108,58.7
118,Housing units without a mortgage,76,41.3
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,108,100.0
122,Less than $300,0,0.0
123,$300 to $499,8,7.4
124,$500 to $699,17,15.7
125,$700 to $999,20,18.5
126,"$1,000 to $1,499",22,20.4
127,"$1,500 to $1,999",18,16.7
128,"$2,000 or more",23,21.3
129,Median (dollars),"1,173",
130,,,
131,Housing units without a mortgage,76,100.0
132,Less than $100,0,0.0
133,$100 to $199,8,10.5
134,$200 to $299,14,18.4
135,$300 to $399,23,30.3
136,$400 or more,31,40.8
137,Median (dollars),347,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),108,100.0
141,Less than 20.0 percent,39,36.1
142,20.0 to 24.9 percent,13,12.0
143,25.0 to 29.9 percent,12,11.1
144,30.0 to 34.9 percent,8,7.4
145,35.0 percent or more,36,33.3
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),76,100.0
150,Less than 10.0 percent,35,46.1
151,10.0 to 14.9 percent,14,18.4
152,15.0 to 19.9 percent,13,17.1
153,20.0 to 24.9 percent,3,3.9
154,25.0 to 29.9 percent,6,7.9
155,30.0 to 34.9 percent,3,3.9
156,35.0 percent or more,2,2.6
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,35,100.0
162,Less than $200,0,0.0
163,$200 to $299,1,2.9
164,$300 to $499,0,0.0
