,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,409,100.0
2,Family households (families),302,73.8
3,With own children under 18 years,128,31.3
4,Married-couple family,230,56.2
5,With own children under 18 years,74,18.1
6,"Male householder, no wife present, family",39,9.5
7,With own children under 18 years,31,7.6
8,"Female householder, no husband present, family",33,8.1
9,With own children under 18 years,23,5.6
10,Nonfamily households,107,26.2
11,Householder living alone,77,18.8
12,65 years and over,29,7.1
13,,,
14,Households with one or more people under 18 years,134,32.8
15,Households with one or more people 65 years and over,134,32.8
16,,,
17,Average household size,2.45,
18,Average family size,2.72,
19,,,
20,RELATIONSHIP,,
21,Population in households,"1,004",100.0
22,Householder,409,40.7
23,Spouse,235,23.4
24,Child,254,25.3
25,Other relatives,31,3.1
26,Nonrelatives,75,7.5
27,Unmarried partner,56,5.6
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,468,100.0
31,Never married,152,32.5
32,"Now married, except separated",249,53.2
33,Separated,0,0.0
34,Widowed,11,2.4
35,Divorced,56,12.0
36,,,
37,Females 15 years and over,404,100.0
38,Never married,68,16.8
39,"Now married, except separated",234,57.9
40,Separated,3,0.7
41,Widowed,37,9.2
42,Divorced,62,15.3
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,7,100.0
46,"Unmarried women (widowed, divorced, and never married)",0,0.0
47,"Per 1,000 unmarried women",0,
48,"Per 1,000 women 15 to 50 years old",31,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",0,
51,"Per 1,000 women 35 to 50 years old",39,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,13,100.0
55,Responsible for grandchildren,13,100.0
56,Years responsible for grandchildren,,
57,Less than 1 year,0,0.0
58,1 or 2 years,0,0.0
59,3 or 4 years,6,46.2
60,5 or more years,7,53.8
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,13,100.0
63,Who are female,6,46.2
64,Who are married,13,100.0
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,237,100.0
68,"Nursery school, preschool",19,8.0
69,Kindergarten,11,4.6
70,Elementary school (grades 1-8),55,23.2
71,High school (grades 9-12),115,48.5
72,College or graduate school,37,15.6
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,750,100.0
76,Less than 9th grade,33,4.4
77,"9th to 12th grade, no diploma",73,9.7
78,High school graduate (includes equivalency),261,34.8
79,"Some college, no degree",235,31.3
80,Associate's degree,57,7.6
81,Bachelor's degree,52,6.9
82,Graduate or professional degree,39,5.2
83,,,
84,Percent high school graduate or higher,85.9,
85,Percent bachelor's degree or higher,12.1,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,809,100.0
89,Civilian veterans,157,19.4
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"1,001",100.0
93,Same house,933,93.2
94,Different house in the U.S.,66,6.6
95,Same county,31,3.1
96,Different county,35,3.5
97,Same state,20,2.0
98,Different state,15,1.5
99,Abroad,2,0.2
100,,,
101,PLACE OF BIRTH,,
102,Total population,"1,004",100.0
103,Native,990,98.6
104,Born in United States,982,97.8
105,State of residence,584,58.2
106,Different state,398,39.6
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",8,0.8
108,Foreign born,14,1.4
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,14,100.0
112,Naturalized U.S. citizen,11,78.6
113,Not a U.S. citizen,3,21.4
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,22,100.0
117,,,
118,Native,8,36.4
119,Entered 2000 or later,0,0.0
120,Entered before 2000,8,36.4
121,,,
122,Foreign born,14,63.6
123,Entered 2000 or later,0,0.0
124,Entered before 2000,14,63.6
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea",14,100.0
128,Europe,11,78.6
129,Asia,0,0.0
130,Africa,0,0.0
131,Oceania,0,0.0
132,Latin America,0,0.0
133,Northern America,3,21.4
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,957,100.0
137,English only,917,95.8
138,Language other than English,40,4.2
139,"Speak English less than ""very well""",12,1.3
140,Spanish,37,3.9
141,"Speak English less than ""very well""",12,1.3
142,Other Indo-European languages,0,0.0
143,"Speak English less than ""very well""",0,0.0
144,Asian and Pacific Islander languages,0,0.0
145,"Speak English less than ""very well""",0,0.0
146,Other languages,3,0.3
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,"1,004",100.0
151,American,22,2.2
152,Arab,0,0.0
153,Czech,10,1.0
154,Danish,0,0.0
155,Dutch,33,3.3
156,English,182,18.1
157,French (except Basque),20,2.0
158,French Canadian,35,3.5
159,German,320,31.9
160,Greek,0,0.0
161,Hungarian,48,4.8
162,Irish,242,24.1
163,Italian,25,2.5
164,Lithuanian,0,0.0
165,Norwegian,22,2.2
166,Polish,27,2.7
167,Portuguese,0,0.0
168,Russian,2,0.2
169,Scotch-Irish,68,6.8
170,Scottish,34,3.4
171,Slovak,6,0.6
172,Subsaharan African,0,0.0
173,Swedish,42,4.2
174,Swiss,3,0.3
175,Ukrainian,0,0.0
176,Welsh,27,2.7
177,West Indian (excluding Hispanic origin groups),0,0.0
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
