,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,229,100.0
3,Occupied housing units,183,79.9
4,Vacant housing units,46,20.1
5,,,
6,Homeowner vacancy rate,0.0,
7,Rental vacancy rate,0.0,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,229,100.0
11,"1-unit, detached",128,55.9
12,"1-unit, attached",0,0.0
13,2 units,0,0.0
14,3 or 4 units,0,0.0
15,5 to 9 units,0,0.0
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,101,44.1
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,229,100.0
23,Built 2005 or later,0,0.0
24,Built 2000 to 2004,0,0.0
25,Built 1990 to 1999,25,10.9
26,Built 1980 to 1989,87,38.0
27,Built 1970 to 1979,39,17.0
28,Built 1960 to 1969,5,2.2
29,Built 1950 to 1959,8,3.5
30,Built 1940 to 1949,17,7.4
31,Built 1939 or earlier,48,21.0
32,,,
33,ROOMS,,
34,Total housing units,229,100.0
35,1 room,0,0.0
36,2 rooms,2,0.9
37,3 rooms,0,0.0
38,4 rooms,49,21.4
39,5 rooms,53,23.1
40,6 rooms,49,21.4
41,7 rooms,46,20.1
42,8 rooms,11,4.8
43,9 rooms or more,19,8.3
44,Median rooms,5.7,
45,,,
46,BEDROOMS,,
47,Total housing units,229,100.0
48,No bedroom,0,0.0
49,1 bedroom,2,0.9
50,2 bedrooms,64,27.9
51,3 bedrooms,115,50.2
52,4 bedrooms,35,15.3
53,5 or more bedrooms,13,5.7
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,183,100.0
57,Owner-occupied,121,66.1
58,Renter-occupied,62,33.9
59,,,
60,Average household size of owner-occupied unit,2.76,
61,Average household size of renter-occupied unit,3.02,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,183,100.0
65,Moved in 2005 or later,49,26.8
66,Moved in 2000 to 2004,51,27.9
67,Moved in 1990 to 1999,37,20.2
68,Moved in 1980 to 1989,16,8.7
69,Moved in 1970 to 1979,19,10.4
70,Moved in 1969 or earlier,11,6.0
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,183,100.0
74,No vehicles available,9,4.9
75,1 vehicle available,37,20.2
76,2 vehicles available,69,37.7
77,3 or more vehicles available,68,37.2
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,183,100.0
81,Utility gas,3,1.6
82,"Bottled, tank, or LP gas",28,15.3
83,Electricity,66,36.1
84,"Fuel oil, kerosene, etc.",23,12.6
85,Coal or coke,0,0.0
86,Wood,58,31.7
87,Solar energy,0,0.0
88,Other fuel,5,2.7
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,183,100.0
93,Lacking complete plumbing facilities,0,0.0
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,0,0.0
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,183,100.0
99,1.00 or less,176,96.2
100,1.01 to 1.50,7,3.8
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,121,100.0
105,"Less than $50,000",22,18.2
106,"$50,000 to $99,999",36,29.8
107,"$100,000 to $149,999",42,34.7
108,"$150,000 to $199,999",5,4.1
109,"$200,000 to $299,999",2,1.7
110,"$300,000 to $499,999",7,5.8
111,"$500,000 to $999,999",7,5.8
112,"$1,000,000 or more",0,0.0
113,Median (dollars),"101,700",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,121,100.0
117,Housing units with a mortgage,53,43.8
118,Housing units without a mortgage,68,56.2
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,53,100.0
122,Less than $300,0,0.0
123,$300 to $499,0,0.0
124,$500 to $699,4,7.5
125,$700 to $999,7,13.2
126,"$1,000 to $1,499",35,66.0
127,"$1,500 to $1,999",3,5.7
128,"$2,000 or more",4,7.5
129,Median (dollars),"1,149",
130,,,
131,Housing units without a mortgage,68,100.0
132,Less than $100,2,2.9
133,$100 to $199,17,25.0
134,$200 to $299,27,39.7
135,$300 to $399,15,22.1
136,$400 or more,7,10.3
137,Median (dollars),254,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),53,100.0
141,Less than 20.0 percent,10,18.9
142,20.0 to 24.9 percent,9,17.0
143,25.0 to 29.9 percent,2,3.8
144,30.0 to 34.9 percent,0,0.0
145,35.0 percent or more,32,60.4
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),66,100.0
150,Less than 10.0 percent,25,37.9
151,10.0 to 14.9 percent,17,25.8
152,15.0 to 19.9 percent,6,9.1
153,20.0 to 24.9 percent,2,3.0
154,25.0 to 29.9 percent,2,3.0
155,30.0 to 34.9 percent,0,0.0
156,35.0 percent or more,14,21.2
157,,,
158,Not computed,2,3.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,25,100.0
162,Less than $200,2,8.0
163,$200 to $299,0,0.0
164,$300 to $499,12,48.0
