,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"5,116",100.0
3,Occupied housing units,"4,827",94.4
4,Vacant housing units,289,5.6
5,,,
6,Homeowner vacancy rate,0.9,
7,Rental vacancy rate,1.8,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"5,116",100.0
11,"1-unit, detached","3,427",67.0
12,"1-unit, attached",123,2.4
13,2 units,50,1.0
14,3 or 4 units,332,6.5
15,5 to 9 units,118,2.3
16,10 to 19 units,51,1.0
17,20 or more units,149,2.9
18,Mobile home,837,16.4
19,"Boat, RV, van, etc.",29,0.6
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"5,116",100.0
23,Built 2005 or later,211,4.1
24,Built 2000 to 2004,400,7.8
25,Built 1990 to 1999,"1,021",20.0
26,Built 1980 to 1989,557,10.9
27,Built 1970 to 1979,"1,045",20.4
28,Built 1960 to 1969,516,10.1
29,Built 1950 to 1959,575,11.2
30,Built 1940 to 1949,235,4.6
31,Built 1939 or earlier,556,10.9
32,,,
33,ROOMS,,
34,Total housing units,"5,116",100.0
35,1 room,49,1.0
36,2 rooms,81,1.6
37,3 rooms,253,4.9
38,4 rooms,843,16.5
39,5 rooms,"1,320",25.8
40,6 rooms,"1,206",23.6
41,7 rooms,611,11.9
42,8 rooms,520,10.2
43,9 rooms or more,233,4.6
44,Median rooms,5.5,
45,,,
46,BEDROOMS,,
47,Total housing units,"5,116",100.0
48,No bedroom,49,1.0
49,1 bedroom,383,7.5
50,2 bedrooms,"1,416",27.7
51,3 bedrooms,"2,503",48.9
52,4 bedrooms,649,12.7
53,5 or more bedrooms,116,2.3
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"4,827",100.0
57,Owner-occupied,"3,488",72.3
58,Renter-occupied,"1,339",27.7
59,,,
60,Average household size of owner-occupied unit,2.69,
61,Average household size of renter-occupied unit,2.54,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"4,827",100.0
65,Moved in 2005 or later,"1,353",28.0
66,Moved in 2000 to 2004,"1,137",23.6
67,Moved in 1990 to 1999,"1,318",27.3
68,Moved in 1980 to 1989,546,11.3
69,Moved in 1970 to 1979,305,6.3
70,Moved in 1969 or earlier,168,3.5
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"4,827",100.0
74,No vehicles available,240,5.0
75,1 vehicle available,"1,280",26.5
76,2 vehicles available,"1,737",36.0
77,3 or more vehicles available,"1,570",32.5
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"4,827",100.0
81,Utility gas,"1,087",22.5
82,"Bottled, tank, or LP gas",46,1.0
83,Electricity,"3,016",62.5
84,"Fuel oil, kerosene, etc.",172,3.6
85,Coal or coke,0,0.0
86,Wood,433,9.0
87,Solar energy,0,0.0
88,Other fuel,62,1.3
89,No fuel used,11,0.2
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"4,827",100.0
93,Lacking complete plumbing facilities,14,0.3
94,Lacking complete kitchen facilities,34,0.7
95,No telephone service available,209,4.3
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"4,827",100.0
99,1.00 or less,"4,652",96.4
100,1.01 to 1.50,166,3.4
101,1.51 or more,9,0.2
102,,,
103,VALUE,,
104,Owner-occupied units,"3,488",100.0
105,"Less than $50,000",268,7.7
106,"$50,000 to $99,999",161,4.6
107,"$100,000 to $149,999",376,10.8
108,"$150,000 to $199,999",532,15.3
109,"$200,000 to $299,999","1,004",28.8
110,"$300,000 to $499,999",857,24.6
111,"$500,000 to $999,999",238,6.8
112,"$1,000,000 or more",52,1.5
113,Median (dollars),"233,100",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"3,488",100.0
117,Housing units with a mortgage,"2,320",66.5
118,Housing units without a mortgage,"1,168",33.5
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"2,320",100.0
122,Less than $300,0,0.0
123,$300 to $499,17,0.7
124,$500 to $699,160,6.9
125,$700 to $999,411,17.7
126,"$1,000 to $1,499",684,29.5
127,"$1,500 to $1,999",589,25.4
128,"$2,000 or more",459,19.8
129,Median (dollars),"1,413",
130,,,
131,Housing units without a mortgage,"1,168",100.0
132,Less than $100,24,2.1
133,$100 to $199,124,10.6
134,$200 to $299,273,23.4
135,$300 to $399,268,22.9
136,$400 or more,479,41.0
137,Median (dollars),365,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"2,320",100.0
141,Less than 20.0 percent,667,28.8
142,20.0 to 24.9 percent,374,16.1
143,25.0 to 29.9 percent,395,17.0
144,30.0 to 34.9 percent,200,8.6
145,35.0 percent or more,684,29.5
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),"1,168",100.0
150,Less than 10.0 percent,561,48.0
151,10.0 to 14.9 percent,195,16.7
152,15.0 to 19.9 percent,194,16.6
153,20.0 to 24.9 percent,53,4.5
154,25.0 to 29.9 percent,42,3.6
155,30.0 to 34.9 percent,35,3.0
