,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,42,100.0
2,Family households (families),28,66.7
3,With own children under 18 years,17,40.5
4,Married-couple family,28,66.7
5,With own children under 18 years,17,40.5
6,"Male householder, no wife present, family",0,0.0
7,With own children under 18 years,0,0.0
8,"Female householder, no husband present, family",0,0.0
9,With own children under 18 years,0,0.0
10,Nonfamily households,14,33.3
11,Householder living alone,14,33.3
12,65 years and over,4,9.5
13,,,
14,Households with one or more people under 18 years,17,40.5
15,Households with one or more people 65 years and over,10,23.8
16,,,
17,Average household size,2.31,
18,Average family size,2.96,
19,,,
20,RELATIONSHIP,,
21,Population in households,97,100.0
22,Householder,42,43.3
23,Spouse,27,27.8
24,Child,28,28.9
25,Other relatives,0,0.0
26,Nonrelatives,0,0.0
27,Unmarried partner,0,0.0
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,38,100.0
31,Never married,2,5.3
32,"Now married, except separated",34,89.5
33,Separated,0,0.0
34,Widowed,0,0.0
35,Divorced,2,5.3
36,,,
37,Females 15 years and over,33,100.0
38,Never married,2,6.1
39,"Now married, except separated",29,87.9
40,Separated,0,0.0
41,Widowed,2,6.1
42,Divorced,0,0.0
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,0,100.0
46,"Unmarried women (widowed, divorced, and never married)",0,14.7
47,"Per 1,000 unmarried women",0,
48,"Per 1,000 women 15 to 50 years old",0,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",0,
51,"Per 1,000 women 35 to 50 years old",0,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,0,100.0
55,Responsible for grandchildren,0,24.4
56,Years responsible for grandchildren,,
57,Less than 1 year,0,11.0
58,1 or 2 years,0,13.4
59,3 or 4 years,0,0.0
60,5 or more years,0,0.0
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,0,24.4
63,Who are female,0,18.9
64,Who are married,0,11.0
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,20,100.0
68,"Nursery school, preschool",0,0.0
69,Kindergarten,4,20.0
70,Elementary school (grades 1-8),16,80.0
71,High school (grades 9-12),0,0.0
72,College or graduate school,0,0.0
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,69,100.0
76,Less than 9th grade,2,2.9
77,"9th to 12th grade, no diploma",7,10.1
78,High school graduate (includes equivalency),20,29.0
79,"Some college, no degree",24,34.8
80,Associate's degree,5,7.2
81,Bachelor's degree,9,13.0
82,Graduate or professional degree,2,2.9
83,,,
84,Percent high school graduate or higher,87.0,
85,Percent bachelor's degree or higher,15.9,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,69,100.0
89,Civilian veterans,9,13.0
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,97,100.0
93,Same house,93,95.9
94,Different house in the U.S.,4,4.1
95,Same county,4,4.1
96,Different county,0,0.0
97,Same state,0,0.0
98,Different state,0,0.0
99,Abroad,0,0.0
100,,,
101,PLACE OF BIRTH,,
102,Total population,97,100.0
103,Native,85,87.6
104,Born in United States,85,87.6
105,State of residence,68,70.1
106,Different state,17,17.5
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",0,0.0
108,Foreign born,12,12.4
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,12,100.0
112,Naturalized U.S. citizen,12,100.0
113,Not a U.S. citizen,0,0.0
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,12,100.0
117,,,
118,Native,0,0.0
119,Entered 2000 or later,0,0.0
120,Entered before 2000,0,0.0
121,,,
122,Foreign born,12,100.0
123,Entered 2000 or later,0,0.0
124,Entered before 2000,12,100.0
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea",12,100.0
128,Europe,0,0.0
129,Asia,0,0.0
130,Africa,0,0.0
131,Oceania,0,0.0
132,Latin America,12,100.0
133,Northern America,0,0.0
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,97,100.0
137,English only,97,100.0
138,Language other than English,0,0.0
139,"Speak English less than ""very well""",0,0.0
140,Spanish,0,0.0
141,"Speak English less than ""very well""",0,0.0
142,Other Indo-European languages,0,0.0
143,"Speak English less than ""very well""",0,0.0
144,Asian and Pacific Islander languages,0,0.0
145,"Speak English less than ""very well""",0,0.0
146,Other languages,0,0.0
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,97,100.0
151,American,11,11.3
152,Arab,0,0.0
153,Czech,0,0.0
154,Danish,0,0.0
155,Dutch,3,3.1
156,English,10,10.3
157,French (except Basque),0,0.0
158,French Canadian,0,0.0
159,German,5,5.2
160,Greek,0,0.0
161,Hungarian,0,0.0
162,Irish,16,16.5
163,Italian,0,0.0
164,Lithuanian,0,0.0
165,Norwegian,2,2.1
166,Polish,0,0.0
167,Portuguese,0,0.0
168,Russian,0,0.0
169,Scotch-Irish,2,2.1
170,Scottish,9,9.3
171,Slovak,0,0.0
172,Subsaharan African,0,0.0
173,Swedish,0,0.0
174,Swiss,7,7.2
175,Ukrainian,0,0.0
176,Welsh,0,0.0
177,West Indian (excluding Hispanic origin groups),12,12.4
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
