,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"15,753",100.0
3,In labor force,"9,857",62.6
4,Civilian labor force,"9,818",62.3
5,Employed,"8,794",55.8
6,Unemployed,"1,024",6.5
7,Armed Forces,39,0.2
8,Not in labor force,"5,896",37.4
9,,,
10,Civilian labor force,"9,818",62.3
11,Percent Unemployed,10.4,
12,,,
13,Females 16 years and over,"7,664",48.7
14,In labor force,"4,413",28.0
15,Civilian labor force,"4,405",28.0
16,Employed,"3,930",24.9
17,,,
18,Own children under 6 years,"1,379",8.8
19,All parents in family in labor force,978,6.2
20,,,
21,Own children 6 to 17 years,"2,729",17.3
22,All parents in family in labor force,"1,915",12.2
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"8,614",100.0
26,"Car, truck, or van -- drove alone","6,106",70.9
27,"Car, truck, or van -- carpooled","1,230",14.3
28,Public transportation (excluding taxicab),187,2.2
29,Walked,662,7.7
30,Other means,170,2.0
31,Worked at home,259,3.0
32,,,
33,Mean travel time to work (minutes),15.1,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"8,794",100.0
37,"Management, professional, and related occupations","2,661",30.3
38,Service occupations,"1,910",21.7
39,Sales and office occupations,"2,018",22.9
40,"Farming, fishing, and forestry occupations",104,1.2
41,"Construction, extraction, maintenance, and repair occupations",974,11.1
42,"Production, transportation, and material moving occupations","1,127",12.8
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"8,794",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",290,3.3
47,Construction,668,7.6
48,Manufacturing,"1,088",12.4
49,Wholesale trade,132,1.5
50,Retail trade,941,10.7
51,"Transportation and warehousing, and utilities",183,2.1
52,Information,191,2.2
53,"Finance and insurance, & real estate & rental & leasing",419,4.8
54,"Professional, scientific & mgmt, & admin & waste mgmt services",774,8.8
55,Educational services & health care & social assistance,"1,927",21.9
56,"Arts, entertainment & recreation & accommodation & food services","1,310",14.9
57,"Other services, except public administration",419,4.8
58,Public administration,452,5.1
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"8,794",100.0
62,Private wage and salary workers,"6,415",72.9
63,Government workers,"1,564",17.8
64,Self-employed in own not incorporated business workers,789,9.0
65,Unpaid family workers,26,0.3
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"8,093",100.0
69,"Less than $10,000",822,10.2
70,"$10,000 to $14,999",736,9.1
71,"$15,000 to $24,999","1,740",21.5
72,"$25,000 to $34,999","1,112",13.7
73,"$35,000 to $49,999","1,025",12.7
74,"$50,000 to $74,999","1,200",14.8
75,"$75,000 to $99,999",607,7.5
76,"$100,000 to $149,999",455,5.6
77,"$150,000 to $199,999",159,2.0
78,"$200,000 or more",237,2.9
79,Median household income (dollars),"31,824",
80,Mean household income (dollars),"51,132",
81,,,
82,With earnings,"6,241",77.1
83,Mean earnings (dollars),"49,777",
84,With Social Security,"1,955",24.2
85,Mean Social Security income (dollars),"14,461",
86,With retirement income,"1,139",14.1
87,Mean retirement income (dollars),"29,653",
88,,,
89,With Supplemental Security Income,538,6.6
90,Mean Supplemental Security Income (dollars),"7,933",
91,With cash public assistance income,306,3.8
92,Mean cash public assistance income (dollars),"1,535",
93,With Food Stamp/SNAP benefits in the past 12 months,"1,934",23.9
94,,,
95,Families,"4,425",100.0
96,"Less than $10,000",434,9.8
97,"$10,000 to $14,999",266,6.0
98,"$15,000 to $24,999",698,15.8
99,"$25,000 to $34,999",519,11.7
100,"$35,000 to $49,999",556,12.6
101,"$50,000 to $74,999",777,17.6
102,"$75,000 to $99,999",446,10.1
103,"$100,000 to $149,999",354,8.0
104,"$150,000 to $199,999",150,3.4
105,"$200,000 or more",225,5.1
106,Median family income (dollars),"42,415",
107,Mean family income (dollars),"64,996",
108,,,
109,Per capita income (dollars),"21,455",
110,,,
111,Nonfamily households,"3,668",82.9
112,Median nonfamily income (dollars),"22,778",
113,Mean nonfamily income (dollars),"32,136",
114,,,
115,Median earnings for workers (dollars),"19,496",
116,"Median earnings for male full-time, year-round workers (dollars)","38,200",
117,"Median earnings for female full-time, year-round workers (dollars)","28,140",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,18.7,
121,With related children under 18 years,27.6,
122,With related children under 5 years only,31.9,
123,Married couple families,8.2,
124,With related children under 18 years,12.0,
125,With related children under 5 years only,4.3,
126,"Families with female householder, no husband present",40.2,
127,With related children under 18 years,48.8,
128,With related children under 5 years only,53.2,
129,,,
130,All people,22.0,
131,Under 18 years,25.0,
132,Related children under 18 years,25.0,
133,Related children under 5 years,27.8,
134,Related children 5 to 17 years,23.9,
135,18 years and over,21.2,
136,18 to 64 years,22.6,
137,65 years and over,12.4,
138,People in families,17.6,
139,Unrelated individuals 15 years and over,32.6,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
