,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"16,551",100.0
2,Family households (families),"10,924",66.0
3,With own children under 18 years,"5,060",30.6
4,Married-couple family,"9,276",56.0
5,With own children under 18 years,"4,060",24.5
6,"Male householder, no wife present, family",503,3.0
7,With own children under 18 years,265,1.6
8,"Female householder, no husband present, family","1,145",6.9
9,With own children under 18 years,735,4.4
10,Nonfamily households,"5,627",34.0
11,Householder living alone,"4,785",28.9
12,65 years and over,"1,573",9.5
13,,,
14,Households with one or more people under 18 years,"5,217",31.5
15,Households with one or more people 65 years and over,"3,893",23.5
16,,,
17,Average household size,2.47,
18,Average family size,3.08,
19,,,
20,RELATIONSHIP,,
21,Population in households,"40,900",100.0
22,Householder,"16,551",40.5
23,Spouse,"9,328",22.8
24,Child,"12,299",30.1
25,Other relatives,"1,083",2.6
26,Nonrelatives,"1,639",4.0
27,Unmarried partner,665,1.6
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"16,063",100.0
31,Never married,"4,507",28.1
32,"Now married, except separated","9,674",60.2
33,Separated,113,0.7
34,Widowed,287,1.8
35,Divorced,"1,482",9.2
36,,,
37,Females 15 years and over,"17,143",100.0
38,Never married,"4,047",23.6
39,"Now married, except separated","9,612",56.1
40,Separated,336,2.0
41,Widowed,"1,107",6.5
42,Divorced,"2,041",11.9
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,348,100.0
46,"Unmarried women (widowed, divorced, and never married)",102,29.3
47,"Per 1,000 unmarried women",23,
48,"Per 1,000 women 15 to 50 years old",37,
49,"Per 1,000 women 15 to 19 years old",5,
50,"Per 1,000 women 20 to 34 years old",68,
51,"Per 1,000 women 35 to 50 years old",26,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,338,100.0
55,Responsible for grandchildren,103,30.5
56,Years responsible for grandchildren,,
57,Less than 1 year,0,0.0
58,1 or 2 years,30,8.9
59,3 or 4 years,53,15.7
60,5 or more years,20,5.9
61,,,
