,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"11,918",100.0
3,Occupied housing units,"10,852",91.1
4,Vacant housing units,"1,066",8.9
5,,,
6,Homeowner vacancy rate,2.7,
7,Rental vacancy rate,6.0,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"11,918",100.0
11,"1-unit, detached","7,970",66.9
12,"1-unit, attached",326,2.7
13,2 units,375,3.1
14,3 or 4 units,354,3.0
15,5 to 9 units,312,2.6
16,10 to 19 units,108,0.9
17,20 or more units,287,2.4
18,Mobile home,"2,092",17.6
19,"Boat, RV, van, etc.",94,0.8
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"11,918",100.0
23,Built 2005 or later,341,2.9
24,Built 2000 to 2004,774,6.5
25,Built 1990 to 1999,"1,816",15.2
26,Built 1980 to 1989,"1,341",11.3
27,Built 1970 to 1979,"2,415",20.3
28,Built 1960 to 1969,"1,041",8.7
29,Built 1950 to 1959,"1,532",12.9
30,Built 1940 to 1949,"1,229",10.3
31,Built 1939 or earlier,"1,429",12.0
32,,,
33,ROOMS,,
34,Total housing units,"11,918",100.0
35,1 room,195,1.6
36,2 rooms,206,1.7
37,3 rooms,390,3.3
38,4 rooms,"1,720",14.4
39,5 rooms,"3,234",27.1
40,6 rooms,"2,930",24.6
41,7 rooms,"1,637",13.7
42,8 rooms,902,7.6
43,9 rooms or more,704,5.9
44,Median rooms,5.6,
45,,,
46,BEDROOMS,,
47,Total housing units,"11,918",100.0
48,No bedroom,205,1.7
49,1 bedroom,673,5.6
50,2 bedrooms,"3,503",29.4
51,3 bedrooms,"5,818",48.8
52,4 bedrooms,"1,407",11.8
53,5 or more bedrooms,312,2.6
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"10,852",100.0
57,Owner-occupied,"7,803",71.9
58,Renter-occupied,"3,049",28.1
59,,,
60,Average household size of owner-occupied unit,2.59,
61,Average household size of renter-occupied unit,2.49,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"10,852",100.0
65,Moved in 2005 or later,"3,261",30.0
66,Moved in 2000 to 2004,"2,681",24.7
67,Moved in 1990 to 1999,"2,453",22.6
68,Moved in 1980 to 1989,"1,079",9.9
69,Moved in 1970 to 1979,788,7.3
70,Moved in 1969 or earlier,590,5.4
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"10,852",100.0
74,No vehicles available,579,5.3
75,1 vehicle available,"2,676",24.7
76,2 vehicles available,"4,306",39.7
77,3 or more vehicles available,"3,291",30.3
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"10,852",100.0
81,Utility gas,"3,539",32.6
82,"Bottled, tank, or LP gas",208,1.9
83,Electricity,"5,436",50.1
84,"Fuel oil, kerosene, etc.",308,2.8
85,Coal or coke,0,0.0
86,Wood,"1,185",10.9
87,Solar energy,0,0.0
88,Other fuel,153,1.4
89,No fuel used,23,0.2
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"10,852",100.0
93,Lacking complete plumbing facilities,56,0.5
94,Lacking complete kitchen facilities,226,2.1
95,No telephone service available,520,4.8
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"10,852",100.0
99,1.00 or less,"10,568",97.4
100,1.01 to 1.50,268,2.5
101,1.51 or more,16,0.1
102,,,
103,VALUE,,
104,Owner-occupied units,"7,803",100.0
105,"Less than $50,000",498,6.4
106,"$50,000 to $99,999",686,8.8
107,"$100,000 to $149,999","2,066",26.5
108,"$150,000 to $199,999","1,517",19.4
109,"$200,000 to $299,999","1,701",21.8
110,"$300,000 to $499,999",981,12.6
111,"$500,000 to $999,999",251,3.2
112,"$1,000,000 or more",103,1.3
113,Median (dollars),"168,000",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"7,803",100.0
117,Housing units with a mortgage,"5,409",69.3
118,Housing units without a mortgage,"2,394",30.7
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"5,409",100.0
122,Less than $300,0,0.0
123,$300 to $499,102,1.9
124,$500 to $699,320,5.9
125,$700 to $999,850,15.7
126,"$1,000 to $1,499","2,161",40.0
127,"$1,500 to $1,999","1,184",21.9
128,"$2,000 or more",792,14.6
129,Median (dollars),"1,349",
130,,,
131,Housing units without a mortgage,"2,394",100.0
132,Less than $100,77,3.2
133,$100 to $199,250,10.4
134,$200 to $299,572,23.9
135,$300 to $399,416,17.4
136,$400 or more,"1,079",45.1
137,Median (dollars),360,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"5,379",100.0
141,Less than 20.0 percent,"1,525",28.4
142,20.0 to 24.9 percent,884,16.4
143,25.0 to 29.9 percent,691,12.8
144,30.0 to 34.9 percent,637,11.8
145,35.0 percent or more,"1,642",30.5
146,,,
147,Not computed,30,0.6
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),"2,372",100.0
150,Less than 10.0 percent,941,39.7
151,10.0 to 14.9 percent,499,21.0
152,15.0 to 19.9 percent,348,14.7
