,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,420,100.0
3,In labor force,195,46.4
4,Civilian labor force,195,46.4
5,Employed,183,43.6
6,Unemployed,12,2.9
7,Armed Forces,0,0.0
8,Not in labor force,225,53.6
9,,,
10,Civilian labor force,195,46.4
11,Percent Unemployed,6.2,
12,,,
13,Females 16 years and over,233,55.5
14,In labor force,91,21.7
15,Civilian labor force,91,21.7
16,Employed,86,20.5
17,,,
18,Own children under 6 years,3,0.7
19,All parents in family in labor force,0,0.0
20,,,
21,Own children 6 to 17 years,59,14.0
22,All parents in family in labor force,48,11.4
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,179,100.0
26,"Car, truck, or van -- drove alone",77,43.0
27,"Car, truck, or van -- carpooled",34,19.0
28,Public transportation (excluding taxicab),0,0.0
29,Walked,32,17.9
30,Other means,0,0.0
31,Worked at home,36,20.1
32,,,
33,Mean travel time to work (minutes),29.7,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,183,100.0
37,"Management, professional, and related occupations",74,40.4
38,Service occupations,16,8.7
39,Sales and office occupations,12,6.6
40,"Farming, fishing, and forestry occupations",29,15.8
41,"Construction, extraction, maintenance, and repair occupations",29,15.8
42,"Production, transportation, and material moving occupations",23,12.6
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,183,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",66,36.1
47,Construction,19,10.4
48,Manufacturing,3,1.6
49,Wholesale trade,0,0.0
50,Retail trade,17,9.3
51,"Transportation and warehousing, and utilities",16,8.7
52,Information,0,0.0
53,"Finance and insurance, & real estate & rental & leasing",6,3.3
54,"Professional, scientific & mgmt, & admin & waste mgmt services",21,11.5
55,Educational services & health care & social assistance,14,7.7
56,"Arts, entertainment & recreation & accommodation & food services",5,2.7
57,"Other services, except public administration",2,1.1
58,Public administration,14,7.7
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,183,100.0
62,Private wage and salary workers,72,39.3
63,Government workers,43,23.5
64,Self-employed in own not incorporated business workers,68,37.2
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,222,100.0
69,"Less than $10,000",24,10.8
70,"$10,000 to $14,999",12,5.4
71,"$15,000 to $24,999",35,15.8
72,"$25,000 to $34,999",40,18.0
73,"$35,000 to $49,999",39,17.6
74,"$50,000 to $74,999",28,12.6
75,"$75,000 to $99,999",8,3.6
76,"$100,000 to $149,999",20,9.0
77,"$150,000 to $199,999",11,5.0
78,"$200,000 or more",5,2.3
79,Median household income (dollars),"35,000",
80,Mean household income (dollars),"51,713",
81,,,
82,With earnings,139,62.6
83,Mean earnings (dollars),"55,160",
84,With Social Security,100,45.0
85,Mean Social Security income (dollars),"16,121",
86,With retirement income,41,18.5
87,Mean retirement income (dollars),"26,273",
88,,,
89,With Supplemental Security Income,11,5.0
90,Mean Supplemental Security Income (dollars),"7,255",
91,With cash public assistance income,6,2.7
92,Mean cash public assistance income (dollars),"1,233",
93,With Food Stamp/SNAP benefits in the past 12 months,26,11.7
94,,,
95,Families,164,100.0
96,"Less than $10,000",9,5.5
97,"$10,000 to $14,999",2,1.2
98,"$15,000 to $24,999",29,17.7
99,"$25,000 to $34,999",23,14.0
100,"$35,000 to $49,999",35,21.3
101,"$50,000 to $74,999",28,17.1
102,"$75,000 to $99,999",8,4.9
103,"$100,000 to $149,999",14,8.5
104,"$150,000 to $199,999",11,6.7
105,"$200,000 or more",5,3.0
106,Median family income (dollars),"43,333",
107,Mean family income (dollars),"59,279",
108,,,
109,Per capita income (dollars),"23,251",
110,,,
111,Nonfamily households,58,35.4
112,Median nonfamily income (dollars),"21,667",
113,Mean nonfamily income (dollars),"30,317",
114,,,
115,Median earnings for workers (dollars),"27,000",
116,"Median earnings for male full-time, year-round workers (dollars)","38,750",
117,"Median earnings for female full-time, year-round workers (dollars)","34,231",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,8.5,
121,With related children under 18 years,17.9,
122,With related children under 5 years only,0.0,
123,Married couple families,3.4,
124,With related children under 18 years,10.3,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",60.0,
127,With related children under 18 years,40.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,13.6,
131,Under 18 years,25.6,
132,Related children under 18 years,17.1,
133,Related children under 5 years,27.3,
134,Related children 5 to 17 years,15.3,
135,18 years and over,11.3,
136,18 to 64 years,14.9,
137,65 years and over,3.3,
138,People in families,8.8,
139,Unrelated individuals 15 years and over,40.3,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
