,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,48,100.0
3,In labor force,38,79.2
4,Civilian labor force,38,79.2
5,Employed,38,79.2
6,Unemployed,0,0.0
7,Armed Forces,0,0.0
8,Not in labor force,10,20.8
9,,,
10,Civilian labor force,38,79.2
11,Percent Unemployed,0.0,
12,,,
13,Females 16 years and over,22,45.8
14,In labor force,18,37.5
15,Civilian labor force,18,37.5
16,Employed,18,37.5
17,,,
18,Own children under 6 years,9,18.8
19,All parents in family in labor force,9,18.8
20,,,
21,Own children 6 to 17 years,4,8.3
22,All parents in family in labor force,4,8.3
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,34,100.0
26,"Car, truck, or van -- drove alone",15,44.1
27,"Car, truck, or van -- carpooled",0,0.0
28,Public transportation (excluding taxicab),0,0.0
29,Walked,2,5.9
30,Other means,0,0.0
31,Worked at home,17,50.0
32,,,
33,Mean travel time to work (minutes),34.1,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,38,100.0
37,"Management, professional, and related occupations",11,28.9
38,Service occupations,3,7.9
39,Sales and office occupations,4,10.5
40,"Farming, fishing, and forestry occupations",14,36.8
41,"Construction, extraction, maintenance, and repair occupations",6,15.8
42,"Production, transportation, and material moving occupations",0,0.0
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,38,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",21,55.3
47,Construction,6,15.8
48,Manufacturing,0,0.0
49,Wholesale trade,0,0.0
50,Retail trade,0,0.0
51,"Transportation and warehousing, and utilities",0,0.0
52,Information,0,0.0
53,"Finance and insurance, & real estate & rental & leasing",0,0.0
54,"Professional, scientific & mgmt, & admin & waste mgmt services",0,0.0
55,Educational services & health care & social assistance,4,10.5
56,"Arts, entertainment & recreation & accommodation & food services",7,18.4
57,"Other services, except public administration",0,0.0
58,Public administration,0,0.0
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,38,100.0
62,Private wage and salary workers,23,60.5
63,Government workers,8,21.1
64,Self-employed in own not incorporated business workers,7,18.4
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,25,100.0
69,"Less than $10,000",0,0.0
70,"$10,000 to $14,999",5,20.0
71,"$15,000 to $24,999",0,0.0
72,"$25,000 to $34,999",6,24.0
73,"$35,000 to $49,999",4,16.0
74,"$50,000 to $74,999",5,20.0
75,"$75,000 to $99,999",0,0.0
76,"$100,000 to $149,999",5,20.0
77,"$150,000 to $199,999",0,0.0
78,"$200,000 or more",0,0.0
79,Median household income (dollars),"46,875",
80,Mean household income (dollars),"51,756",
81,,,
82,With earnings,22,88.0
83,Mean earnings (dollars),"45,377",
84,With Social Security,7,28.0
85,Mean Social Security income (dollars),"12,714",
86,With retirement income,2,8.0
87,Mean retirement income (dollars),0,
88,,,
89,With Supplemental Security Income,0,0.0
90,Mean Supplemental Security Income (dollars),0,
91,With cash public assistance income,0,0.0
92,Mean cash public assistance income (dollars),0,
93,With Food Stamp/SNAP benefits in the past 12 months,4,16.0
94,,,
95,Families,21,100.0
96,"Less than $10,000",0,0.0
97,"$10,000 to $14,999",7,33.3
98,"$15,000 to $24,999",0,0.0
99,"$25,000 to $34,999",0,0.0
100,"$35,000 to $49,999",4,19.0
101,"$50,000 to $74,999",5,23.8
102,"$75,000 to $99,999",0,0.0
103,"$100,000 to $149,999",5,23.8
104,"$150,000 to $199,999",0,0.0
105,"$200,000 or more",0,0.0
106,Median family income (dollars),"49,375",
107,Mean family income (dollars),"54,938",
108,,,
109,Per capita income (dollars),"22,518",
110,,,
111,Nonfamily households,4,19.0
112,Median nonfamily income (dollars),"21,250",
113,Mean nonfamily income (dollars),0,
114,,,
115,Median earnings for workers (dollars),"14,583",
116,"Median earnings for male full-time, year-round workers (dollars)","31,500",
117,"Median earnings for female full-time, year-round workers (dollars)","27,917",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,33.3,
121,With related children under 18 years,66.7,
122,With related children under 5 years only,0.0,
123,Married couple families,17.6,
124,With related children under 18 years,0.0,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",0.0,
127,With related children under 18 years,0.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,35.1,
131,Under 18 years,69.2,
132,Related children under 18 years,69.2,
133,Related children under 5 years,100.0,
134,Related children 5 to 17 years,55.6,
135,18 years and over,25.0,
136,18 to 64 years,17.1,
137,65 years and over,55.6,
138,People in families,36.7,
139,Unrelated individuals 15 years and over,25.0,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
