,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"33,286",100.0
2,Family households (families),"21,607",64.9
3,With own children under 18 years,"9,457",28.4
4,Married-couple family,"16,745",50.3
5,With own children under 18 years,"6,489",19.5
6,"Male householder, no wife present, family","1,153",3.5
7,With own children under 18 years,808,2.4
8,"Female householder, no husband present, family","3,709",11.1
9,With own children under 18 years,"2,160",6.5
10,Nonfamily households,"11,679",35.1
11,Householder living alone,"9,501",28.5
12,65 years and over,"3,617",10.9
13,,,
14,Households with one or more people under 18 years,"10,430",31.3
15,Households with one or more people 65 years and over,"8,913",26.8
16,,,
17,Average household size,2.45,
18,Average family size,3.01,
19,,,
20,RELATIONSHIP,,
21,Population in households,"81,484",100.0
22,Householder,"33,286",40.8
23,Spouse,"16,769",20.6
24,Child,"23,025",28.3
25,Other relatives,"3,683",4.5
26,Nonrelatives,"4,721",5.8
27,Unmarried partner,"2,095",2.6
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"31,159",100.0
31,Never married,"8,664",27.8
32,"Now married, except separated","17,440",56.0
33,Separated,627,2.0
34,Widowed,804,2.6
35,Divorced,"3,624",11.6
36,,,
37,Females 15 years and over,"34,735",100.0
38,Never married,"7,415",21.3
39,"Now married, except separated","17,586",50.6
40,Separated,749,2.2
41,Widowed,"3,548",10.2
42,Divorced,"5,437",15.7
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,"1,158",100.0
46,"Unmarried women (widowed, divorced, and never married)",377,32.6
47,"Per 1,000 unmarried women",39,
48,"Per 1,000 women 15 to 50 years old",60,
49,"Per 1,000 women 15 to 19 years old",43,
50,"Per 1,000 women 20 to 34 years old",108,
51,"Per 1,000 women 35 to 50 years old",23,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,"1,489",100.0
55,Responsible for grandchildren,586,39.4
56,Years responsible for grandchildren,,
57,Less than 1 year,105,7.1
58,1 or 2 years,111,7.5
59,3 or 4 years,87,5.8
60,5 or more years,283,19.0
61,,,
