,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,240,100.0
3,Occupied housing units,162,67.5
4,Vacant housing units,78,32.5
5,,,
6,Homeowner vacancy rate,0.0,
7,Rental vacancy rate,9.2,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,240,100.0
11,"1-unit, detached",199,82.9
12,"1-unit, attached",0,0.0
13,2 units,7,2.9
14,3 or 4 units,0,0.0
15,5 to 9 units,0,0.0
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,34,14.2
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,240,100.0
23,Built 2005 or later,2,0.8
24,Built 2000 to 2004,20,8.3
25,Built 1990 to 1999,29,12.1
26,Built 1980 to 1989,24,10.0
27,Built 1970 to 1979,15,6.3
28,Built 1960 to 1969,23,9.6
29,Built 1950 to 1959,53,22.1
30,Built 1940 to 1949,40,16.7
31,Built 1939 or earlier,34,14.2
32,,,
33,ROOMS,,
34,Total housing units,240,100.0
35,1 room,0,0.0
36,2 rooms,10,4.2
37,3 rooms,7,2.9
38,4 rooms,35,14.6
39,5 rooms,59,24.6
40,6 rooms,72,30.0
41,7 rooms,33,13.8
42,8 rooms,20,8.3
43,9 rooms or more,4,1.7
44,Median rooms,5.6,
45,,,
46,BEDROOMS,,
47,Total housing units,240,100.0
48,No bedroom,0,0.0
49,1 bedroom,20,8.3
50,2 bedrooms,80,33.3
51,3 bedrooms,89,37.1
52,4 bedrooms,46,19.2
53,5 or more bedrooms,5,2.1
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,162,100.0
57,Owner-occupied,109,67.3
58,Renter-occupied,53,32.7
59,,,
60,Average household size of owner-occupied unit,1.74,
61,Average household size of renter-occupied unit,2.64,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,162,100.0
65,Moved in 2005 or later,14,8.6
66,Moved in 2000 to 2004,51,31.5
67,Moved in 1990 to 1999,40,24.7
68,Moved in 1980 to 1989,35,21.6
69,Moved in 1970 to 1979,11,6.8
70,Moved in 1969 or earlier,11,6.8
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,162,100.0
74,No vehicles available,2,1.2
75,1 vehicle available,37,22.8
76,2 vehicles available,71,43.8
77,3 or more vehicles available,52,32.1
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,162,100.0
81,Utility gas,6,3.7
82,"Bottled, tank, or LP gas",7,4.3
83,Electricity,31,19.1
84,"Fuel oil, kerosene, etc.",27,16.7
85,Coal or coke,0,0.0
86,Wood,89,54.9
87,Solar energy,0,0.0
88,Other fuel,0,0.0
89,No fuel used,2,1.2
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,162,100.0
93,Lacking complete plumbing facilities,2,1.2
94,Lacking complete kitchen facilities,2,1.2
95,No telephone service available,0,0.0
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,162,100.0
99,1.00 or less,161,99.4
100,1.01 to 1.50,1,0.6
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,109,100.0
105,"Less than $50,000",32,29.4
106,"$50,000 to $99,999",26,23.9
107,"$100,000 to $149,999",13,11.9
108,"$150,000 to $199,999",11,10.1
109,"$200,000 to $299,999",5,4.6
110,"$300,000 to $499,999",6,5.5
111,"$500,000 to $999,999",14,12.8
112,"$1,000,000 or more",2,1.8
113,Median (dollars),"91,300",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,109,100.0
117,Housing units with a mortgage,36,33.0
118,Housing units without a mortgage,73,67.0
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,36,100.0
122,Less than $300,0,0.0
123,$300 to $499,3,8.3
124,$500 to $699,11,30.6
125,$700 to $999,10,27.8
126,"$1,000 to $1,499",10,27.8
127,"$1,500 to $1,999",0,0.0
128,"$2,000 or more",2,5.6
129,Median (dollars),800,
130,,,
131,Housing units without a mortgage,73,100.0
132,Less than $100,0,0.0
133,$100 to $199,42,57.5
134,$200 to $299,8,11.0
135,$300 to $399,13,17.8
136,$400 or more,10,13.7
137,Median (dollars),192,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),34,100.0
141,Less than 20.0 percent,4,11.8
142,20.0 to 24.9 percent,12,35.3
143,25.0 to 29.9 percent,0,0.0
144,30.0 to 34.9 percent,1,2.9
145,35.0 percent or more,17,50.0
146,,,
147,Not computed,2,5.9
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),70,100.0
150,Less than 10.0 percent,35,50.0
151,10.0 to 14.9 percent,14,20.0
152,15.0 to 19.9 percent,11,15.7
153,20.0 to 24.9 percent,0,0.0
154,25.0 to 29.9 percent,4,5.7
155,30.0 to 34.9 percent,4,5.7
156,35.0 percent or more,2,2.9
157,,,
158,Not computed,3,4.3
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,20,100.0
162,Less than $200,0,0.0
163,$200 to $299,0,0.0
164,$300 to $499,6,30.0
